,subject_id,run_id,exclude,exclusion_reason,gender,age,n_records,n_choose_nan,n_choose_dominated,n_choose_higher_p,chosen_trial,lucky_number,won_amount,rg_blind,rg_difficult,serious,self_report,comment
0,0,271,False,,Female,69,140,0,0,69,catch_5,0.5188540460863411,0.0,False,False,True,i tried to keep looking at the green to compare.,i hope this pays decently for all my time because i didn't win the bonus...why?
1,1,5,False,,Male,20,140,0,0,63,catch_2,0.9698828423405336,0.0,False,False,True,"I focused more on the probability of winning. By dividing the pie chart in half I'd have a visual guide on the difference in chances (More than 50% is a coinflip, and less would be harder to decide).",
2,2,95,False,,Female,21,140,0,0,89,exp_112,0.3218517548534831,4.2,False,False,True,"tried to make the most money with the bigger probability. if the probability is small, but has a bigger payment i'd go for that one. I thought about the bigger proportion of probability for payment possibility.",
3,3,107,False,,Male,21,140,0,1,94,exp_92,0.8383964183055681,0.0,False,False,True,- More risk more rewardn- Compared the risks and rewards for both the situationsn- Only picked the riskier one if the payout was much bigger,
4,4,113,False,,Male,73,140,0,4,50,exp_61,0.8943852597488038,0.0,False,False,True,I tried to find a balance between probability and amount to be won,
5,5,56,False,,Male,31,140,0,0,23,catch_0,0.8126871848678465,0.0,False,False,True,Bigger prize.,no
6,6,305,False,,Male,38,140,0,0,93,catch_19,0.2714468631630988,4.8,False,False,True,basically looked at the probability and typically choose the one with the higher one but if the winnings were higher then I judged if it was worth the risk,
7,7,311,False,,Male,22,140,0,0,64,exp_10,0.5819816146199379,1.7999999999999998,False,False,True,* higher winning value -> risk more with lower probabilitiesn* lower winning values -> secure the better probabilityn* Similar probabilities -> best reward,
8,8,310,False,,Male,26,140,0,0,96,exp_54,0.0244407425955935,6.9,False,False,True,"I made my choices primarily based on probability of winning, and secondarily based on the proportion of the difference between the choices. I tried to balance risk v. reward but sometimes there were cases where gambling on a low probability outcome with a very high reward was more enticing (than it would normally be for me personally) next to a high probability outcome (""sure thing"") with a low reward.","I'm unhappy with myself for not always choosing the best probability outcome; being emotionally manipulated and falling for it negatively affects my self-worth. This is why I normally don't gamble except the occasional scratch card and betting with points online (not using real money so there's no life-affecting risk, but I still get satisfaction out of winning).nnIf you're interested in my personal opinion on the lottery products I've tried: scratch cards appear to me to have the best probability and lowest risk (cost-wise), having personally won more often than not to the tune of at least $200. Large lotteries such as Lotto 649 appear to have the worst odds, which makes logical sense but is still discouraging. I've only played it fewer than 5 times, losing each time and spending about $20 each time."
9,9,338,True,Dominated choices,Male,33,140,0,16,110,exp_40,0.5123378973552764,1.6999999999999995,False,False,True,follow the probability,no
10,10,57,False,,Female,18,140,0,0,82,exp_3,0.2721775578308025,5.300000000000001,False,False,True,I tried to compare the price and winning probability together,
11,11,43,False,,Male,31,140,0,0,56,exp_42,0.0089167110068795,7.9,False,False,True,- I compared the ratios of winning amount and probability of winning and mostly chose the one that seemed a better deal.n- If there was little difference between the value of lotteries I preferred the one with a higher probability.,"Everything was fine, good luck with the experiment"
12,12,112,False,,Male,28,140,1,0,79,exp_54,0.7418140227374093,0.0,False,False,True,"For low winning money, I chose less risky pie charts. For high amouth i risked more",no
13,13,106,False,,Female,23,140,0,0,55,exp_47,0.478528927676938,7.9,False,False,True,I am trying to choose this side where is more green. I am trying fast thinking and wondering where is more green ,
14,14,94,False,,Male,23,140,0,0,77,exp_53,0.5895111051062042,0.0,False,False,True,Tried to prioritize the probability of winning.,
15,15,4,True,Dominated choices,Female,26,140,1,16,21,exp_30,0.6075899686928328,0.0,False,False,True,"I got confused at times, but i tried to manage my focus to pick more red",
16,16,96,False,,Male,18,140,0,0,86,exp_103,0.3430314010554309,4.9,False,False,True,"If both probabilities were very low or very high, I would chose the most income.nIf the probability was near 50/50, I would choose the most probability.nIf the income A was way bigger than income B, I would chose income B, unless the probability was too close from each other, then I would chose income A.",
17,17,82,False,,Male,23,140,4,1,73,catch_13,0.1568497659784897,2.8,False,False,True,Just with my memory,"Too long, i think it would be better if only has 2 stage not 3"
18,18,138,False,,Female,21,140,0,0,64,catch_13,0.1058227226753003,2.8,False,False,True,"I chose the ones with the better balance between probability and reward, leaning towards the highest reward when in doubt",Everything was clear
19,19,104,False,,Male,39,140,1,0,61,exp_88,0.3202214449137854,3.0,False,False,True,usually just choose the better odds unless the payout is much higher,
20,20,55,False,,Male,32,140,0,0,99,exp_46,0.3748996720880517,7.9,False,False,True,"Normally went highest probability, but when the reward was worth the risk in my eyes I chose the lower probability to win a greater reward.",
21,21,41,False,,Female,28,140,0,0,66,catch_7,0.9012612400214428,0.0,False,False,True,"I compared the winnings and chose the more likely choice, except when the difference in winnings was quite large",
22,22,69,False,,Male,28,140,0,0,96,exp_59,0.40698206904258,1.7999999999999998,False,False,True,"I chose the probablities over the amount, unless if the amount in the lower probability was a lot greater than the one I would chose",I enjoyed the study
23,23,312,False,,Female,54,140,0,0,92,exp_50,0.9090919939863376,0.0,False,False,True,* looked at probablity and then payoffn*if amounts were close choose the higher probablityn^,
24,24,307,True,Dominated choices,Male,26,140,25,7,47,catch_12,0.6474351454339289,0.0,False,False,True,i made choices based on visuals. i chose what i thought was the better choice.,thank you.
25,25,313,False,,Male,57,140,0,0,57,exp_89,0.7360956922011657,0.0,False,False,True,"If they were close in probability but had a big difference in the payout, I chose the higher payout. If there was a huge difference in the payout, I typically chose the higher payout even if the probability was much lower.",
26,26,40,False,,Female,28,140,0,1,115,exp_91,0.102255156611607,3.0,False,False,True,i choose the options with the higher probability of winning,
27,27,54,False,,Female,19,140,0,1,60,catch_2,0.1726297824167411,4.0,False,False,True,I weighed up the the difference in probability compared to the drop in prize money.,
28,28,105,False,,Female, 29,140,0,0,77,exp_90,0.5355369159381576,0.0,False,False,True,"""First I got a general impression of which side had more green, then I looked at how big the differences in chances of winning vs amount to be won were. Sometimes I just went with my gut.",
29,29,139,False,,Male,63,140,0,1,82,catch_9,0.8890049939297096,0.0,False,False,True,if it was close to more I took that one,
30,30,97,False,,Female,20,140,1,0,96,exp_41,0.6608288356222043,0.0,False,False,True,the most important for me was the probaility of winning.,
31,31,7,False,,Female,40,140,0,0,45,catch_5,0.4071650789478065,4.3,False,False,True,if the higher bar graph wasn't much difference on the pie chart and some I just went for the riskier one.,
32,32,273,True,Dominated choices,Male,25,140,2,17,67,exp_18,0.0723758382855499,4.3,False,False,True,By actually looking at the bar and chart grapphs which looks at the winning propabilities,"it was very good, it trains how well one can concentrate"
33,33,267,False,,Female,31,140,0,1,60,exp_40,0.0179836420031211,7.9,False,False,True,"-If the winnings were roughly the same, I would choose the ticket with the higher probability.n2-If the probability is high, but the winnings are low, I decide based on the probability and winnings of the other card.",I really enjoyed this task! Thank you for my bonus that is awesome!
34,34,263,False,,Female,23,140,8,1,51,exp_48,0.0325427532393249,8.2,False,False,True,I chose the option with the higher probability,
35,35,277,False,,Female,27,140,3,1,90,exp_55,0.7533668427411324,0.0,False,False,True,just tried to way up where i could possibly benefit more,made me very sleepy
36,36,108,False,,Male,29,140,2,0,107,exp_94,0.5806743038765589,0.0,False,False,True,i always choos the higher propabelity to win than the amount ,"the shape of the the amount wining can be change by a dolar symbole and of the chance wining can be replace by a shape of level banc, it could be more easy to imagine "
37,37,288,True,Dominated choices,Female,60,140,1,6,59,exp_57,0.0733377558325223,1.7999999999999998,False,False,True,Sometimes I was thinking about money and the other times I thought about the odds.  Just feeling it out at the moment.,
38,38,93,False,,Female,19,140,0,0,72,exp_1,0.0405552650305529,5.300000000000001,False,False,True,I looked first to the probability of winning and then the amount of moneynI would choose mostly based on the probability,
39,39,129,False,,Female,28,140,0,0,56,exp_1,0.7240708988217137,5.300000000000001,False,False,True,"W głownej mierze patrzyłam prawdopodobieństwo wygranej, wybierałam te opcja gdzie mogłam zarobić więcej ale też oceniałam czy dana sytuacja warta jest większego ryzyka. ","fajnie gdyby podzielić sesje na mniejsze i krótsze, łatwiej utrzymać skupienie."
40,40,50,False,,Male,37,140,1,0,67,exp_8,0.3589120619737946,0.0,False,False,True,I chose mostly the highest possibility of winning ahead of possible amount. But if the difference in possible winning was about 20 percent I mostly chose the highest winning.,At times the speed was slow and at times it was rapid.
41,41,44,False,,Male, 38,140,5,4,62,catch_9,0.5544176119239126,0.0,False,False,True,"""odds vs payment basicaaly",no
42,42,302,False,,Female,37,140,0,0,89,exp_95,0.7000206630176942,0.0,False,False,True,"I tried to compare possible risk and amount of money. If the risk was low, I chose that one.",
43,43,45,False,,Female,23,140,0,0,95,catch_1,0.0830596695729959,5.9,False,False,True,Mostly chose the ones with the highest probability of winning.n,Really interesting and entertaining. I was not bored!
