,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
Intercept,0.358,0.117,0.137,0.59,0.007,0.005,288.0,288.0,291.0,410.0,1.0,0.9982
delta_ev_z,1.953,0.102,1.743,2.146,0.004,0.003,658.0,658.0,658.0,1652.0,1.0,1.0
duration_favours_fx,-0.024,0.037,-0.096,0.049,0.0,0.0,6808.0,4663.0,6838.0,4718.0,1.0,0.2548
last_stage_favours_fx,0.169,0.041,0.095,0.253,0.001,0.0,4593.0,4493.0,4591.0,4718.0,1.0,1.0
by_attribute_fx,-0.056,0.037,-0.128,0.016,0.0,0.0,6690.0,5618.0,6689.0,5913.0,1.0,0.0626
duration_favours_fx:by_attribute_fx,0.014,0.072,-0.129,0.156,0.001,0.001,6904.0,3687.0,6902.0,5454.0,1.0,0.576
last_stage_favours_fx:by_attribute_fx,0.088,0.073,-0.05,0.234,0.001,0.001,5430.0,4689.0,5451.0,5518.0,1.0,0.8851
duration_favours_fx:last_stage_favours_fx,-0.102,0.074,-0.244,0.045,0.001,0.001,8522.0,7123.0,8514.0,5138.0,1.0,0.0851
1|subject_id_sigma,1.448,0.086,1.286,1.623,0.003,0.002,727.0,727.0,739.0,1552.0,1.0,1.0
1|subject_id[0],-0.241,0.237,-0.7,0.231,0.007,0.005,1029.0,1029.0,1029.0,2802.0,1.0,
1|subject_id[1],-0.615,0.25,-1.135,-0.159,0.007,0.005,1295.0,1295.0,1293.0,2813.0,1.0,
1|subject_id[2],0.656,0.271,0.131,1.181,0.008,0.005,1297.0,1297.0,1302.0,3412.0,1.0,
1|subject_id[3],0.985,0.29,0.438,1.572,0.007,0.005,1650.0,1636.0,1659.0,2641.0,1.0,
1|subject_id[4],-0.934,0.241,-1.414,-0.459,0.008,0.005,1031.0,1031.0,1034.0,2382.0,1.0,
1|subject_id[5],-2.414,0.341,-3.098,-1.757,0.008,0.005,2046.0,2046.0,2044.0,5003.0,1.0,
1|subject_id[6],0.962,0.302,0.354,1.542,0.007,0.005,1791.0,1791.0,1794.0,3628.0,1.0,
1|subject_id[7],-0.613,0.262,-1.137,-0.109,0.008,0.005,1176.0,1176.0,1169.0,2284.0,1.0,
1|subject_id[8],1.157,0.305,0.584,1.769,0.008,0.005,1627.0,1627.0,1626.0,3389.0,1.0,
1|subject_id[9],0.276,0.261,-0.233,0.784,0.008,0.006,1133.0,1042.0,1132.0,2058.0,1.0,
1|subject_id[10],-1.005,0.272,-1.532,-0.479,0.007,0.005,1376.0,1376.0,1368.0,3297.0,1.0,
1|subject_id[11],0.16,0.242,-0.325,0.613,0.007,0.005,1045.0,1045.0,1050.0,2021.0,1.0,
