,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
Intercept,0.351,0.115,0.118,0.569,0.007,0.005,300.0,300.0,301.0,599.0,1.0,0.9991
delta_ev_z,1.961,0.097,1.777,2.157,0.003,0.002,1041.0,1041.0,1040.0,2198.0,1.0,1.0
duration_favours_fx,-0.024,0.036,-0.095,0.047,0.0,0.0,9693.0,5381.0,9688.0,6208.0,1.0,0.2623
last_stage_favours_fx,0.169,0.041,0.088,0.245,0.0,0.0,7356.0,7356.0,7373.0,6728.0,1.0,0.9999
by_attribute_fx,-0.056,0.038,-0.13,0.018,0.0,0.0,8780.0,7113.0,8786.0,6533.0,1.0,0.0708
duration_favours_fx:by_attribute_fx,0.012,0.074,-0.131,0.151,0.001,0.001,7616.0,4110.0,7620.0,6141.0,1.0,0.5603
last_stage_favours_fx:by_attribute_fx,0.088,0.075,-0.06,0.231,0.001,0.001,9859.0,6988.0,9864.0,6563.0,1.0,0.8808
1|subject_id_sigma,1.45,0.087,1.277,1.614,0.003,0.002,846.0,846.0,854.0,1670.0,1.0,1.0
1|subject_id[0],-0.238,0.234,-0.699,0.212,0.007,0.005,1286.0,1286.0,1285.0,3087.0,1.0,
1|subject_id[1],-0.605,0.255,-1.106,-0.097,0.007,0.005,1252.0,1252.0,1251.0,2718.0,1.0,
1|subject_id[2],0.664,0.268,0.136,1.184,0.007,0.005,1510.0,1510.0,1509.0,4221.0,1.0,
1|subject_id[3],0.987,0.286,0.444,1.57,0.007,0.005,1677.0,1634.0,1692.0,3493.0,1.0,
1|subject_id[4],-0.928,0.247,-1.396,-0.427,0.007,0.005,1171.0,1171.0,1164.0,2577.0,1.0,
1|subject_id[5],-2.404,0.342,-3.105,-1.754,0.008,0.005,2062.0,2062.0,2033.0,4584.0,1.0,
1|subject_id[6],0.967,0.301,0.382,1.568,0.007,0.005,1986.0,1986.0,1987.0,3391.0,1.0,
1|subject_id[7],-0.603,0.26,-1.129,-0.1,0.007,0.005,1338.0,1338.0,1336.0,3086.0,1.0,
1|subject_id[8],1.156,0.304,0.585,1.78,0.007,0.005,1823.0,1823.0,1821.0,4865.0,1.0,
1|subject_id[9],0.283,0.256,-0.209,0.788,0.007,0.005,1280.0,1280.0,1281.0,3443.0,1.0,
1|subject_id[10],-0.998,0.271,-1.512,-0.465,0.007,0.005,1396.0,1396.0,1386.0,3729.0,1.0,
1|subject_id[11],0.171,0.243,-0.296,0.656,0.007,0.005,1291.0,1291.0,1291.0,3393.0,1.0,
1|subject_id[12],-0.63,0.226,-1.067,-0.186,0.007,0.005,1162.0,1162.0,1163.0,2830.0,1.0,
1|subject_id[13],-0.157,0.286,-0.721,0.389,0.007,0.005,1667.0,1667.0,1666.0,5019.0,1.0,
1|subject_id[14],0.484,0.265,-0.039,0.994,0.007,0.005,1667.0,1667.0,1668.0,3397.0,1.0,
1|subject_id[15],-0.06,0.237,-0.521,0.404,0.007,0.005,1084.0,1084.0,1083.0,3241.0,1.0,
1|subject_id[16],-1.058,0.31,-1.659,-0.45,0.007,0.005,1898.0,1898.0,1899.0,4515.0,1.0,
1|subject_id[17],-1.39,0.339,-2.068,-0.751,0.007,0.005,2056.0,2056.0,2055.0,4462.0,1.0,
1|subject_id[18],1.502,0.35,0.813,2.178,0.008,0.005,2129.0,2129.0,2123.0,4790.0,1.0,
1|subject_id[19],-0.948,0.309,-1.572,-0.364,0.007,0.005,2070.0,2070.0,2068.0,4703.0,1.0,
1|subject_id[20],1.029,0.269,0.515,1.571,0.007,0.005,1504.0,1504.0,1508.0,3409.0,1.0,
1|subject_id[21],0.866,0.287,0.307,1.428,0.007,0.005,1694.0,1694.0,1693.0,4174.0,1.0,
1|subject_id[22],-1.458,0.331,-2.114,-0.827,0.007,0.005,2029.0,2029.0,2026.0,5277.0,1.0,
1|subject_id[23],2.981,0.506,2.018,3.996,0.009,0.007,2836.0,2820.0,2867.0,4680.0,1.0,
1|subject_id[24],-1.177,0.312,-1.789,-0.57,0.007,0.005,1927.0,1927.0,1930.0,4949.0,1.0,
1|subject_id[25],-0.172,0.289,-0.715,0.419,0.007,0.005,1834.0,1834.0,1835.0,3751.0,1.0,
1|subject_id[26],0.312,0.246,-0.135,0.822,0.007,0.005,1246.0,1246.0,1249.0,3457.0,1.0,
1|subject_id[27],1.174,0.31,0.57,1.794,0.008,0.005,1670.0,1670.0,1678.0,3733.0,1.0,
1|subject_id[28],-0.951,0.23,-1.404,-0.514,0.007,0.005,1138.0,1138.0,1141.0,2862.0,1.0,
1|subject_id[29],-0.784,0.266,-1.318,-0.275,0.007,0.005,1357.0,1357.0,1355.0,4067.0,1.0,
1|subject_id[30],-0.809,0.236,-1.274,-0.348,0.007,0.005,1104.0,1104.0,1102.0,3013.0,1.0,
1|subject_id[31],0.703,0.247,0.24,1.211,0.007,0.005,1426.0,1426.0,1428.0,3144.0,1.0,
1|subject_id[32],0.379,0.187,0.021,0.749,0.007,0.005,725.0,719.0,727.0,1941.0,1.0,
1|subject_id[33],-0.348,0.271,-0.864,0.188,0.007,0.005,1364.0,1364.0,1360.0,3491.0,1.0,
1|subject_id[34],-1.129,0.29,-1.683,-0.542,0.007,0.005,1654.0,1654.0,1640.0,3834.0,1.0,
1|subject_id[35],-0.868,0.302,-1.472,-0.296,0.007,0.005,1650.0,1650.0,1644.0,4607.0,1.0,
1|subject_id[36],-0.277,0.214,-0.709,0.129,0.007,0.005,968.0,968.0,970.0,2385.0,1.0,
1|subject_id[37],0.694,0.303,0.117,1.292,0.007,0.005,1964.0,1964.0,1961.0,4420.0,1.0,
1|subject_id[38],1.011,0.278,0.481,1.57,0.007,0.005,1533.0,1533.0,1528.0,3521.0,1.0,
1|subject_id[39],2.387,0.435,1.56,3.26,0.007,0.005,4096.0,4071.0,4066.0,5250.0,1.0,
1|subject_id[40],-2.688,0.361,-3.425,-2.02,0.008,0.005,2169.0,2169.0,2140.0,4564.0,1.0,
1|subject_id[41],0.141,0.28,-0.41,0.689,0.008,0.005,1344.0,1344.0,1345.0,3616.0,1.0,
