,subject_id,condition,choice,rt,p1,gp,last_stage_favours,p0,gm,m1,presentation01,m0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,92,exp_69,1.0,0.8717999999970197,0.51,0.4,0.0,0.72,0.6,0.52,1.0,0.42000000000000004,0.0,TwoStageBetween,0.5501,0.5933,1,0.4739
1,92,exp_50,0.0,0.48740000000596045,0.32,0.5,0.0,0.49,0.5,0.82,0.0,0.6900000000000001,1.0,TwoStageBetween,0.541,0.6436,1,0.1443
2,92,catch_9,0.0,0.7859000000059605,0.72,0.5,1.0,0.48,0.5,0.4,1.0,0.18,1.0,TwoStageBetween,0.4161,0.1103,1,0.8608
3,92,exp_102,1.0,0.8009000000059605,0.38,0.5,1.0,0.58,0.5,0.6900000000000001,0.0,0.49000000000000005,0.0,TwoStageBetween,0.5519,0.5788,1,0.5909
4,92,exp_42,0.0,0.7881000000089406,0.48,0.5,0.0,0.81,0.5,0.79,0.0,0.16999999999999996,1.0,TwoStageBetween,0.514,0.2671,1,0.3763
5,92,exp_58,1.0,0.7556000000089407,0.21,0.5,0.0,0.41,0.5,0.62,0.0,0.18,0.0,TwoStageBetween,0.5483,0.3948,1,0.1495
6,92,exp_115,0.0,0.789,0.22,0.6,0.0,0.49,0.4,0.79,1.0,0.42000000000000004,1.0,TwoStageBetween,0.5336,0.6737,1,0.7626
7,92,exp_88,1.0,0.944,0.38,0.5,1.0,0.5,0.5,0.4,0.0,0.3,0.0,TwoStageBetween,0.556,0.5264,1,0.1668
8,92,exp_113,1.0,0.5585,0.22,0.6,1.0,0.49,0.4,0.79,1.0,0.42000000000000004,0.0,TwoStageBetween,0.539,0.6523,1,0.3049
9,92,exp_1,0.0,0.7507999999970197,0.49,0.6,1.0,0.79,0.4,0.8300000000000001,1.0,0.53,1.0,TwoStageBetween,0.5532,0.5671,1,0.3433
10,92,exp_108,0.0,0.501,0.4,0.5,0.0,0.78,0.5,0.3,0.0,0.21000000000000002,1.0,TwoStageBetween,0.5311,0.6825,1,0.9758
11,92,exp_117,1.0,1.3102000000029803,0.22,0.4,0.0,0.49,0.6,0.79,1.0,0.42000000000000004,0.0,TwoStageBetween,0.5428,0.6353,1,0.3032
12,92,exp_99,0.0,0.4605,0.38,0.6,0.0,0.58,0.4,0.6900000000000001,1.0,0.49000000000000005,1.0,TwoStageBetween,0.5488,0.6017,0,0.2588
13,92,exp_25,1.0,0.5431000000089407,0.17,0.6,1.0,0.3,0.4,0.3,1.0,0.2,0.0,TwoStageBetween,0.5447,0.6257,1,0.0673
14,92,exp_67,1.0,0.743,0.51,0.6,0.0,0.72,0.4,0.52,1.0,0.42000000000000004,0.0,TwoStageBetween,0.5475,0.61,1,0.3709
15,92,exp_37,0.0,0.5585,0.7,0.4,0.0,0.79,0.6,0.32,1.0,0.2,1.0,TwoStageBetween,0.5464,0.3837,0,0.9395
16,92,catch_7,1.0,0.28020000000298023,0.48,0.5,1.0,0.28,0.5,0.52,1.0,0.21000000000000002,0.0,TwoStageBetween,0.3787,0.0763,0,0.1911
17,92,catch_0,1.0,0.3513000000119209,0.72,0.5,1.0,0.19,0.5,0.3,0.0,0.2,0.0,TwoStageBetween,0.3327,0.0454,0,0.6968
18,92,catch_4,1.0,0.533800000011921,0.31,0.5,1.0,0.19,0.5,0.73,0.0,0.4,0.0,TwoStageBetween,0.4314,0.1272,0,0.2556
19,92,exp_74,0.0,0.3355,0.2,0.5,0.0,0.8,0.5,0.6799999999999999,0.0,0.4,1.0,TwoStageBetween,0.4578,0.8387,1,0.418
20,92,exp_98,0.0,0.38579999999701975,0.38,0.5,0.0,0.58,0.5,0.6900000000000001,0.0,0.49000000000000005,1.0,TwoStageBetween,0.5519,0.5788,0,1.1343
