,subject_id,condition,choice,rt,last_stage_favours,gm,m0,g1,gp,m1,p1,g0,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,192,exp_68,0.0,0.5940999999046326,0.0,0.5,0.42000000000000004,0.6,0.5,0.52,0.51,0.4,0.72,0.0,1.0,TwoStageMixtureNoScaling,0.9926,0.9817,1.0,0.5142
1,192,exp_80,0.0,0.6529000000953674,1.0,0.5,0.22000000000000003,0.4,0.5,0.8099999999999999,0.29,0.6,0.61,0.0,1.0,TwoStageMixtureNoScaling,0.5524,0.9996,1.0,0.2882
2,192,exp_90,0.0,0.5273000000715256,0.0,0.5,0.3,0.4,0.5,0.4,0.38,0.6,0.5,0.0,1.0,TwoStageMixtureNoScaling,1.1499,0.9564,1.0,0.2838
3,192,catch_0,1.0,0.7192000000476837,1.0,0.5,0.2,0.5,0.5,0.3,0.72,0.5,0.19,0.0,0.0,TwoStageMixtureNoScaling,0.3189,0.0,0.0,0.3453
4,192,exp_101,0.0,0.6127000000476838,0.0,0.6,0.49000000000000005,0.5,0.4,0.6900000000000001,0.38,0.5,0.58,1.0,1.0,TwoStageMixtureNoScaling,0.8881,0.9906,1.0,1.0687
5,192,exp_29,0.0,1.002899999976158,0.0,0.6,0.2,0.5,0.4,0.3,0.17,0.5,0.3,1.0,1.0,TwoStageMixtureNoScaling,0.7468,0.9968,1.0,1.1339
6,192,exp_102,0.0,0.719,1.0,0.5,0.49000000000000005,0.6,0.5,0.6900000000000001,0.38,0.4,0.58,0.0,1.0,TwoStageMixtureNoScaling,0.9392,0.9868,1.0,1.1178
7,192,exp_115,0.0,0.7027999999523162,0.0,0.4,0.42000000000000004,0.5,0.6,0.79,0.22,0.5,0.49,1.0,1.0,TwoStageMixtureNoScaling,0.4321,1.0,1.0,0.4377
8,192,exp_91,0.0,0.5498999999761581,0.0,0.4,0.3,0.5,0.6,0.4,0.38,0.5,0.5,1.0,1.0,TwoStageMixtureNoScaling,1.0552,0.9737,1.0,2.2826
9,192,exp_98,0.0,0.59,0.0,0.5,0.49000000000000005,0.4,0.5,0.6900000000000001,0.38,0.6,0.58,0.0,1.0,TwoStageMixtureNoScaling,0.8462,0.993,1.0,0.9013
10,192,exp_47,0.0,0.6497999999523163,1.0,0.6,0.16999999999999996,0.5,0.4,0.79,0.48,0.5,0.81,1.0,1.0,TwoStageMixtureNoScaling,0.7757,0.9959,1.0,0.8605
11,192,exp_9,0.0,0.5702999999523163,1.0,0.4,0.18,0.5,0.6,0.5,0.29,0.5,0.7,1.0,1.0,TwoStageMixtureNoScaling,0.4033,1.0,1.0,0.7689
12,192,exp_19,0.0,0.5257999999523163,0.0,0.4,0.43,0.5,0.6,0.8300000000000001,0.17,0.5,0.28,1.0,1.0,TwoStageMixtureNoScaling,0.6833,0.9982,1.0,0.7113
13,192,exp_8,0.0,0.6295,1.0,0.5,0.18,0.4,0.5,0.5,0.29,0.6,0.7,0.0,1.0,TwoStageMixtureNoScaling,0.4721,0.9999,1.0,0.3685
14,192,exp_15,0.0,0.6051999999284744,1.0,0.6,0.18,0.5,0.4,0.5,0.29,0.5,0.7,1.0,1.0,TwoStageMixtureNoScaling,0.4982,0.9998,1.0,1.0308
15,192,exp_74,0.0,0.6171000000238419,0.0,0.5,0.4,0.4,0.5,0.6799999999999999,0.2,0.6,0.8,0.0,1.0,TwoStageMixtureNoScaling,0.3098,1.0,1.0,0.3904
16,192,exp_27,0.0,0.49279999995231627,0.0,0.4,0.2,0.5,0.6,0.3,0.17,0.5,0.3,1.0,1.0,TwoStageMixtureNoScaling,0.6066,0.9992,1.0,0.6858
17,192,exp_45,0.0,0.510399999976158,0.0,0.6,0.16999999999999996,0.5,0.4,0.79,0.48,0.5,0.81,1.0,1.0,TwoStageMixtureNoScaling,0.7066,0.9977,1.0,0.4472
18,192,exp_26,0.0,0.43260000002384186,0.0,0.5,0.2,0.4,0.5,0.3,0.17,0.6,0.3,0.0,1.0,TwoStageMixtureNoScaling,0.6546,0.9986,1.0,0.5398
19,192,catch_5,1.0,0.46369999992847444,1.0,0.5,0.32,0.5,0.5,0.43,0.49,0.5,0.4,1.0,0.0,TwoStageMixtureNoScaling,1.2992,0.0616,1.0,1.5882
