,alpha,theta,v,b_last,noise,loss,lossfun,model,subject_id,wp,eta
0,,,6.2335,-0.0208,1.0877,262.5152,BIC,TwoStageBetween,0,0.5587,0.9619
1,0.7,1.0,7.0931,0.0362,1.0807,258.9444,BIC,TwoStageWithin,0,,
2,,,12.2714,-0.006,1.5029,446.0633,BIC,TwoStageBetween,1,0.5635,1.0
3,0.7222,0.7875,16.0906,0.033,1.4947,440.3438,BIC,TwoStageWithin,1,,
4,,,24.3548,-0.0027,1.6748,341.7585,BIC,TwoStageBetween,2,0.6556,0.1069
5,0.4474,0.8344,15.2211,0.036,1.6754,342.0837,BIC,TwoStageWithin,2,,
6,,,15.9679,0.0014,1.2325,107.6503,BIC,TwoStageBetween,3,0.6633,0.479
7,0.4581,1.0,12.6473,0.0007,1.2374,109.6938,BIC,TwoStageWithin,3,,
8,,,5.041,0.032,1.1141,249.6749,BIC,TwoStageBetween,4,0.4008,1.0
9,1.4973,0.7203,8.29,0.0047,1.1277,256.2769,BIC,TwoStageWithin,4,,
10,,,8.1375,0.023,0.9956,159.0912,BIC,TwoStageBetween,5,0.2281,0.489
11,2.3898,0.8014,14.2644,0.0242,1.0513,180.4207,BIC,TwoStageWithin,5,,
12,,,15.9014,0.0069,1.4287,89.9061,BIC,TwoStageBetween,6,0.6551,1.0
13,0.4662,1.0,16.3028,0.0006,1.4376,93.562,BIC,TwoStageWithin,6,,
14,,,13.2536,-0.0099,1.2482,194.1464,BIC,TwoStageBetween,7,0.5575,0.604
15,0.8603,1.0,12.5445,-0.0192,1.2608,200.7073,BIC,TwoStageWithin,7,,
16,,,8.56,-0.0175,0.9749,186.1198,BIC,TwoStageBetween,8,0.6755,1.0
17,0.439,1.0,9.8174,0.0008,0.946,173.0414,BIC,TwoStageWithin,8,,
18,,,10.3869,-0.0132,1.0041,233.6646,BIC,TwoStageBetween,10,0.6129,0.3598
19,0.5876,1.0,7.7355,0.0215,1.01,236.3514,BIC,TwoStageWithin,10,,
20,,,6.6024,0.0031,0.9143,281.8205,BIC,TwoStageBetween,11,0.4692,1.0
21,1.195,1.0,8.5507,-0.0112,0.9255,287.4309,BIC,TwoStageWithin,11,,
22,,,6.5762,0.015,0.9596,252.1811,BIC,TwoStageBetween,12,0.6249,1.0
23,0.5841,0.8258,7.984,0.0309,0.9626,253.6347,BIC,TwoStageWithin,12,,
24,,,8.9988,0.0586,1.2512,201.5587,BIC,TwoStageBetween,13,0.4383,0.609
25,1.4846,0.2806,12.9942,0.044,1.2781,215.1131,BIC,TwoStageWithin,13,,
26,,,16.3035,0.0044,1.2103,102.8574,BIC,TwoStageBetween,14,0.5608,0.7575
27,0.7293,1.0,17.3009,0.0045,1.1835,92.4283,BIC,TwoStageWithin,14,,
28,,,22.3142,0.0032,1.4866,120.896,BIC,TwoStageBetween,16,0.6257,0.4459
29,0.5456,0.7407,19.304,0.0223,1.4869,121.0664,BIC,TwoStageWithin,16,,
30,,,20.2859,0.0298,2.1631,193.5321,BIC,TwoStageBetween,17,0.5897,0.7455
31,0.6878,1.0,20.4903,0.0376,2.1683,196.1009,BIC,TwoStageWithin,17,,
32,,,13.7444,0.0072,1.196,110.1525,BIC,TwoStageBetween,18,0.5329,0.9548
33,0.8265,0.8683,18.0941,-0.0006,1.1825,104.9038,BIC,TwoStageWithin,18,,
34,,,23.8125,-0.0144,1.9593,156.2964,BIC,TwoStageBetween,19,0.4652,0.7376
35,1.0602,1.0,28.6468,-0.0149,1.9558,154.4612,BIC,TwoStageWithin,19,,
36,,,13.5199,-0.0304,1.3582,124.3987,BIC,TwoStageBetween,20,0.6753,1.0
37,0.4743,1.0,15.966,-0.0185,1.3444,117.5087,BIC,TwoStageWithin,20,,
38,,,14.3082,-0.0172,1.3631,78.6357,BIC,TwoStageBetween,21,0.5321,0.9434
39,0.789,1.0,17.8921,-0.0001,1.3292,66.8049,BIC,TwoStageWithin,21,,
40,,,5.9224,-0.009,0.8441,316.1084,BIC,TwoStageBetween,22,0.7773,0.284
41,0.2561,0.664,4.938,0.0389,0.8374,312.3217,BIC,TwoStageWithin,22,,
42,,,11.8639,0.0103,1.1705,91.7869,BIC,TwoStageBetween,23,0.6705,1.0
43,0.4812,1.0,13.8357,-0.0028,1.153,85.8494,BIC,TwoStageWithin,23,,
44,,,10.8258,0.0273,1.0282,150.209,BIC,TwoStageBetween,25,0.4717,0.8959
45,1.0489,0.7707,15.1671,0.0085,1.0444,156.247,BIC,TwoStageWithin,25,,
46,,,9.6505,-0.0098,0.9981,-45.3185,BIC,TwoStageBetween,26,0.926,1.0
47,0.1098,1.0,10.8836,0.0097,1.0317,-35.6521,BIC,TwoStageWithin,26,,
48,,,8.003,0.0128,1.2397,219.7407,BIC,TwoStageBetween,27,0.4641,0.965
49,0.9854,0.6448,15.663,-0.0154,1.2121,204.9368,BIC,TwoStageWithin,27,,
50,,,11.2034,0.0034,1.0828,142.0644,BIC,TwoStageBetween,28,0.5532,1.0
51,0.7796,0.9018,14.146,0.0067,1.0774,139.9921,BIC,TwoStageWithin,28,,
52,,,6.2208,-0.0023,1.0083,255.3798,BIC,TwoStageBetween,29,0.6282,1.0
53,0.5581,0.6357,8.6039,-0.0268,1.0095,255.9424,BIC,TwoStageWithin,29,,
54,,,1.3456,-0.0119,0.3935,659.4725,BIC,TwoStageBetween,30,0.6852,1.0
55,0.4878,1.0,1.6206,0.0043,0.386,653.459,BIC,TwoStageWithin,30,,
56,,,4.7174,0.0359,1.1275,257.7623,BIC,TwoStageBetween,31,0.4064,1.0
57,1.9081,1.0,6.0004,0.0464,1.1464,267.3877,BIC,TwoStageWithin,31,,
58,,,6.1156,0.0433,1.0661,298.2792,BIC,TwoStageBetween,33,0.4745,1.0
59,0.9733,0.6817,9.8213,0.0158,1.0732,303.1576,BIC,TwoStageWithin,33,,
60,,,4.6225,0.0603,1.1669,282.9692,BIC,TwoStageBetween,34,0.4885,0.4095
61,3.913,1.0,9.2128,0.0328,1.157,276.7783,BIC,TwoStageWithin,34,,
62,,,5.2208,0.0385,1.1201,250.7114,BIC,TwoStageBetween,35,0.7295,1.0
63,0.2873,0.8663,6.4604,0.0147,1.1005,240.2158,BIC,TwoStageWithin,35,,
64,,,8.9868,-0.0001,1.308,347.7628,BIC,TwoStageBetween,36,0.6529,0.9706
65,0.4454,1.0,8.9586,0.0285,1.3114,351.2417,BIC,TwoStageWithin,36,,
66,,,7.5937,-0.0193,0.9466,264.5226,BIC,TwoStageBetween,38,0.5463,1.0
67,0.7581,0.803,9.3228,-0.0055,0.9562,269.7576,BIC,TwoStageWithin,38,,
68,,,8.9458,-0.0219,1.0932,196.5648,BIC,TwoStageBetween,39,0.4641,1.0
69,1.135,1.0,10.9306,0.0477,1.0939,196.8534,BIC,TwoStageWithin,39,,
70,,,2.7784,0.0029,0.6931,392.6379,BIC,TwoStageBetween,40,0.5107,1.0
71,0.8377,1.0,3.4695,0.0241,0.6915,391.4751,BIC,TwoStageWithin,40,,
72,,,1.7441,-0.0845,1.14,303.8857,BIC,TwoStageBetween,41,0.5817,1.0
73,0.5237,1.0,1.2635,-0.1555,1.1419,304.9528,BIC,TwoStageWithin,41,,
74,,,10.0292,0.0051,0.9014,234.1389,BIC,TwoStageBetween,42,0.6134,0.5862
75,0.5893,1.0,9.1383,-0.0181,0.8884,227.805,BIC,TwoStageWithin,42,,
76,,,12.9987,-0.0038,1.2052,56.9541,BIC,TwoStageBetween,43,0.6989,1.0
77,0.4205,0.8792,14.0342,0.0318,1.246,72.2173,BIC,TwoStageWithin,43,,
78,,,7.5949,0.0051,1.2068,111.5571,BIC,TwoStageBetween,44,0.8412,1.0
79,0.1896,0.6516,9.1466,0.0617,1.2332,122.7102,BIC,TwoStageWithin,44,,
80,,,6.0541,0.0153,0.9891,83.0576,BIC,TwoStageBetween,45,0.1025,1.0
81,2.811,1.0,16.0661,0.0187,1.1228,126.631,BIC,TwoStageWithin,45,,
82,,,14.3825,0.0005,1.3019,177.0484,BIC,TwoStageBetween,46,0.5656,0.8182
83,0.7527,1.0,16.864,0.026,1.2687,158.6192,BIC,TwoStageWithin,46,,
84,,,9.4701,0.0209,0.8806,-102.8938,BIC,TwoStageBetween,47,1.0,1.0
85,0.0,1.0,9.8802,0.0395,0.9631,-77.2408,BIC,TwoStageWithin,47,,
86,,,11.8947,0.0162,1.1558,142.6332,BIC,TwoStageBetween,48,0.4298,1.0
87,1.2334,0.7546,17.2741,0.0132,1.1856,156.0942,BIC,TwoStageWithin,48,,
88,,,8.4955,-0.0097,0.7537,82.8912,BIC,TwoStageBetween,49,0.8483,0.6857
89,0.1993,0.963,7.9659,0.014,0.8092,103.9336,BIC,TwoStageWithin,49,,
90,,,10.5394,0.0202,1.1343,55.0548,BIC,TwoStageBetween,50,0.2775,0.8748
91,2.1029,0.8153,21.7653,0.0171,1.1769,67.9977,BIC,TwoStageWithin,50,,
