,subject_id,condition,choice,rt,presentation01,p0,p1,last_stage_favours,m1,gm,m0,gp,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,189-alternatives,exp_74,0.0,0.49759999999403953,0.0,0.8,0.2,0.0,0.6799999999999999,0.5,0.4,0.5,1.0,TwoStageBetween,0.2293,0.9235,1,0.1327
1,189-alternatives,exp_108,0.0,0.34619999998807904,0.0,0.78,0.4,0.0,0.3,0.5,0.21000000000000002,0.5,1.0,TwoStageBetween,0.3006,0.773,1,0.0991
2,189-alternatives,exp_88,0.0,0.436,0.0,0.5,0.38,1.0,0.4,0.5,0.3,0.5,1.0,TwoStageBetween,0.3345,0.5779,1,0.6453
3,189-alternatives,catch_4,1.0,0.1065,0.0,0.19,0.31,1.0,0.73,0.5,0.4,0.5,0.0,TwoStageBetween,0.2462,0.101,0,0.4695
4,189-alternatives,exp_82,1.0,0.7535999999940395,0.0,0.61,0.29,0.0,0.8099999999999999,0.5,0.22000000000000003,0.5,0.0,TwoStageBetween,0.3359,0.554,1,0.4107
5,189-alternatives,exp_94,1.0,0.6962999999970197,0.0,0.5,0.38,1.0,0.4,0.5,0.3,0.5,0.0,TwoStageBetween,0.3345,0.5779,0,0.8421
6,189-alternatives,catch_0,1.0,0.6254000000059604,0.0,0.19,0.72,1.0,0.3,0.5,0.2,0.5,0.0,TwoStageBetween,0.1706,0.0224,0,0.075
7,189-alternatives,exp_60,1.0,0.3065,0.0,0.41,0.21,0.0,0.62,0.5,0.18,0.5,0.0,TwoStageBetween,0.3369,0.5264,1,0.7949
8,189-alternatives,exp_78,0.0,0.5067999999970197,0.0,0.8,0.2,1.0,0.6799999999999999,0.5,0.4,0.5,1.0,TwoStageBetween,0.2293,0.9235,1,0.0589
9,189-alternatives,catch_8,1.0,0.6813999999910593,0.0,0.22,0.32,1.0,0.5,0.5,0.37,0.5,0.0,TwoStageBetween,0.288,0.1887,0,0.3292
10,189-alternatives,exp_8,0.0,0.4923999999910593,0.0,0.7,0.29,1.0,0.5,0.5,0.18,0.5,1.0,TwoStageBetween,0.3186,0.6992,1,0.1004
11,189-alternatives,exp_96,1.0,0.7167999999970198,0.0,0.58,0.38,1.0,0.6900000000000001,0.5,0.49000000000000005,0.5,0.0,TwoStageBetween,0.3267,0.6517,1,0.7038
12,189-alternatives,exp_102,1.0,0.6170999999940395,0.0,0.58,0.38,1.0,0.6900000000000001,0.5,0.49000000000000005,0.5,0.0,TwoStageBetween,0.3267,0.6517,1,0.3482
13,189-alternatives,exp_58,1.0,0.4926000000089407,0.0,0.41,0.21,0.0,0.62,0.5,0.18,0.5,0.0,TwoStageBetween,0.3369,0.5264,1,1.0417
14,189-alternatives,exp_98,0.0,0.10790000000596046,0.0,0.58,0.38,0.0,0.6900000000000001,0.5,0.49000000000000005,0.5,1.0,TwoStageBetween,0.3267,0.6517,1,0.4033
