,subject_id,condition,choice,rt,presentation01,p0,p1,last_stage_favours,m1,gm,m0,gp,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,75-attributes,exp_117,0.0,0.5966000000238418,1.0,0.49,0.22,0.0,0.79,0.6,0.42000000000000004,0.4,1.0,TwoStageBetween,0.3802,0.9793,1,0.6301
1,75-attributes,exp_69,0.0,0.5685999999046326,1.0,0.72,0.51,0.0,0.52,0.6,0.42000000000000004,0.4,1.0,TwoStageBetween,0.5734,0.8872,1,0.3366
2,75-attributes,catch_3,1.0,0.941,1.0,0.19,0.38,1.0,0.6799999999999999,0.5,0.58,0.5,0.0,TwoStageBetween,0.3443,0.0131,0,0.2408
3,75-attributes,catch_7,1.0,0.49,1.0,0.28,0.48,1.0,0.52,0.5,0.21000000000000002,0.5,0.0,TwoStageBetween,0.3512,0.0144,1,0.6585
4,75-attributes,exp_91,0.0,0.48289999997615807,1.0,0.5,0.38,0.0,0.4,0.4,0.3,0.6,1.0,TwoStageBetween,0.6075,0.8579,0,0.5553
5,75-attributes,exp_101,0.0,0.6293000000715255,1.0,0.58,0.38,0.0,0.6900000000000001,0.6,0.49000000000000005,0.4,1.0,TwoStageBetween,0.5397,0.9112,0,0.1313
6,75-attributes,exp_25,0.0,0.37509999990463255,1.0,0.3,0.17,1.0,0.3,0.4,0.2,0.6,1.0,TwoStageBetween,0.5389,0.9117,1,1.5328
7,75-attributes,exp_19,0.0,0.427,1.0,0.28,0.17,0.0,0.8300000000000001,0.4,0.43,0.6,1.0,TwoStageBetween,0.4922,0.9384,1,0.1989
8,75-attributes,exp_27,0.0,0.40860000002384184,1.0,0.3,0.17,0.0,0.3,0.4,0.2,0.6,1.0,TwoStageBetween,0.4289,0.9649,1,0.3079
9,75-attributes,exp_57,1.0,0.5633999999761582,1.0,0.41,0.21,1.0,0.62,0.4,0.18,0.6,0.0,TwoStageBetween,0.5544,0.9013,1,0.355
10,75-attributes,exp_115,0.0,0.2676000000238419,1.0,0.49,0.22,0.0,0.79,0.4,0.42000000000000004,0.6,1.0,TwoStageBetween,0.3449,0.9868,1,0.1096
11,75-attributes,exp_107,0.0,0.38520000004768373,1.0,0.78,0.4,0.0,0.3,0.4,0.21000000000000002,0.6,1.0,TwoStageBetween,0.3777,0.9799,1,0.5655
12,75-attributes,exp_89,0.0,0.3827999999523163,1.0,0.5,0.38,1.0,0.4,0.4,0.3,0.6,1.0,TwoStageBetween,0.7193,0.6934,1,0.5508
13,75-attributes,catch_1,1.0,0.4802000000476837,1.0,0.29,0.41,1.0,0.5900000000000001,0.5,0.42000000000000004,0.5,0.0,TwoStageBetween,0.4934,0.0622,0,0.8501
14,75-attributes,exp_47,0.0,0.4959000000953674,1.0,0.81,0.48,1.0,0.79,0.6,0.16999999999999996,0.4,1.0,TwoStageBetween,0.7152,0.7033,0,0.9825
15,75-attributes,exp_1,0.0,0.354,1.0,0.79,0.49,1.0,0.8300000000000001,0.4,0.53,0.6,1.0,TwoStageBetween,0.6063,0.859,1,0.6862
16,75-attributes,exp_53,0.0,0.2963999999761581,1.0,0.49,0.32,0.0,0.82,0.6,0.6900000000000001,0.4,1.0,TwoStageBetween,0.5166,0.9253,1,0.4086
17,75-attributes,exp_23,1.0,0.7336000000238418,1.0,0.28,0.17,1.0,0.8300000000000001,0.6,0.43,0.4,0.0,TwoStageBetween,0.6549,0.8055,1,0.1004
18,75-attributes,exp_15,0.0,0.341,1.0,0.7,0.29,1.0,0.5,0.6,0.18,0.4,1.0,TwoStageBetween,0.4732,0.9474,1,0.3968
19,75-attributes,exp_3,0.0,0.44920000004768373,1.0,0.79,0.49,0.0,0.8300000000000001,0.4,0.53,0.6,1.0,TwoStageBetween,0.4847,0.942,1,1.1086
20,75-attributes,exp_59,0.0,0.4653999999761581,1.0,0.41,0.21,0.0,0.62,0.4,0.18,0.6,1.0,TwoStageBetween,0.4411,0.9605,1,0.2334
21,75-attributes,exp_67,0.0,0.1145,1.0,0.72,0.51,0.0,0.52,0.4,0.42000000000000004,0.6,1.0,TwoStageBetween,0.5477,0.9059,0,1.2016
22,75-attributes,catch_5,1.0,0.37060000002384186,1.0,0.4,0.49,1.0,0.43,0.5,0.32,0.5,0.0,TwoStageBetween,0.5953,0.1308,0,0.3794
23,75-attributes,exp_73,0.0,0.3449000000953674,1.0,0.8,0.2,1.0,0.6799999999999999,0.4,0.4,0.6,1.0,TwoStageBetween,0.255,0.9974,1,0.2573
24,75-attributes,exp_45,0.0,0.7176999999284744,1.0,0.81,0.48,0.0,0.79,0.6,0.16999999999999996,0.4,1.0,TwoStageBetween,0.6014,0.8635,1,0.2399
25,75-attributes,exp_113,0.0,0.41889999997615807,1.0,0.49,0.22,1.0,0.79,0.4,0.42000000000000004,0.6,1.0,TwoStageBetween,0.4267,0.9657,1,0.2091
26,75-attributes,exp_43,0.0,0.6151999999284744,1.0,0.81,0.48,0.0,0.79,0.4,0.16999999999999996,0.6,1.0,TwoStageBetween,0.5508,0.9038,1,0.4828
27,75-attributes,exp_37,0.0,0.40969999992847445,1.0,0.79,0.7,0.0,0.32,0.6,0.2,0.4,1.0,TwoStageBetween,0.7329,0.6558,0,0.4114
28,75-attributes,exp_29,0.0,0.4708999999761581,1.0,0.3,0.17,0.0,0.3,0.6,0.2,0.4,1.0,TwoStageBetween,0.4631,0.9518,1,0.2387
29,75-attributes,exp_9,0.0,0.4475,1.0,0.7,0.29,1.0,0.5,0.4,0.18,0.6,1.0,TwoStageBetween,0.4187,0.9683,1,0.631
30,75-attributes,exp_35,0.0,0.6678999999761581,1.0,0.79,0.7,0.0,0.32,0.4,0.2,0.6,1.0,TwoStageBetween,0.7246,0.6797,0,0.5278
31,75-attributes,catch_9,1.0,0.32,1.0,0.48,0.72,1.0,0.4,0.5,0.18,0.5,0.0,TwoStageBetween,0.4166,0.031,0,0.2337
32,75-attributes,exp_99,0.0,0.5751999999284745,1.0,0.58,0.38,0.0,0.6900000000000001,0.4,0.49000000000000005,0.6,1.0,TwoStageBetween,0.5087,0.9297,1,0.7736
33,75-attributes,exp_55,0.0,0.272,1.0,0.49,0.32,1.0,0.82,0.6,0.6900000000000001,0.4,1.0,TwoStageBetween,0.6409,0.8227,1,1.5753
34,75-attributes,exp_83,0.0,0.23469999992847443,1.0,0.61,0.29,0.0,0.8099999999999999,0.4,0.22000000000000003,0.6,1.0,TwoStageBetween,0.4084,0.9716,1,0.4435
35,75-attributes,exp_17,1.0,0.22340000009536742,1.0,0.28,0.17,1.0,0.8300000000000001,0.4,0.43,0.6,0.0,TwoStageBetween,0.6147,0.8509,1,0.3729
36,75-attributes,exp_103,0.0,0.25209999990463255,1.0,0.58,0.38,1.0,0.6900000000000001,0.6,0.49000000000000005,0.4,1.0,TwoStageBetween,0.6639,0.7936,1,0.1782
37,75-attributes,catch_17,1.0,0.24110000002384183,1.0,0.4,0.68,1.0,0.3,0.5,0.22000000000000003,0.5,0.0,TwoStageBetween,0.3974,0.0252,0,0.1279
38,75-attributes,exp_93,0.0,0.28430000007152556,1.0,0.5,0.38,0.0,0.4,0.6,0.3,0.4,1.0,TwoStageBetween,0.6295,0.8356,1,0.521
39,75-attributes,catch_13,1.0,0.47789999997615806,1.0,0.21,0.52,1.0,0.27999999999999997,0.5,0.18,0.5,0.0,TwoStageBetween,0.2709,0.0037,0,0.1688
40,75-attributes,exp_61,1.0,0.5967999999523163,1.0,0.41,0.21,0.0,0.62,0.6,0.18,0.4,0.0,TwoStageBetween,0.4896,0.9396,1,0.1854
41,75-attributes,exp_63,0.0,0.14380000007152557,1.0,0.41,0.21,1.0,0.62,0.6,0.18,0.4,1.0,TwoStageBetween,0.6119,0.8537,0,1.3046
42,75-attributes,exp_65,0.0,0.1945,1.0,0.72,0.51,1.0,0.52,0.4,0.42000000000000004,0.6,1.0,TwoStageBetween,0.6713,0.7829,1,0.5222
43,75-attributes,exp_13,0.0,0.6315,1.0,0.7,0.29,0.0,0.5,0.6,0.18,0.4,1.0,TwoStageBetween,0.3789,0.9796,1,0.5827
44,75-attributes,exp_21,0.0,0.36560000002384185,1.0,0.28,0.17,0.0,0.8300000000000001,0.6,0.43,0.4,1.0,TwoStageBetween,0.5304,0.9171,1,0.2832
45,75-attributes,catch_19,1.0,0.2812000000476837,1.0,0.48,0.59,1.0,0.48,0.5,0.31,0.5,0.0,TwoStageBetween,0.5755,0.1143,0,0.1672
46,75-attributes,exp_109,0.0,0.3352000000476837,1.0,0.78,0.4,0.0,0.3,0.6,0.21000000000000002,0.4,1.0,TwoStageBetween,0.4104,0.9709,1,0.6739
47,75-attributes,catch_15,1.0,0.19329999995231628,1.0,0.22,0.49,1.0,0.49000000000000005,0.5,0.3,0.5,0.0,TwoStageBetween,0.293,0.0057,0,0.3124
48,75-attributes,exp_79,0.0,0.5532999999523163,1.0,0.8,0.2,1.0,0.6799999999999999,0.6,0.4,0.4,1.0,TwoStageBetween,0.2867,0.9949,1,0.3147
49,75-attributes,exp_11,0.0,0.2782000000476837,1.0,0.7,0.29,0.0,0.5,0.4,0.18,0.6,1.0,TwoStageBetween,0.3391,0.9879,1,0.1693
50,75-attributes,exp_39,1.0,0.41380000007152556,1.0,0.79,0.7,1.0,0.32,0.6,0.2,0.4,0.0,TwoStageBetween,0.7504,0.4173,0,0.4668
51,75-attributes,exp_81,0.0,0.3370999999046326,1.0,0.61,0.29,1.0,0.8099999999999999,0.4,0.22000000000000003,0.6,1.0,TwoStageBetween,0.5124,0.9276,1,0.1409
52,75-attributes,exp_119,0.0,0.40340000009536736,1.0,0.49,0.22,1.0,0.79,0.6,0.42000000000000004,0.4,1.0,TwoStageBetween,0.475,0.9466,1,0.5198
53,75-attributes,catch_11,1.0,0.3545,1.0,0.18,0.58,1.0,0.5,0.5,0.16999999999999996,0.5,0.0,TwoStageBetween,0.2101,0.0007,0,0.1489
54,75-attributes,exp_105,0.0,0.34569999992847444,1.0,0.78,0.4,1.0,0.3,0.4,0.21000000000000002,0.6,1.0,TwoStageBetween,0.4716,0.9481,1,0.3162
55,75-attributes,exp_77,0.0,0.2602999999523163,1.0,0.8,0.2,0.0,0.6799999999999999,0.6,0.4,0.4,1.0,TwoStageBetween,0.2434,0.9981,1,0.3727
56,75-attributes,exp_75,0.0,0.07719999992847443,1.0,0.8,0.2,0.0,0.6799999999999999,0.4,0.4,0.6,1.0,TwoStageBetween,0.2197,0.999,1,0.1728
57,75-attributes,exp_49,0.0,0.8046999999284744,1.0,0.49,0.32,1.0,0.82,0.4,0.6900000000000001,0.6,1.0,TwoStageBetween,0.6104,0.8551,1,1.353
58,75-attributes,exp_85,0.0,0.5232000000476837,1.0,0.61,0.29,0.0,0.8099999999999999,0.6,0.22000000000000003,0.4,1.0,TwoStageBetween,0.4565,0.9546,1,0.175
59,75-attributes,exp_5,0.0,0.3925,1.0,0.79,0.49,0.0,0.8300000000000001,0.6,0.53,0.4,1.0,TwoStageBetween,0.519,0.9239,1,0.2755
60,75-attributes,exp_87,0.0,0.47879999995231626,1.0,0.61,0.29,1.0,0.8099999999999999,0.6,0.22000000000000003,0.4,1.0,TwoStageBetween,0.5732,0.8874,1,0.4038
61,75-attributes,exp_51,0.0,0.8541000000238419,1.0,0.49,0.32,0.0,0.82,0.4,0.6900000000000001,0.6,1.0,TwoStageBetween,0.4884,0.9403,1,0.1275
62,75-attributes,exp_97,0.0,0.19790000009536743,1.0,0.58,0.38,1.0,0.6900000000000001,0.4,0.49000000000000005,0.6,1.0,TwoStageBetween,0.6326,0.8321,1,0.3386
63,75-attributes,exp_41,1.0,0.38840000009536735,1.0,0.81,0.48,1.0,0.79,0.4,0.16999999999999996,0.6,0.0,TwoStageBetween,0.6742,0.7787,1,0.6504
64,75-attributes,exp_31,0.0,0.23159999990463256,1.0,0.3,0.17,1.0,0.3,0.6,0.2,0.4,1.0,TwoStageBetween,0.5811,0.8811,1,0.624
65,75-attributes,exp_95,0.0,0.23239999997615812,1.0,0.5,0.38,1.0,0.4,0.6,0.3,0.4,1.0,TwoStageBetween,0.7329,0.6556,1,0.1997
66,75-attributes,exp_71,0.0,0.2538000000715256,1.0,0.72,0.51,1.0,0.52,0.6,0.42000000000000004,0.4,1.0,TwoStageBetween,0.6938,0.7466,0,0.1183
67,75-attributes,exp_33,1.0,0.23640000009536744,1.0,0.79,0.7,1.0,0.32,0.4,0.2,0.6,0.0,TwoStageBetween,0.7539,0.4437,1,0.734
68,75-attributes,exp_111,0.0,0.32420000004768373,1.0,0.78,0.4,1.0,0.3,0.6,0.21000000000000002,0.4,1.0,TwoStageBetween,0.5151,0.9262,1,0.9367
69,75-attributes,exp_7,0.0,0.3075,1.0,0.79,0.49,1.0,0.8300000000000001,0.6,0.53,0.4,1.0,TwoStageBetween,0.6433,0.8198,1,0.8531
