,subject_id,condition,choice,rt,m1,gm,p1,gp,m0,last_stage_favours,presentation01,p0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,99-alternatives,exp_78,0.0,0.629,0.6799999999999999,0.5,0.2,0.5,0.4,1.0,0.0,0.8,1.0,TwoStageBetween,0.3985,0.9425,0,0.1628
1,99-alternatives,exp_68,0.0,0.3,0.52,0.5,0.51,0.5,0.42000000000000004,0.0,0.0,0.72,1.0,TwoStageBetween,0.6075,0.6549,1,0.653
2,99-alternatives,exp_82,1.0,0.287,0.8099999999999999,0.5,0.29,0.5,0.22000000000000003,0.0,0.0,0.61,0.0,TwoStageBetween,0.6224,0.4194,0,0.3963
3,99-alternatives,exp_90,0.0,0.504,0.4,0.5,0.38,0.5,0.3,0.0,0.0,0.5,1.0,TwoStageBetween,0.6248,0.5592,0,0.3638
4,99-alternatives,exp_60,1.0,0.554,0.62,0.5,0.21,0.5,0.18,0.0,0.0,0.41,0.0,TwoStageBetween,0.6181,0.3921,0,0.9669
5,99-alternatives,exp_36,1.0,0.533,0.32,0.5,0.7,0.5,0.2,0.0,0.0,0.79,0.0,TwoStageBetween,0.6047,0.3348,1,0.4516
6,99-alternatives,catch_0,1.0,0.891,0.3,0.5,0.72,0.5,0.2,1.0,0.0,0.19,0.0,TwoStageBetween,0.2556,0.0078,0,0.2348
7,99-alternatives,exp_80,0.0,0.371,0.8099999999999999,0.5,0.29,0.5,0.22000000000000003,1.0,0.0,0.61,1.0,TwoStageBetween,0.6224,0.4194,0,2.4387
8,99-alternatives,exp_74,0.0,0.252,0.6799999999999999,0.5,0.2,0.5,0.4,0.0,0.0,0.8,1.0,TwoStageBetween,0.3985,0.9425,1,0.311
9,99-alternatives,exp_88,1.0,0.338,0.4,0.5,0.38,0.5,0.3,1.0,0.0,0.5,0.0,TwoStageBetween,0.6248,0.5592,0,0.9402
10,99-alternatives,exp_116,0.0,0.376,0.79,0.5,0.22,0.5,0.42000000000000004,0.0,0.0,0.49,1.0,TwoStageBetween,0.5719,0.7509,1,0.8528
11,99-alternatives,catch_8,1.0,0.188,0.5,0.5,0.32,0.5,0.37,1.0,0.0,0.22,0.0,TwoStageBetween,0.485,0.1247,0,0.1876
12,99-alternatives,exp_114,0.0,0.26,0.79,0.5,0.22,0.5,0.42000000000000004,0.0,0.0,0.49,1.0,TwoStageBetween,0.5719,0.7509,1,0.1643
13,99-alternatives,exp_20,1.0,0.56,0.8300000000000001,0.5,0.17,0.5,0.43,0.0,0.0,0.28,0.0,TwoStageBetween,0.6268,0.5342,0,0.8453
14,99-alternatives,exp_10,0.0,0.899,0.5,0.5,0.29,0.5,0.18,0.0,0.0,0.7,1.0,TwoStageBetween,0.6126,0.6343,0,1.8226
15,99-alternatives,exp_96,1.0,0.684,0.6900000000000001,0.5,0.38,0.5,0.49000000000000005,1.0,0.0,0.58,0.0,TwoStageBetween,0.6102,0.6444,0,0.8709
16,99-alternatives,exp_30,0.0,0.527,0.3,0.5,0.17,0.5,0.2,1.0,0.0,0.3,1.0,TwoStageBetween,0.5886,0.7126,1,0.2469
17,99-alternatives,exp_42,1.0,0.369,0.79,0.5,0.48,0.5,0.16999999999999996,0.0,0.0,0.81,0.0,TwoStageBetween,0.5494,0.2077,0,1.6031
18,99-alternatives,exp_22,0.0,0.325,0.8300000000000001,0.5,0.17,0.5,0.43,1.0,0.0,0.28,1.0,TwoStageBetween,0.6268,0.5342,1,0.8581
19,99-alternatives,catch_2,1.0,0.375,0.4,0.5,0.6,0.5,0.22000000000000003,1.0,0.0,0.38,0.0,TwoStageBetween,0.391,0.0533,0,0.396
20,99-alternatives,exp_94,1.0,0.377,0.4,0.5,0.38,0.5,0.3,1.0,0.0,0.5,0.0,TwoStageBetween,0.6248,0.5592,1,0.1348
21,99-alternatives,exp_58,1.0,0.409,0.62,0.5,0.21,0.5,0.18,0.0,0.0,0.41,0.0,TwoStageBetween,0.6181,0.3921,0,0.71
22,99-alternatives,exp_108,0.0,0.334,0.3,0.5,0.4,0.5,0.21000000000000002,0.0,0.0,0.78,1.0,TwoStageBetween,0.5508,0.7899,1,0.5885
23,99-alternatives,exp_46,1.0,0.534,0.79,0.5,0.48,0.5,0.16999999999999996,1.0,0.0,0.81,0.0,TwoStageBetween,0.5494,0.2077,1,0.2968
24,99-alternatives,catch_4,1.0,0.448,0.73,0.5,0.31,0.5,0.4,1.0,0.0,0.19,0.0,TwoStageBetween,0.3808,0.0479,0,0.2995
25,99-alternatives,exp_98,0.0,0.389,0.6900000000000001,0.5,0.38,0.5,0.49000000000000005,0.0,0.0,0.58,1.0,TwoStageBetween,0.6102,0.6444,1,0.2998
26,99-alternatives,exp_18,1.0,0.574,0.8300000000000001,0.5,0.17,0.5,0.43,0.0,0.0,0.28,0.0,TwoStageBetween,0.6268,0.5342,1,0.183
27,99-alternatives,exp_102,0.0,0.437,0.6900000000000001,0.5,0.38,0.5,0.49000000000000005,1.0,0.0,0.58,1.0,TwoStageBetween,0.6102,0.6444,1,1.0411
28,99-alternatives,exp_8,0.0,0.517,0.5,0.5,0.29,0.5,0.18,1.0,0.0,0.7,1.0,TwoStageBetween,0.6126,0.6343,0,1.8922
29,99-alternatives,exp_52,0.0,0.425,0.82,0.5,0.32,0.5,0.6900000000000001,0.0,0.0,0.49,1.0,TwoStageBetween,0.5811,0.7309,0,0.7039
30,99-alternatives,exp_104,0.0,0.783,0.3,0.5,0.4,0.5,0.21000000000000002,1.0,0.0,0.78,1.0,TwoStageBetween,0.5508,0.7899,1,0.1352
