,subject_id,condition,choice,rt,m1,p1,m0,last_stage_favours,presentation01,g1,g0,p0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,46-alternatives,exp_8,1.0,1.6307999999970197,0.5,0.29,0.18,1.0,0.0,0.4,0.6,0.7,0.0,TwoStageWithin,0.6091,0.343,0,0.4496
1,46-alternatives,exp_98,0.0,0.3965,0.6900000000000001,0.38,0.49000000000000005,0.0,0.0,0.4,0.6,0.58,1.0,TwoStageWithin,0.5418,0.8072,1,0.5721
2,46-alternatives,exp_94,0.0,0.388,0.4,0.38,0.3,1.0,0.0,0.6,0.4,0.5,1.0,TwoStageWithin,0.6157,0.3698,0,0.8145
3,46-alternatives,exp_82,1.0,0.46730000001192085,0.8099999999999999,0.29,0.22000000000000003,0.0,0.0,0.4,0.6,0.61,0.0,TwoStageWithin,0.5755,0.2523,0,0.2507
4,46-alternatives,exp_116,0.0,1.7516999999880791,0.79,0.22,0.42000000000000004,0.0,0.0,0.6,0.4,0.49,1.0,TwoStageWithin,0.508,0.8521,1,0.1593
5,46-alternatives,exp_74,0.0,0.3505,0.6799999999999999,0.2,0.4,0.0,0.0,0.4,0.6,0.8,1.0,TwoStageWithin,0.2316,0.9955,1,0.0769
6,46-alternatives,exp_64,1.0,0.22170000000298024,0.52,0.51,0.42000000000000004,1.0,0.0,0.4,0.6,0.72,0.0,TwoStageWithin,0.6188,0.615,0,0.1019
7,46-alternatives,exp_42,1.0,0.2465,0.79,0.48,0.16999999999999996,0.0,0.0,0.4,0.6,0.81,0.0,TwoStageWithin,0.2949,0.0155,0,0.0649
8,46-alternatives,exp_46,1.0,0.228,0.79,0.48,0.16999999999999996,1.0,0.0,0.6,0.4,0.81,0.0,TwoStageWithin,0.2318,0.0045,0,0.2318
9,46-alternatives,exp_84,0.0,0.33079999999701976,0.8099999999999999,0.29,0.22000000000000003,0.0,0.0,0.6,0.4,0.61,1.0,TwoStageWithin,0.5755,0.2523,0,0.2493
