,subject_id,condition,choice,rt,m1,p1,m0,last_stage_favours,presentation01,g1,g0,p0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,83-attributes,exp_25,0.0,0.3968999999999069,0.3,0.17,0.2,1.0,1.0,0.5,0.5,0.3,1.0,TwoStageWithin,0.6683,0.6866,1,0.9521
1,83-attributes,catch_3,1.0,0.343,0.6799999999999999,0.38,0.58,1.0,1.0,0.5,0.5,0.19,0.0,TwoStageWithin,0.3892,0.0326,0,0.67
2,83-attributes,catch_5,1.0,0.249,0.43,0.49,0.32,1.0,1.0,0.5,0.5,0.4,0.0,TwoStageWithin,0.5474,0.1286,0,0.2047
3,83-attributes,exp_9,0.0,0.27059999999962747,0.5,0.29,0.18,1.0,1.0,0.5,0.5,0.7,1.0,TwoStageWithin,0.5722,0.8463,1,1.5422
4,83-attributes,exp_69,0.0,0.3831999999997206,0.52,0.51,0.42000000000000004,0.0,1.0,0.5,0.5,0.72,1.0,TwoStageWithin,0.5456,0.873,1,0.1423
5,83-attributes,exp_29,0.0,0.339,0.3,0.17,0.2,0.0,1.0,0.5,0.5,0.3,1.0,TwoStageWithin,0.6683,0.6866,1,0.3723
6,83-attributes,exp_3,0.0,0.3391999999997206,0.8300000000000001,0.49,0.53,0.0,1.0,0.5,0.5,0.79,1.0,TwoStageWithin,0.4806,0.9229,1,0.1679
7,83-attributes,exp_43,1.0,0.3335,0.79,0.48,0.16999999999999996,0.0,1.0,0.5,0.5,0.81,0.0,TwoStageWithin,0.5284,0.1119,0,1.3232
8,83-attributes,exp_115,0.0,0.44860000000009315,0.79,0.22,0.42000000000000004,0.0,1.0,0.5,0.5,0.49,1.0,TwoStageWithin,0.4935,0.9145,1,0.7455
9,83-attributes,exp_27,1.0,0.5026999999997206,0.3,0.17,0.2,0.0,1.0,0.5,0.5,0.3,0.0,TwoStageWithin,0.6683,0.6866,1,1.1605
10,83-attributes,exp_35,1.0,0.2785,0.32,0.7,0.2,0.0,1.0,0.5,0.5,0.79,0.0,TwoStageWithin,0.6581,0.287,0,0.745
11,83-attributes,exp_47,1.0,0.3171999999997206,0.79,0.48,0.16999999999999996,1.0,1.0,0.5,0.5,0.81,0.0,TwoStageWithin,0.5284,0.1119,0,0.5417
12,83-attributes,exp_99,1.0,0.3133000000002794,0.6900000000000001,0.38,0.49000000000000005,0.0,1.0,0.5,0.5,0.58,0.0,TwoStageWithin,0.5666,0.8523,1,0.6118
13,83-attributes,catch_7,1.0,0.27570000000018624,0.52,0.48,0.21000000000000002,1.0,1.0,0.5,0.5,0.28,0.0,TwoStageWithin,0.3137,0.0123,0,0.2715
14,83-attributes,exp_113,0.0,0.3652999999998137,0.79,0.22,0.42000000000000004,1.0,1.0,0.5,0.5,0.49,1.0,TwoStageWithin,0.4935,0.9145,0,0.6769
15,83-attributes,exp_19,1.0,0.3138000000002794,0.8300000000000001,0.17,0.43,0.0,1.0,0.5,0.5,0.28,0.0,TwoStageWithin,0.6859,0.6285,0,0.2896
16,83-attributes,exp_67,0.0,0.2730999999996275,0.52,0.51,0.42000000000000004,0.0,1.0,0.5,0.5,0.72,1.0,TwoStageWithin,0.5456,0.873,1,0.6176
17,83-attributes,exp_89,1.0,0.4096999999997206,0.4,0.38,0.3,1.0,1.0,0.5,0.5,0.5,0.0,TwoStageWithin,0.6795,0.6525,1,0.2952
18,83-attributes,exp_91,1.0,0.2043000000002794,0.4,0.38,0.3,0.0,1.0,0.5,0.5,0.5,0.0,TwoStageWithin,0.6795,0.6525,0,0.3431
19,83-attributes,catch_1,1.0,0.571,0.5900000000000001,0.41,0.42000000000000004,1.0,1.0,0.5,0.5,0.29,0.0,TwoStageWithin,0.4717,0.0715,0,0.4319
20,83-attributes,exp_107,1.0,0.4871000000000931,0.3,0.4,0.21000000000000002,0.0,1.0,0.5,0.5,0.78,0.0,TwoStageWithin,0.4595,0.9355,1,0.1142
21,83-attributes,exp_57,0.0,1.7388999999999069,0.62,0.21,0.18,1.0,1.0,0.5,0.5,0.41,1.0,TwoStageWithin,0.7006,0.5204,0,1.5876
22,83-attributes,catch_9,1.0,0.44929999999981374,0.4,0.72,0.18,1.0,1.0,0.5,0.5,0.48,0.0,TwoStageWithin,0.2756,0.0063,0,0.091
23,83-attributes,exp_101,0.0,0.4546999999997206,0.6900000000000001,0.38,0.49000000000000005,0.0,1.0,0.5,0.5,0.58,1.0,TwoStageWithin,0.5666,0.8523,1,0.7209
24,83-attributes,exp_53,0.0,0.3394000000003725,0.82,0.32,0.6900000000000001,0.0,1.0,0.5,0.5,0.49,1.0,TwoStageWithin,0.4982,0.9113,1,0.4391
25,83-attributes,exp_117,0.0,0.3835,0.79,0.22,0.42000000000000004,0.0,1.0,0.5,0.5,0.49,1.0,TwoStageWithin,0.4935,0.9145,0,0.1351
26,83-attributes,exp_1,0.0,0.4716999999997206,0.8300000000000001,0.49,0.53,1.0,1.0,0.5,0.5,0.79,1.0,TwoStageWithin,0.4806,0.9229,1,0.264
27,83-attributes,exp_23,0.0,0.22820000000018623,0.8300000000000001,0.17,0.43,1.0,1.0,0.5,0.5,0.28,1.0,TwoStageWithin,0.6859,0.6285,1,0.1458
28,83-attributes,exp_59,0.0,0.35229999999981376,0.62,0.21,0.18,0.0,1.0,0.5,0.5,0.41,1.0,TwoStageWithin,0.7006,0.5204,0,0.838
