,alpha,theta,v,b_last,noise,loss,lossfun,model,subject_id,wp,eta
0,,,9.5119,,1.0102,115.77,BIC,TwoStageBetween,0-alternatives,0.5409,
1,0.756,1.0,10.1115,0.0251,1.0119,124.6625,BIC,TwoStageWithin,0-alternatives,,
2,,,4.2785,-0.0107,1.1239,145.8923,BIC,TwoStageBetween,0-attributes,0.5852,0.9055
3,0.5982,,4.8533,,1.1207,136.5511,BIC,TwoStageWithin,0-attributes,,
4,,,15.1791,,1.42,273.5986,BIC,TwoStageBetween,1-alternatives,0.5619,
5,0.7536,0.8155,19.4547,0.0252,1.404,277.4861,BIC,TwoStageWithin,1-alternatives,,
6,,,10.0524,0.0011,1.5548,177.4092,BIC,TwoStageBetween,1-attributes,0.5635,1.0
7,0.7013,,12.2116,,1.5523,167.8878,BIC,TwoStageWithin,1-attributes,,
8,,,7.265,,0.9978,123.7806,BIC,TwoStageBetween,10-alternatives,0.5554,
9,0.717,1.0,8.2513,0.0185,1.0012,133.0996,BIC,TwoStageWithin,10-alternatives,,
10,,,10.112,-0.0148,0.9861,113.9158,BIC,TwoStageBetween,10-attributes,0.6754,0.3837
11,0.4514,,7.2948,,1.0035,109.045,BIC,TwoStageWithin,10-attributes,,
12,,,7.8456,,0.884,131.3442,BIC,TwoStageBetween,100-alternatives,0.6059,
13,0.6109,1.0,7.9362,0.0202,0.9002,143.9142,BIC,TwoStageWithin,100-alternatives,,
14,,,5.8864,0.0004,1.0307,144.3316,BIC,TwoStageBetween,100-attributes,0.5868,1.0
15,0.7312,,7.4445,,1.0215,133.4097,BIC,TwoStageWithin,100-attributes,,
16,,,6.7224,,0.9459,57.1822,BIC,TwoStageBetween,101-alternatives,0.8734,
17,0.0468,1.0,6.1732,0.0287,0.9364,63.894,BIC,TwoStageWithin,101-alternatives,,
18,,,4.1868,0.0244,0.9983,92.6887,BIC,TwoStageBetween,101-attributes,1.0,1.0
19,0.0,,4.7106,,0.9923,82.7759,BIC,TwoStageWithin,101-attributes,,
20,,,14.3317,,1.3093,33.7295,BIC,TwoStageBetween,102-alternatives,0.5608,
21,0.7625,1.0,17.3699,0.023,1.2777,37.1148,BIC,TwoStageWithin,102-alternatives,,
22,,,19.7934,-0.0018,1.287,37.6346,BIC,TwoStageBetween,102-attributes,0.5769,0.4235
23,0.7642,,17.2606,,1.2872,29.1666,BIC,TwoStageWithin,102-attributes,,
24,,,9.6143,,1.0646,69.5022,BIC,TwoStageBetween,103-alternatives,0.67,
25,0.5416,1.0,11.0412,0.0083,1.0905,82.9181,BIC,TwoStageWithin,103-alternatives,,
26,,,14.519,-0.0037,0.9689,159.0537,BIC,TwoStageBetween,103-attributes,0.6739,0.39
27,0.4562,,10.7476,,1.0061,156.9793,BIC,TwoStageWithin,103-attributes,,
28,,,11.0383,,1.8104,84.4015,BIC,TwoStageBetween,104-alternatives,0.5838,
29,0.6432,1.0,13.4155,-0.0135,1.8055,91.2247,BIC,TwoStageWithin,104-alternatives,,
30,,,22.2863,-0.013,1.9367,23.9458,BIC,TwoStageBetween,104-attributes,0.6416,1.0
31,0.543,,27.7856,,1.9094,8.8157,BIC,TwoStageWithin,104-attributes,,
32,,,19.5084,,1.4698,69.6186,BIC,TwoStageBetween,105-alternatives,0.5302,
33,0.7931,0.8583,21.4244,0.0206,1.4916,84.0803,BIC,TwoStageWithin,105-alternatives,,
34,,,19.6423,0.0024,1.5456,37.9665,BIC,TwoStageBetween,105-attributes,0.5339,1.0
35,0.8313,,25.5847,,1.515,22.7059,BIC,TwoStageWithin,105-attributes,,
36,,,7.429,,1.3383,74.3208,BIC,TwoStageBetween,106-alternatives,0.3566,
37,1.9973,0.6603,14.9226,0.0035,1.336,82.2705,BIC,TwoStageWithin,106-alternatives,,
38,,,9.0123,0.0834,1.3715,56.8884,BIC,TwoStageBetween,106-attributes,0.2782,0.4392
39,2.0447,,13.5004,,1.425,58.9581,BIC,TwoStageWithin,106-attributes,,
40,,,1.1579,,0.9465,192.2275,BIC,TwoStageBetween,107-alternatives,0.9524,
41,0.0242,1.0,1.3013,0.0893,0.9367,197.4847,BIC,TwoStageWithin,107-alternatives,,
42,,,3.0662,0.0175,0.9114,190.5911,BIC,TwoStageBetween,107-attributes,0.7189,1.0
43,0.1678,,2.1742,,0.9272,187.0944,BIC,TwoStageWithin,107-attributes,,
44,,,9.6946,,1.1596,98.2776,BIC,TwoStageBetween,109-alternatives,0.506,
45,1.0655,0.2873,14.5139,0.0095,1.1792,111.4005,BIC,TwoStageWithin,109-alternatives,,
46,,,8.2423,-0.0005,1.2221,105.8085,BIC,TwoStageBetween,109-attributes,0.5009,1.0
47,0.9632,,9.3531,,1.2324,99.6854,BIC,TwoStageWithin,109-attributes,,
48,,,7.1974,,0.8771,140.6004,BIC,TwoStageBetween,11-alternatives,0.4521,
49,1.228,1.0,9.0524,-0.0108,0.9002,154.8734,BIC,TwoStageWithin,11-alternatives,,
50,,,6.1356,0.0064,0.9446,148.3328,BIC,TwoStageBetween,11-attributes,0.4902,1.0
51,1.1491,,8.0927,,0.9501,141.1799,BIC,TwoStageWithin,11-attributes,,
52,,,6.439,,0.7966,9.8889,BIC,TwoStageBetween,110-alternatives,0.9796,
53,0.0,1.0,6.6438,0.0357,0.8135,21.4542,BIC,TwoStageWithin,110-alternatives,,
54,,,6.1779,0.019,0.861,22.8881,BIC,TwoStageBetween,110-attributes,1.0,1.0
55,0.0,,6.9408,,0.8243,8.2249,BIC,TwoStageWithin,110-attributes,,
