,subject_id,condition,choice,rt,presentation01,gp,p0,p1,m1,last_stage_favours,m0,gm,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,167-TwoStageWithin,exp_94,0.0,1.8545,0.0,0.5,0.5,0.38,0.4,1.0,0.3,0.5,0.0,TwoStageBetween,1.2937,0.4321,1.0,1.4407
1,167-TwoStageWithin,exp_104,1.0,1.101,0.0,0.5,0.78,0.4,0.3,1.0,0.21,0.5,1.0,TwoStageBetween,1.2878,0.5636,0.0,0.7282
2,167-TwoStageWithin,catch_8,1.0,0.8014,0.0,0.5,0.22,0.32,0.5,1.0,0.37,0.5,1.0,TwoStageBetween,1.1645,0.1819,1.0,0.3463
3,167-TwoStageWithin,exp_99,1.0,2.1388,1.0,0.6,0.58,0.38,0.6900000000000001,0.0,0.49,0.4,1.0,TwoStageBetween,1.2933,0.4286,0.0,2.9437
4,167-TwoStageWithin,exp_60,0.0,1.7788,0.0,0.5,0.41,0.21,0.62,0.0,0.18,0.5,0.0,TwoStageBetween,1.1553,0.1739,0.0,0.5424
5,167-TwoStageWithin,exp_25,0.0,1.0875,1.0,0.6,0.3,0.17,0.3,1.0,0.2,0.4,0.0,TwoStageBetween,1.2856,0.5743,1.0,0.5744
6,167-TwoStageWithin,exp_40,0.0,2.8214,0.0,0.5,0.81,0.48,0.79,1.0,0.1699999999999999,0.5,0.0,TwoStageBetween,1.017,0.0922,1.0,0.8493
7,167-TwoStageWithin,exp_98,0.0,1.4629,0.0,0.5,0.58,0.38,0.6900000000000001,0.0,0.49,0.5,0.0,TwoStageBetween,1.296,0.4664,1.0,0.461
8,167-TwoStageWithin,exp_23,0.0,2.3188,1.0,0.4,0.28,0.17,0.8300000000000001,1.0,0.43,0.6,0.0,TwoStageBetween,1.2771,0.3532,1.0,0.5961
9,167-TwoStageWithin,exp_78,1.0,1.3552,0.0,0.5,0.8,0.2,0.6799999999999999,1.0,0.4,0.5,1.0,TwoStageBetween,1.2307,0.7114,1.0,1.2393
10,167-TwoStageWithin,exp_29,0.0,1.4189,1.0,0.4,0.3,0.17,0.3,0.0,0.2,0.6,0.0,TwoStageBetween,1.291,0.4123,1.0,0.6063
11,167-TwoStageWithin,catch_5,0.0,0.9673,1.0,0.5,0.4,0.49,0.43,1.0,0.32,0.5,0.0,TwoStageBetween,1.2451,0.2801,1.0,0.7828
12,167-TwoStageWithin,exp_53,0.0,2.1252,1.0,0.4,0.49,0.32,0.82,0.0,0.6900000000000001,0.6,0.0,TwoStageBetween,1.2957,0.497,1.0,1.0063
13,167-TwoStageWithin,exp_3,0.0,0.2927,1.0,0.6,0.79,0.49,0.8300000000000001,0.0,0.53,0.4,0.0,TwoStageBetween,1.2882,0.3961,1.0,0.4081
14,167-TwoStageWithin,exp_20,0.0,0.2866,0.0,0.5,0.28,0.17,0.8300000000000001,0.0,0.43,0.5,0.0,TwoStageBetween,1.2682,0.3281,1.0,0.6078
15,167-TwoStageWithin,exp_67,1.0,2.6857,1.0,0.6,0.72,0.51,0.52,0.0,0.42,0.4,1.0,TwoStageBetween,1.2959,0.4643,0.0,1.8076
16,167-TwoStageWithin,catch_9,0.0,1.3462,1.0,0.5,0.48,0.72,0.4,1.0,0.18,0.5,0.0,TwoStageBetween,0.9813,0.0783,0.0,1.9426
17,167-TwoStageWithin,exp_101,0.0,2.8483,1.0,0.4,0.58,0.38,0.6900000000000001,0.0,0.49,0.6,0.0,TwoStageBetween,1.2872,0.3915,0.0,0.8563
18,167-TwoStageWithin,exp_73,1.0,0.3372,1.0,0.6,0.8,0.2,0.6799999999999999,1.0,0.4,0.4,1.0,TwoStageBetween,1.1714,0.7891,1.0,1.1866
19,167-TwoStageWithin,exp_82,0.0,0.8307,0.0,0.5,0.61,0.29,0.8099999999999999,0.0,0.22,0.5,0.0,TwoStageBetween,1.1574,0.1757,0.0,1.6144
20,167-TwoStageWithin,catch_4,0.0,1.0388,0.0,0.5,0.19,0.31,0.73,1.0,0.4,0.5,0.0,TwoStageBetween,0.9905,0.0817,0.0,0.1684
21,167-TwoStageWithin,exp_47,0.0,0.4002,1.0,0.4,0.81,0.48,0.79,1.0,0.1699999999999999,0.6,0.0,TwoStageBetween,1.0239,0.0952,0.0,0.5052
22,167-TwoStageWithin,exp_89,0.0,0.7028,1.0,0.6,0.5,0.38,0.4,1.0,0.3,0.4,0.0,TwoStageBetween,1.2954,0.5037,1.0,1.3502
23,167-TwoStageWithin,exp_19,0.0,2.798,1.0,0.6,0.28,0.17,0.8300000000000001,0.0,0.43,0.4,0.0,TwoStageBetween,1.2576,0.3039,0.0,0.8604
24,167-TwoStageWithin,exp_64,1.0,0.4092,0.0,0.5,0.72,0.51,0.52,1.0,0.42,0.5,1.0,TwoStageBetween,1.2951,0.5079,1.0,0.735
25,167-TwoStageWithin,exp_22,0.0,0.9046,0.0,0.5,0.28,0.17,0.8300000000000001,1.0,0.43,0.5,0.0,TwoStageBetween,1.2682,0.3281,1.0,0.8497
26,167-TwoStageWithin,exp_114,0.0,1.0175,0.0,0.5,0.49,0.22,0.79,0.0,0.42,0.5,0.0,TwoStageBetween,1.2958,0.4611,1.0,2.0882
27,167-TwoStageWithin,exp_27,0.0,1.064,1.0,0.6,0.3,0.17,0.3,0.0,0.2,0.4,0.0,TwoStageBetween,1.2957,0.4595,0.0,0.2453
28,167-TwoStageWithin,catch_2,0.0,0.943,0.0,0.5,0.38,0.6,0.4,1.0,0.22,0.5,0.0,TwoStageBetween,1.0041,0.087,0.0,0.1881
29,167-TwoStageWithin,exp_30,0.0,3.0119,0.0,0.5,0.3,0.17,0.3,1.0,0.2,0.5,0.0,TwoStageBetween,1.2959,0.4928,1.0,1.0669
30,167-TwoStageWithin,exp_35,1.0,0.5364,1.0,0.6,0.79,0.7,0.32,0.0,0.2,0.4,1.0,TwoStageBetween,1.2194,0.2411,0.0,0.3402
31,167-TwoStageWithin,exp_57,0.0,2.3471,1.0,0.6,0.41,0.21,0.62,1.0,0.18,0.4,0.0,TwoStageBetween,1.2206,0.2427,0.0,0.6465
32,167-TwoStageWithin,exp_91,0.0,1.1328,1.0,0.6,0.5,0.38,0.4,0.0,0.3,0.4,0.0,TwoStageBetween,1.287,0.3905,0.0,2.3235
33,167-TwoStageWithin,exp_26,0.0,0.3757,0.0,0.5,0.3,0.17,0.3,0.0,0.2,0.5,0.0,TwoStageBetween,1.2959,0.4928,0.0,0.6088
34,167-TwoStageWithin,exp_107,0.0,2.6757,1.0,0.6,0.78,0.4,0.3,0.0,0.21,0.4,0.0,TwoStageBetween,1.2929,0.5309,0.0,0.2805
35,167-TwoStageWithin,exp_45,0.0,0.1865,1.0,0.4,0.81,0.48,0.79,0.0,0.1699999999999999,0.6,0.0,TwoStageBetween,0.9293,0.0614,0.0,1.1651
36,167-TwoStageWithin,exp_10,1.0,2.4219,0.0,0.5,0.7,0.29,0.5,0.0,0.18,0.5,1.0,TwoStageBetween,1.2577,0.3041,,
37,167-TwoStageWithin,exp_115,0.0,1.1731,1.0,0.6,0.49,0.22,0.79,0.0,0.42,0.4,0.0,TwoStageBetween,1.2943,0.4387,1.0,2.3978
38,167-TwoStageWithin,exp_1,1.0,0.3911,1.0,0.6,0.79,0.49,0.8300000000000001,1.0,0.53,0.4,1.0,TwoStageBetween,1.295,0.5095,0.0,0.55
39,167-TwoStageWithin,exp_15,1.0,3.3014,1.0,0.4,0.7,0.29,0.5,1.0,0.18,0.6,1.0,TwoStageBetween,1.2622,0.3139,0.0,0.5356
40,167-TwoStageWithin,exp_80,0.0,2.8642,0.0,0.5,0.61,0.29,0.8099999999999999,1.0,0.22,0.5,0.0,TwoStageBetween,1.1574,0.1757,0.0,0.2557
41,167-TwoStageWithin,exp_43,0.0,0.4435,1.0,0.6,0.81,0.48,0.79,0.0,0.1699999999999999,0.4,0.0,TwoStageBetween,1.0102,0.0894,0.0,0.583
42,167-TwoStageWithin,exp_50,1.0,0.5538,0.0,0.5,0.49,0.32,0.82,0.0,0.6900000000000001,0.5,1.0,TwoStageBetween,1.2867,0.5688,0.0,1.495
43,167-TwoStageWithin,exp_61,0.0,2.3255,1.0,0.4,0.41,0.21,0.62,0.0,0.18,0.6,0.0,TwoStageBetween,1.0771,0.1211,0.0,2.0851
44,167-TwoStageWithin,exp_111,1.0,1.0408,1.0,0.4,0.78,0.4,0.3,1.0,0.21,0.6,1.0,TwoStageBetween,1.2802,0.5959,1.0,0.6653
45,167-TwoStageWithin,exp_7,0.0,0.3724,1.0,0.4,0.79,0.49,0.8300000000000001,1.0,0.53,0.6,0.0,TwoStageBetween,1.2958,0.4628,1.0,1.7522
46,167-TwoStageWithin,exp_63,0.0,0.2005,1.0,0.4,0.41,0.21,0.62,1.0,0.18,0.6,0.0,TwoStageBetween,1.1629,0.1804,0.0,0.3222
47,167-TwoStageWithin,exp_38,0.0,0.1477,0.0,0.5,0.79,0.7,0.32,1.0,0.2,0.5,0.0,TwoStageBetween,1.2408,0.2727,1.0,0.4167
48,167-TwoStageWithin,exp_51,1.0,1.3766,1.0,0.6,0.49,0.32,0.82,0.0,0.6900000000000001,0.4,1.0,TwoStageBetween,1.2935,0.5259,1.0,1.203
49,167-TwoStageWithin,exp_81,0.0,1.3373,1.0,0.6,0.61,0.29,0.8099999999999999,1.0,0.22,0.4,0.0,TwoStageBetween,1.2238,0.247,0.0,0.6748
50,167-TwoStageWithin,exp_55,0.0,1.0506,1.0,0.4,0.49,0.32,0.82,1.0,0.6900000000000001,0.6,0.0,TwoStageBetween,1.2758,0.611,1.0,0.4094
51,167-TwoStageWithin,exp_49,1.0,1.1934,1.0,0.6,0.49,0.32,0.82,1.0,0.6900000000000001,0.4,1.0,TwoStageBetween,1.2663,0.6386,0.0,0.9909
52,167-TwoStageWithin,exp_33,1.0,2.1542,1.0,0.6,0.79,0.7,0.32,1.0,0.2,0.4,1.0,TwoStageBetween,1.2708,0.3348,0.0,2.9572
53,167-TwoStageWithin,catch_14,0.0,0.5576,0.0,0.5,0.22,0.28,0.79,1.0,0.41,0.5,0.0,TwoStageBetween,1.0574,0.1108,0.0,0.8944
54,167-TwoStageWithin,exp_65,1.0,2.2525,1.0,0.6,0.72,0.51,0.52,1.0,0.42,0.4,1.0,TwoStageBetween,1.2845,0.5791,1.0,1.9328
55,167-TwoStageWithin,catch_17,0.0,0.3783,1.0,0.5,0.4,0.68,0.3,1.0,0.22,0.5,0.0,TwoStageBetween,1.1529,0.172,0.0,0.7615
56,167-TwoStageWithin,exp_110,1.0,1.9178,0.0,0.5,0.78,0.4,0.3,1.0,0.21,0.5,1.0,TwoStageBetween,1.2878,0.5636,1.0,0.9205
57,167-TwoStageWithin,exp_83,0.0,1.7643,1.0,0.6,0.61,0.29,0.8099999999999999,0.0,0.22,0.4,0.0,TwoStageBetween,1.1516,0.171,0.0,2.6043
58,167-TwoStageWithin,exp_12,0.0,0.4484,0.0,0.5,0.7,0.29,0.5,0.0,0.18,0.5,0.0,TwoStageBetween,1.2577,0.3041,0.0,0.6959
59,167-TwoStageWithin,exp_119,0.0,0.9801,1.0,0.4,0.49,0.22,0.79,1.0,0.42,0.6,0.0,TwoStageBetween,1.2961,0.4837,0.0,2.0108
60,167-TwoStageWithin,catch_13,1.0,0.3411,1.0,0.5,0.21,0.52,0.2799999999999999,1.0,0.18,0.5,1.0,TwoStageBetween,0.9709,0.0746,0.0,0.5006
61,167-TwoStageWithin,exp_106,1.0,0.6715,0.0,0.5,0.78,0.4,0.3,0.0,0.21,0.5,1.0,TwoStageBetween,1.2878,0.5636,0.0,1.9352
62,167-TwoStageWithin,exp_72,1.0,1.7181,0.0,0.5,0.8,0.2,0.6799999999999999,1.0,0.4,0.5,1.0,TwoStageBetween,1.2307,0.7114,1.0,0.7174
