,subject_id,condition,choice,rt,presentation01,gp,p0,p1,m1,last_stage_favours,m0,gm,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,77-TwoStageBetween,exp_113,1.0,0.4104,1.0,0.6,0.49,0.22,0.79,1.0,0.42,0.4,1.0,TwoStageBetween,1.0284,0.9921,1.0,1.0171
1,77-TwoStageBetween,catch_6,0.0,0.6815,0.0,0.5,0.23,0.59,0.27,1.0,0.19,0.5,0.0,TwoStageBetween,0.644,0.0002,0.0,0.4283
2,77-TwoStageBetween,exp_102,1.0,0.7972,0.0,0.5,0.58,0.38,0.6900000000000001,1.0,0.49,0.5,1.0,TwoStageBetween,1.5254,0.8774,1.0,0.781
3,77-TwoStageBetween,exp_52,0.0,1.3525,0.0,0.5,0.49,0.32,0.82,0.0,0.6900000000000001,0.5,0.0,TwoStageBetween,1.4332,0.9201,1.0,0.9764
4,77-TwoStageBetween,catch_5,0.0,1.3682,1.0,0.5,0.4,0.49,0.43,1.0,0.32,0.5,0.0,TwoStageBetween,1.5357,0.0607,0.0,1.5439
5,77-TwoStageBetween,exp_19,1.0,1.3527,1.0,0.6,0.28,0.17,0.8300000000000001,0.0,0.43,0.4,1.0,TwoStageBetween,1.4713,0.9044,0.0,1.1277
6,77-TwoStageBetween,exp_64,1.0,0.4279,0.0,0.5,0.72,0.51,0.52,1.0,0.42,0.5,1.0,TwoStageBetween,1.5846,0.8396,1.0,0.7909
7,77-TwoStageBetween,catch_9,1.0,0.9329,1.0,0.5,0.48,0.72,0.4,1.0,0.18,0.5,1.0,TwoStageBetween,0.968,0.0037,0.0,0.7025
8,77-TwoStageBetween,exp_1,1.0,1.8441,1.0,0.6,0.79,0.49,0.8300000000000001,1.0,0.53,0.4,1.0,TwoStageBetween,1.4686,0.9056,1.0,0.7609
9,77-TwoStageBetween,exp_58,1.0,1.6797,0.0,0.5,0.41,0.21,0.62,0.0,0.18,0.5,1.0,TwoStageBetween,1.5289,0.8755,1.0,0.6982
10,77-TwoStageBetween,exp_98,1.0,1.3793,0.0,0.5,0.58,0.38,0.6900000000000001,0.0,0.49,0.5,1.0,TwoStageBetween,1.5254,0.8774,1.0,2.1129
11,77-TwoStageBetween,exp_88,1.0,1.5865,0.0,0.5,0.5,0.38,0.4,1.0,0.3,0.5,1.0,TwoStageBetween,1.7071,0.7178,1.0,0.4639
12,77-TwoStageBetween,exp_23,1.0,1.8433,1.0,0.4,0.28,0.17,0.8300000000000001,1.0,0.43,0.6,1.0,TwoStageBetween,1.6288,0.8041,1.0,1.0171
13,77-TwoStageBetween,exp_3,1.0,1.1094,1.0,0.6,0.79,0.49,0.8300000000000001,0.0,0.53,0.4,1.0,TwoStageBetween,1.41,0.9285,1.0,1.4221
14,77-TwoStageBetween,exp_99,1.0,0.6802,1.0,0.6,0.58,0.38,0.6900000000000001,0.0,0.49,0.4,1.0,TwoStageBetween,1.4545,0.9117,1.0,0.3508
15,77-TwoStageBetween,exp_115,1.0,1.911,1.0,0.6,0.49,0.22,0.79,0.0,0.42,0.4,1.0,TwoStageBetween,0.9806,0.9944,1.0,1.1087
16,77-TwoStageBetween,exp_25,1.0,1.1675,1.0,0.6,0.3,0.17,0.3,1.0,0.2,0.4,1.0,TwoStageBetween,1.2892,0.9611,1.0,1.4413
17,77-TwoStageBetween,exp_89,1.0,2.3018,1.0,0.6,0.5,0.38,0.4,1.0,0.3,0.4,1.0,TwoStageBetween,1.7063,0.7188,1.0,2.6367
18,77-TwoStageBetween,exp_108,1.0,0.8073,0.0,0.5,0.78,0.4,0.3,0.0,0.21,0.5,1.0,TwoStageBetween,1.1338,0.984,1.0,1.302
19,77-TwoStageBetween,catch_7,0.0,1.1429,1.0,0.5,0.28,0.48,0.52,1.0,0.21,0.5,0.0,TwoStageBetween,0.7898,0.001,0.0,1.5334
20,77-TwoStageBetween,exp_69,1.0,1.1228,1.0,0.4,0.72,0.51,0.52,0.0,0.42,0.6,1.0,TwoStageBetween,1.5891,0.8364,1.0,1.0047
21,77-TwoStageBetween,exp_9,1.0,1.8032,1.0,0.6,0.7,0.29,0.5,1.0,0.18,0.4,1.0,TwoStageBetween,1.065,0.9898,1.0,0.6956
22,77-TwoStageBetween,exp_74,1.0,0.6833,0.0,0.5,0.8,0.2,0.6799999999999999,0.0,0.4,0.5,1.0,TwoStageBetween,0.6073,0.9999,1.0,0.4897
23,77-TwoStageBetween,exp_30,1.0,0.5846,0.0,0.5,0.3,0.17,0.3,1.0,0.2,0.5,1.0,TwoStageBetween,1.3175,0.9549,1.0,0.4253
24,77-TwoStageBetween,exp_47,0.0,1.057,1.0,0.4,0.81,0.48,0.79,1.0,0.1699999999999999,0.6,0.0,TwoStageBetween,1.8038,0.5014,1.0,0.3934
25,77-TwoStageBetween,exp_60,1.0,0.9193,0.0,0.5,0.41,0.21,0.62,0.0,0.18,0.5,1.0,TwoStageBetween,1.5289,0.8755,1.0,2.4921
26,77-TwoStageBetween,catch_2,0.0,0.7578,0.0,0.5,0.38,0.6,0.4,1.0,0.22,0.5,0.0,TwoStageBetween,0.9981,0.0044,0.0,1.217
27,77-TwoStageBetween,exp_20,1.0,0.9128,0.0,0.5,0.28,0.17,0.8300000000000001,0.0,0.43,0.5,1.0,TwoStageBetween,1.5539,0.8605,1.0,0.5426
28,77-TwoStageBetween,exp_15,1.0,2.3151,1.0,0.4,0.7,0.29,0.5,1.0,0.18,0.6,1.0,TwoStageBetween,1.244,0.9695,1.0,1.4842
29,77-TwoStageBetween,exp_29,1.0,1.2897,1.0,0.4,0.3,0.17,0.3,0.0,0.2,0.6,1.0,TwoStageBetween,1.346,0.9478,1.0,1.0461
30,77-TwoStageBetween,exp_78,1.0,0.3948,0.0,0.5,0.8,0.2,0.6799999999999999,1.0,0.4,0.5,1.0,TwoStageBetween,0.6073,0.9999,1.0,0.427
31,77-TwoStageBetween,exp_107,1.0,0.6006,1.0,0.6,0.78,0.4,0.3,0.0,0.21,0.4,1.0,TwoStageBetween,1.0499,0.9908,1.0,0.9351
32,77-TwoStageBetween,exp_57,1.0,1.7868,1.0,0.6,0.41,0.21,0.62,1.0,0.18,0.4,1.0,TwoStageBetween,1.4775,0.9016,1.0,0.9002
33,77-TwoStageBetween,exp_27,1.0,1.3169,1.0,0.6,0.3,0.17,0.3,0.0,0.2,0.4,1.0,TwoStageBetween,1.23,0.9718,1.0,0.5605
34,77-TwoStageBetween,exp_53,1.0,1.5513,1.0,0.4,0.49,0.32,0.82,0.0,0.6900000000000001,0.6,1.0,TwoStageBetween,1.4439,0.916,0.0,0.7079
35,77-TwoStageBetween,exp_22,1.0,2.373,0.0,0.5,0.28,0.17,0.8300000000000001,1.0,0.43,0.5,1.0,TwoStageBetween,1.5539,0.8605,1.0,1.4513
36,77-TwoStageBetween,catch_0,0.0,0.4381,0.0,0.5,0.19,0.72,0.3,1.0,0.2,0.5,0.0,TwoStageBetween,0.4926,0.0,0.0,0.3996
37,77-TwoStageBetween,exp_94,1.0,1.4159,0.0,0.5,0.5,0.38,0.4,1.0,0.3,0.5,1.0,TwoStageBetween,1.7071,0.7178,1.0,3.833
38,77-TwoStageBetween,exp_84,1.0,0.3072,0.0,0.5,0.61,0.29,0.8099999999999999,0.0,0.22,0.5,1.0,TwoStageBetween,1.4395,0.9177,1.0,0.6632
39,77-TwoStageBetween,exp_82,0.0,2.2998,0.0,0.5,0.61,0.29,0.8099999999999999,0.0,0.22,0.5,0.0,TwoStageBetween,1.4395,0.9177,1.0,1.8096
40,77-TwoStageBetween,exp_73,1.0,0.5934,1.0,0.6,0.8,0.2,0.6799999999999999,1.0,0.4,0.4,1.0,TwoStageBetween,0.5804,0.9999,1.0,0.4199
41,77-TwoStageBetween,exp_26,1.0,2.1373,0.0,0.5,0.3,0.17,0.3,0.0,0.2,0.5,1.0,TwoStageBetween,1.3175,0.9549,1.0,0.4922
42,77-TwoStageBetween,exp_36,1.0,1.2989,0.0,0.5,0.79,0.7,0.32,0.0,0.2,0.5,1.0,TwoStageBetween,1.8143,0.3628,0.0,0.9753
43,77-TwoStageBetween,exp_42,1.0,3.6436,0.0,0.5,0.81,0.48,0.79,0.0,0.1699999999999999,0.5,1.0,TwoStageBetween,1.7694,0.6084,0.0,3.207
44,77-TwoStageBetween,exp_8,1.0,1.13,0.0,0.5,0.7,0.29,0.5,1.0,0.18,0.5,1.0,TwoStageBetween,1.1239,0.985,1.0,2.2382
