,subject_id,condition,choice,rt,presentation01,g0,g1,p0,p1,m1,last_stage_favours,m0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,157-TwoStageWithin,catch_1,1.0,0.4805,1.0,0.5,0.5,0.29,0.41,0.5900000000000001,1.0,0.42,1.0,TwoStageWithin,0.8035,0.1186,0.0,0.8174
1,157-TwoStageWithin,exp_45,1.0,0.2828,1.0,0.5,0.5,0.81,0.48,0.79,0.0,0.1699999999999999,1.0,TwoStageWithin,0.3839,0.996,1.0,0.3462
2,157-TwoStageWithin,catch_4,0.0,0.3071,0.0,0.5,0.5,0.19,0.31,0.73,1.0,0.4,0.0,TwoStageWithin,0.6615,0.0534,0.0,0.5262
3,157-TwoStageWithin,exp_67,1.0,0.3752,1.0,0.5,0.5,0.72,0.51,0.52,0.0,0.42,1.0,TwoStageWithin,0.5725,0.9708,1.0,1.3951
4,157-TwoStageWithin,exp_30,1.0,1.6296,0.0,0.4,0.6,0.3,0.17,0.3,1.0,0.2,1.0,TwoStageWithin,0.9154,0.7813,1.0,0.201
5,157-TwoStageWithin,exp_9,1.0,0.3048,1.0,0.5,0.5,0.7,0.29,0.5,1.0,0.18,1.0,TwoStageWithin,0.3108,0.9989,1.0,0.3636
6,157-TwoStageWithin,catch_7,0.0,0.9946,1.0,0.5,0.5,0.28,0.48,0.52,1.0,0.21,0.0,TwoStageWithin,0.5945,0.0342,0.0,0.4249
7,157-TwoStageWithin,exp_108,1.0,0.2872,0.0,0.4,0.6,0.78,0.4,0.3,0.0,0.21,1.0,TwoStageWithin,0.2951,0.9993,1.0,0.2409
8,157-TwoStageWithin,exp_88,0.0,0.4563,0.0,0.6,0.4,0.5,0.38,0.4,1.0,0.3,0.0,TwoStageWithin,0.9383,0.7512,1.0,0.3514
9,157-TwoStageWithin,catch_3,0.0,0.6345,1.0,0.5,0.5,0.19,0.38,0.6799999999999999,1.0,0.58,0.0,TwoStageWithin,0.6176,0.0402,0.0,0.2617
10,157-TwoStageWithin,exp_82,1.0,0.2496,0.0,0.6,0.4,0.61,0.29,0.8099999999999999,0.0,0.22,1.0,TwoStageWithin,0.3418,0.998,1.0,0.3037
11,157-TwoStageWithin,exp_37,1.0,0.3186,1.0,0.5,0.5,0.79,0.7,0.32,0.0,0.2,1.0,TwoStageWithin,0.8852,0.8143,0.0,0.5764
12,157-TwoStageWithin,exp_117,1.0,1.0281,1.0,0.5,0.5,0.49,0.22,0.79,0.0,0.42,1.0,TwoStageWithin,0.4627,0.9891,1.0,0.216
13,157-TwoStageWithin,exp_91,1.0,0.1817,1.0,0.5,0.5,0.5,0.38,0.4,0.0,0.3,1.0,TwoStageWithin,0.8035,0.8794,1.0,0.2094
14,157-TwoStageWithin,exp_1,1.0,0.2179,1.0,0.5,0.5,0.79,0.49,0.8300000000000001,1.0,0.53,1.0,TwoStageWithin,0.4201,0.9934,1.0,0.5669
15,157-TwoStageWithin,exp_89,0.0,1.6232,1.0,0.5,0.5,0.5,0.38,0.4,1.0,0.3,0.0,TwoStageWithin,0.8035,0.8794,1.0,0.5209
16,157-TwoStageWithin,exp_27,1.0,0.5893,1.0,0.5,0.5,0.3,0.17,0.3,0.0,0.2,1.0,TwoStageWithin,0.7754,0.8962,0.0,0.2806
17,157-TwoStageWithin,exp_68,1.0,0.5397,0.0,0.4,0.6,0.72,0.51,0.52,0.0,0.42,1.0,TwoStageWithin,0.4751,0.9876,1.0,0.1801
18,157-TwoStageWithin,exp_43,1.0,0.4201,1.0,0.5,0.5,0.81,0.48,0.79,0.0,0.1699999999999999,1.0,TwoStageWithin,0.3839,0.996,1.0,0.1677
19,157-TwoStageWithin,exp_36,1.0,0.5958,0.0,0.4,0.6,0.79,0.7,0.32,0.0,0.2,1.0,TwoStageWithin,0.7416,0.9138,1.0,1.4381
20,157-TwoStageWithin,exp_101,1.0,0.2874,1.0,0.5,0.5,0.58,0.38,0.6900000000000001,0.0,0.49,1.0,TwoStageWithin,0.5945,0.9657,1.0,0.5668
21,157-TwoStageWithin,exp_64,0.0,0.852,0.0,0.6,0.4,0.72,0.51,0.52,1.0,0.42,0.0,TwoStageWithin,0.6986,0.9326,1.0,0.1466
22,157-TwoStageWithin,catch_8,0.0,1.1773,0.0,0.5,0.5,0.22,0.32,0.5,1.0,0.37,0.0,TwoStageWithin,0.7141,0.0731,0.0,0.4919
23,157-TwoStageWithin,exp_73,1.0,0.0951,1.0,0.5,0.5,0.8,0.2,0.6799999999999999,1.0,0.4,1.0,TwoStageWithin,0.2128,1.0,1.0,0.3399
24,157-TwoStageWithin,exp_23,1.0,0.512,1.0,0.5,0.5,0.28,0.17,0.8300000000000001,1.0,0.43,1.0,TwoStageWithin,0.8314,0.8602,1.0,1.2858
25,157-TwoStageWithin,exp_104,1.0,0.1397,0.0,0.6,0.4,0.78,0.4,0.3,1.0,0.21,1.0,TwoStageWithin,0.3863,0.9958,1.0,0.3686
26,157-TwoStageWithin,exp_114,1.0,0.2972,0.0,0.6,0.4,0.49,0.22,0.79,0.0,0.42,1.0,TwoStageWithin,0.3928,0.9954,1.0,0.3828
27,157-TwoStageWithin,exp_47,1.0,0.2521,1.0,0.5,0.5,0.81,0.48,0.79,1.0,0.1699999999999999,1.0,TwoStageWithin,0.3839,0.996,1.0,0.2783
28,157-TwoStageWithin,exp_42,1.0,0.2735,0.0,0.6,0.4,0.81,0.48,0.79,0.0,0.1699999999999999,1.0,TwoStageWithin,0.3331,0.9983,1.0,0.2987
29,157-TwoStageWithin,exp_69,1.0,0.9262,1.0,0.5,0.5,0.72,0.51,0.52,0.0,0.42,1.0,TwoStageWithin,0.5725,0.9708,1.0,0.477
30,157-TwoStageWithin,exp_22,1.0,1.278,0.0,0.4,0.6,0.28,0.17,0.8300000000000001,1.0,0.43,1.0,TwoStageWithin,0.959,0.7185,,
31,157-TwoStageWithin,exp_19,1.0,0.8193,1.0,0.5,0.5,0.28,0.17,0.8300000000000001,0.0,0.43,1.0,TwoStageWithin,0.8314,0.8602,0.0,3.0695
32,157-TwoStageWithin,exp_84,1.0,0.258,0.0,0.4,0.6,0.61,0.29,0.8099999999999999,0.0,0.22,1.0,TwoStageWithin,0.3418,0.998,1.0,0.4043
33,157-TwoStageWithin,exp_80,1.0,0.4577,0.0,0.6,0.4,0.61,0.29,0.8099999999999999,1.0,0.22,1.0,TwoStageWithin,0.466,0.9887,1.0,0.3138
34,157-TwoStageWithin,exp_20,1.0,0.3116,0.0,0.4,0.6,0.28,0.17,0.8300000000000001,0.0,0.43,1.0,TwoStageWithin,0.6874,0.937,1.0,0.5703
35,157-TwoStageWithin,catch_5,0.0,0.3465,1.0,0.5,0.5,0.4,0.49,0.43,1.0,0.32,0.0,TwoStageWithin,0.8852,0.1812,0.0,2.0276
36,157-TwoStageWithin,exp_15,1.0,0.1215,1.0,0.5,0.5,0.7,0.29,0.5,1.0,0.18,1.0,TwoStageWithin,0.3108,0.9989,1.0,0.4007
37,157-TwoStageWithin,exp_74,1.0,0.0908,0.0,0.6,0.4,0.8,0.2,0.6799999999999999,0.0,0.4,1.0,TwoStageWithin,0.1958,1.0,1.0,0.3703
