,subject_id,condition,choice,rt,presentation01,g0,g1,p0,p1,m1,last_stage_favours,m0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,184-TwoStageBetween,exp_35,1.0,2.024,1.0,0.5,0.5,0.79,0.7,0.32,0.0,0.2,1.0,TwoStageWithin,1.7882,0.7205,0.0,0.6766
1,184-TwoStageBetween,exp_73,1.0,0.559,1.0,0.5,0.5,0.8,0.2,0.6799999999999999,1.0,0.4,1.0,TwoStageWithin,0.4149,1.0,1.0,0.521
2,184-TwoStageBetween,exp_69,1.0,2.5215,1.0,0.5,0.5,0.72,0.51,0.52,0.0,0.42,1.0,TwoStageWithin,1.1662,0.9883,1.0,3.6692
3,184-TwoStageBetween,exp_37,1.0,2.0434,1.0,0.5,0.5,0.79,0.7,0.32,0.0,0.2,1.0,TwoStageWithin,1.7882,0.7205,1.0,1.1013
4,184-TwoStageBetween,catch_9,0.0,1.4171,1.0,0.5,0.5,0.48,0.72,0.4,1.0,0.18,0.0,TwoStageWithin,0.9552,0.0015,0.0,1.4326
5,184-TwoStageBetween,exp_42,1.0,0.806,0.0,0.6,0.4,0.81,0.48,0.79,0.0,0.1699999999999999,1.0,TwoStageWithin,0.7863,0.9996,1.0,0.9533
6,184-TwoStageBetween,exp_68,1.0,0.5194,0.0,0.4,0.6,0.72,0.51,0.52,0.0,0.42,1.0,TwoStageWithin,1.2275,0.9826,1.0,0.8637
7,184-TwoStageBetween,exp_10,1.0,0.5389,0.0,0.6,0.4,0.7,0.29,0.5,0.0,0.18,1.0,TwoStageWithin,0.6073,1.0,1.0,0.3136
8,184-TwoStageBetween,exp_57,1.0,0.3655,1.0,0.5,0.5,0.41,0.21,0.62,1.0,0.18,1.0,TwoStageWithin,1.2837,0.9756,1.0,1.2902
9,184-TwoStageBetween,catch_1,0.0,0.6634,1.0,0.5,0.5,0.29,0.41,0.5900000000000001,1.0,0.42,0.0,TwoStageWithin,1.5614,0.0367,0.0,2.7325
10,184-TwoStageBetween,exp_94,1.0,3.8641,0.0,0.4,0.6,0.5,0.38,0.4,1.0,0.3,1.0,TwoStageWithin,1.7219,0.7932,1.0,1.6257
11,184-TwoStageBetween,exp_98,1.0,0.5542,0.0,0.6,0.4,0.58,0.38,0.6900000000000001,0.0,0.49,1.0,TwoStageWithin,1.0998,0.9926,1.0,0.6791
12,184-TwoStageBetween,exp_114,1.0,0.4492,0.0,0.6,0.4,0.49,0.22,0.79,0.0,0.42,1.0,TwoStageWithin,0.8665,0.999,1.0,0.9175
13,184-TwoStageBetween,exp_104,1.0,0.6553,0.0,0.6,0.4,0.78,0.4,0.3,1.0,0.21,1.0,TwoStageWithin,0.6597,0.9999,1.0,0.9027
14,184-TwoStageBetween,catch_0,0.0,0.4926,0.0,0.5,0.5,0.19,0.72,0.3,1.0,0.2,0.0,TwoStageWithin,0.4619,0.0,0.0,0.4964
15,184-TwoStageBetween,exp_27,1.0,0.6114,1.0,0.5,0.5,0.3,0.17,0.3,0.0,0.2,1.0,TwoStageWithin,1.5794,0.8908,1.0,1.6181
16,184-TwoStageBetween,exp_90,1.0,1.1432,0.0,0.6,0.4,0.5,0.38,0.4,0.0,0.3,1.0,TwoStageWithin,1.5137,0.9194,1.0,1.2521
17,184-TwoStageBetween,exp_67,1.0,0.6748,1.0,0.5,0.5,0.72,0.51,0.52,0.0,0.42,1.0,TwoStageWithin,1.1662,0.9883,1.0,1.1907
18,184-TwoStageBetween,exp_108,1.0,1.0044,0.0,0.4,0.6,0.78,0.4,0.3,0.0,0.21,1.0,TwoStageWithin,0.7026,0.9999,1.0,0.6139
19,184-TwoStageBetween,exp_117,1.0,0.904,1.0,0.5,0.5,0.49,0.22,0.79,0.0,0.42,1.0,TwoStageWithin,0.9303,0.9982,1.0,0.5703
20,184-TwoStageBetween,exp_101,1.0,2.6765,1.0,0.5,0.5,0.58,0.38,0.6900000000000001,0.0,0.49,1.0,TwoStageWithin,1.2118,0.9842,1.0,2.9613
21,184-TwoStageBetween,exp_18,1.0,1.3023,0.0,0.6,0.4,0.28,0.17,0.8300000000000001,0.0,0.43,1.0,TwoStageWithin,1.5892,0.8858,0.0,0.7919
22,184-TwoStageBetween,exp_50,1.0,2.4381,0.0,0.6,0.4,0.49,0.32,0.82,0.0,0.6900000000000001,1.0,TwoStageWithin,1.2223,0.9831,1.0,1.6134
23,184-TwoStageBetween,catch_2,0.0,1.3944,0.0,0.5,0.5,0.38,0.6,0.4,1.0,0.22,0.0,TwoStageWithin,1.0259,0.0024,0.0,1.592
