,wp,eta,v,b_last,noise,loss,lossfun,model,subject_id,alpha,theta
0,0.5192,0.7538,7.6607,-0.051,1.0994,310.8485,BIC,TwoStageBetween,0-TwoStageBetween,,
1,,,6.7364,0.0077,1.117,323.7839,BIC,TwoStageWithin,0-TwoStageBetween,0.8946,1.0
2,0.5768,0.6598,7.9671,-0.0313,1.0501,321.318,BIC,TwoStageBetween,0-TwoStageWithin,,
3,,,7.7496,0.0311,1.0389,313.4643,BIC,TwoStageWithin,0-TwoStageWithin,0.6775,1.0
4,0.5039,1.0,13.0099,0.0013,1.4235,168.6555,BIC,TwoStageBetween,1-TwoStageBetween,,
5,,,15.7196,0.0045,1.4375,176.7602,BIC,TwoStageWithin,1-TwoStageBetween,0.9082,0.8453
6,0.5684,0.9946,15.2328,0.0415,1.5236,103.8746,BIC,TwoStageBetween,1-TwoStageWithin,,
7,,,28.0139,0.0021,1.4999,91.9849,BIC,TwoStageWithin,1-TwoStageWithin,0.7259,0.475
8,0.6421,0.2399,12.9741,-0.0059,0.9774,305.1167,BIC,TwoStageBetween,10-TwoStageBetween,,
9,,,7.892,0.0169,0.9918,315.9455,BIC,TwoStageWithin,10-TwoStageBetween,0.4515,0.8335
10,0.6171,0.8229,6.7614,0.005,1.0013,346.9911,BIC,TwoStageBetween,10-TwoStageWithin,,
11,,,9.8842,0.0074,0.9883,336.9116,BIC,TwoStageWithin,10-TwoStageWithin,0.5868,0.5532
12,0.6017,1.0,7.7688,-0.0122,0.9425,359.7794,BIC,TwoStageBetween,100-TwoStageBetween,,
13,,,7.2755,0.0066,0.9576,372.5665,BIC,TwoStageWithin,100-TwoStageBetween,0.5844,0.9934
14,0.6378,1.0,5.6712,-0.0202,1.0089,342.106,BIC,TwoStageBetween,100-TwoStageWithin,,
15,,,6.3972,0.0225,1.0059,339.8866,BIC,TwoStageWithin,100-TwoStageWithin,0.551,1.0
16,0.9037,0.9784,4.974,0.0674,1.0271,258.7662,BIC,TwoStageBetween,101-TwoStageBetween,,
17,,,5.677,-0.0564,1.044,277.3944,BIC,TwoStageWithin,101-TwoStageBetween,0.1853,1.0
18,0.9092,1.0,5.574,-0.0075,1.0128,190.9882,BIC,TwoStageBetween,101-TwoStageWithin,,
19,,,6.3834,0.0494,0.9966,182.1498,BIC,TwoStageWithin,101-TwoStageWithin,0.0553,0.8356
20,0.5801,0.3708,21.4241,-0.0071,1.2723,184.7242,BIC,TwoStageBetween,102-TwoStageBetween,,
21,,,17.367,-0.0173,1.2734,185.4201,BIC,TwoStageWithin,102-TwoStageBetween,0.6539,0.9219
22,0.5219,1.0,14.9039,-0.0115,1.2681,160.2793,BIC,TwoStageBetween,102-TwoStageWithin,,
23,,,17.7321,0.0223,1.2568,154.0995,BIC,TwoStageWithin,102-TwoStageWithin,0.8591,1.0
24,0.6484,0.2359,17.4366,-0.0133,0.9944,230.9965,BIC,TwoStageBetween,103-TwoStageBetween,,
