,subject_id,presentation,higher_m,higher_p
0,0,alternatives,0.4,0.43333333333333335
1,1,alternatives,0.8333333333333334,0.7666666666666667
2,2,alternatives,0.7333333333333333,0.7
3,3,alternatives,0.9,0.9333333333333333
4,4,alternatives,0.3333333333333333,0.4666666666666667
5,5,alternatives,0.7666666666666667,0.8
6,6,alternatives,0.6,0.5666666666666667
7,7,alternatives,0.7,0.5333333333333333
8,8,alternatives,0.7666666666666667,0.5666666666666667
9,9,alternatives,0.4666666666666667,0.4666666666666667
10,10,alternatives,0.06666666666666667,0.1
11,11,alternatives,0.2,0.36666666666666664
12,12,alternatives,0.6,0.6
13,13,alternatives,0.6666666666666666,0.6333333333333333
14,14,alternatives,0.43333333333333335,0.5333333333333333
15,15,alternatives,0.7,0.7666666666666667
16,16,alternatives,0.5,0.5333333333333333
17,17,alternatives,0.36666666666666664,0.43333333333333335
18,18,alternatives,0.7,0.6666666666666666
19,19,alternatives,0.9333333333333333,0.9
