,subject_id,presentation,higher_m,higher_p
0,0,attributes,0.3333333333333333,0.43333333333333335
1,1,attributes,0.8333333333333334,0.7
2,2,attributes,0.7333333333333333,0.7
3,3,attributes,0.9666666666666667,0.9333333333333333
4,4,attributes,0.36666666666666664,0.43333333333333335
5,5,attributes,0.6666666666666666,0.8
6,6,attributes,0.6,0.5
7,7,attributes,0.4666666666666667,0.6
8,8,attributes,0.5333333333333333,0.7
9,9,attributes,0.36666666666666664,0.5
10,10,attributes,0.13333333333333333,0.13333333333333333
11,11,attributes,0.43333333333333335,0.36666666666666664
12,12,attributes,0.6333333333333333,0.6
13,13,attributes,0.6666666666666666,0.6333333333333333
14,14,attributes,0.4,0.4666666666666667
15,15,attributes,0.8,0.6
16,16,attributes,0.5333333333333333,0.4666666666666667
17,17,attributes,0.4666666666666667,0.4666666666666667
18,18,attributes,0.6666666666666666,0.7
19,19,attributes,0.9,0.9666666666666667
