,subject_id,presentation,higher_m,higher_p
0,0,alternatives,0.4,0.43333333333333335
1,1,alternatives,0.8333333333333334,0.7666666666666667
2,2,alternatives,0.8,0.6333333333333333
3,3,alternatives,0.9666666666666667,0.8666666666666667
4,4,alternatives,0.4,0.4
5,5,alternatives,0.7666666666666667,0.8
6,6,alternatives,0.5333333333333333,0.6333333333333333
7,7,alternatives,0.5,0.7333333333333333
8,8,alternatives,0.6,0.7333333333333333
9,9,alternatives,0.5,0.43333333333333335
10,10,alternatives,0.1,0.06666666666666667
11,11,alternatives,0.26666666666666666,0.3
12,12,alternatives,0.5,0.7
13,13,alternatives,0.7,0.6
14,14,alternatives,0.4666666666666667,0.5
15,15,alternatives,0.7666666666666667,0.7
16,16,alternatives,0.4666666666666667,0.5666666666666667
17,17,alternatives,0.4,0.4
18,18,alternatives,0.5666666666666667,0.8
19,19,alternatives,0.8666666666666667,0.9666666666666667
