,subject_id,presentation,higher_m,higher_p
0,0,attributes,0.4,0.36666666666666664
1,1,attributes,0.7,0.8333333333333334
2,2,attributes,0.6666666666666666,0.7666666666666667
3,3,attributes,0.9,1.0
4,4,attributes,0.5,0.3
5,5,attributes,0.7333333333333333,0.7333333333333333
6,6,attributes,0.5666666666666667,0.5333333333333333
7,7,attributes,0.6,0.4666666666666667
8,8,attributes,0.5666666666666667,0.6666666666666666
9,9,attributes,0.36666666666666664,0.5
10,10,attributes,0.13333333333333333,0.13333333333333333
11,11,attributes,0.4,0.4
12,12,attributes,0.6,0.6333333333333333
13,13,attributes,0.6,0.7
14,14,attributes,0.4,0.4666666666666667
15,15,attributes,0.5666666666666667,0.8333333333333334
16,16,attributes,0.43333333333333335,0.5666666666666667
17,17,attributes,0.5,0.43333333333333335
18,18,attributes,0.6333333333333333,0.7333333333333333
19,19,attributes,0.9666666666666667,0.9
