,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
delta_ev_z,-1.798,0.308,-2.381,-1.155,0.019,0.014,253.0,253.0,253.0,517.0,1.0
duration_favours_fx,0.045,0.105,-0.148,0.263,0.002,0.002,2496.0,970.0,2494.0,1423.0,1.0
last_stage_favours_fx,0.237,0.112,0.026,0.471,0.002,0.002,2308.0,1730.0,2315.0,1269.0,1.0
by_attribute_fx,0.053,0.112,-0.18,0.257,0.002,0.003,2772.0,938.0,2776.0,1283.0,1.0
duration_favours_fx:by_attribute_fx,0.032,0.248,-0.453,0.513,0.005,0.006,2206.0,934.0,2233.0,1563.0,1.0
last_stage_favours_fx:by_attribute_fx,0.081,0.298,-0.514,0.664,0.008,0.006,1395.0,1100.0,1440.0,1479.0,1.0
1|subject_id_sigma,1.401,0.248,0.984,1.909,0.013,0.009,365.0,365.0,352.0,657.0,1.0
1|subject_id[0],0.757,0.228,0.336,1.21,0.004,0.003,2614.0,2231.0,2667.0,1522.0,1.0
1|subject_id[1],-1.279,0.247,-1.737,-0.789,0.005,0.003,2957.0,2596.0,3031.0,1488.0,1.0
1|subject_id[2],-0.844,0.293,-1.423,-0.275,0.005,0.004,3855.0,3293.0,3869.0,1426.0,1.0
1|subject_id[3],-3.139,0.505,-4.159,-2.199,0.012,0.009,1759.0,1698.0,1805.0,1496.0,1.0
1|subject_id[4],1.172,0.287,0.631,1.768,0.006,0.004,2307.0,2153.0,2318.0,1555.0,1.0
1|subject_id[5],-1.152,0.268,-1.647,-0.622,0.005,0.004,3195.0,2807.0,3212.0,1489.0,1.0
1|subject_id[6],-0.093,0.201,-0.498,0.295,0.004,0.004,2634.0,1021.0,2636.0,1388.0,1.0
1|subject_id[7],-0.306,0.185,-0.663,0.045,0.003,0.003,3215.0,2006.0,3256.0,1383.0,1.0
1|subject_id[8],-0.269,0.263,-0.751,0.289,0.004,0.004,3947.0,1825.0,3924.0,1537.0,1.0
1|subject_id[9],0.577,0.233,0.129,1.056,0.005,0.004,2598.0,1964.0,2611.0,1325.0,1.0
1|subject_id[10],2.42,0.351,1.693,3.078,0.007,0.005,2505.0,2356.0,2606.0,1823.0,1.0
