,subject_id,condition,choice,rt,p1,gp,m0,p0,presentation01,m1,gm,last_stage_favours,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,10,exp_73,1.0,0.2760149999521673,0.2,0.6,0.4,0.8,1.0,0.6799999999999999,0.4,1.0,0.0,TwoStageBetween,0.6654,0.1409,0,0.4305
1,10,catch_0,1.0,0.4442950000520796,0.72,0.5,0.2,0.19,0.0,0.3,0.5,1.0,0.0,TwoStageBetween,0.6409,0.1211,1,0.6975
2,10,catch_7,1.0,0.5025149999419227,0.48,0.5,0.21000000000000002,0.28,1.0,0.52,0.5,1.0,0.0,TwoStageBetween,0.4251,0.0224,0,0.6745
3,10,exp_8,0.0,0.6194350000005215,0.29,0.5,0.18,0.7,0.0,0.5,0.5,1.0,1.0,TwoStageBetween,0.4491,0.0285,0,0.357
4,10,exp_22,1.0,0.3732650000602007,0.17,0.5,0.43,0.28,0.0,0.8300000000000001,0.5,1.0,0.0,TwoStageBetween,0.5828,0.083,0,0.2576
5,10,exp_69,0.0,0.3644900000654161,0.51,0.4,0.42000000000000004,0.72,1.0,0.52,0.6,0.0,1.0,TwoStageBetween,0.8049,0.3544,0,0.4463
6,10,exp_90,1.0,0.45414000004529953,0.38,0.5,0.3,0.5,0.0,0.4,0.5,0.0,0.0,TwoStageBetween,0.7617,0.256,1,0.4274
7,10,exp_15,1.0,0.4048900000052527,0.29,0.4,0.18,0.7,1.0,0.5,0.6,1.0,0.0,TwoStageBetween,0.4176,0.0207,0,0.6432
8,10,exp_45,1.0,0.8375900000100955,0.48,0.4,0.16999999999999996,0.81,1.0,0.79,0.6,0.0,0.0,TwoStageBetween,0.329,0.0064,0,0.2366
9,10,exp_89,1.0,0.2920500000473112,0.38,0.6,0.3,0.5,1.0,0.4,0.4,1.0,0.0,TwoStageBetween,0.745,0.2298,0,0.2603
10,10,exp_117,1.0,0.6241700000828132,0.22,0.4,0.42000000000000004,0.49,1.0,0.79,0.6,0.0,0.0,TwoStageBetween,0.6203,0.1062,1,0.1867
11,10,exp_115,1.0,0.4555200000759214,0.22,0.6,0.42000000000000004,0.49,1.0,0.79,0.4,0.0,0.0,TwoStageBetween,0.6468,0.1256,0,1.6473
