,wp,eta,v,b_last,noise,loss,lossfun,model,subject_id,alpha,theta,w_between_altwise,w_between_attwise
0,0.3942,0.291,12.3277,0.0004,1.0881,188.2598,BIC,TwoStageBetween,0,,,,
1,0.4026,0.2764,13.2447,0.0049,1.0868,207.4905,BIC,TwoStageMixtureNoScaling,0,4.551,1.0,0.8732,0.9263
2,,,9.965,0.0206,1.1327,207.683,BIC,TwoStageWithin,0,1.5075,1.0,,
3,0.7087,1.0,11.0612,0.0205,1.5301,122.3854,BIC,TwoStageBetween,1,,,,
4,0.2371,1.0,12.781,-0.0073,1.5166,135.49,BIC,TwoStageMixtureNoScaling,1,0.0,1.0,0.3503,0.3762
5,,,11.8522,-0.0288,1.5236,119.1857,BIC,TwoStageWithin,1,0.3302,1.0,,
6,0.6023,0.9232,23.8339,0.0019,1.5825,5.4138,BIC,TwoStageBetween,2,,,,
7,0.5883,0.8028,28.2002,-0.0102,1.5586,16.4154,BIC,TwoStageMixtureNoScaling,2,0.6318,1.0,0.1102,0.8183
8,,,26.6508,-0.0189,1.5662,-0.5338,BIC,TwoStageWithin,2,0.6321,1.0,,
9,0.8827,1.0,8.0416,0.0466,0.956,24.8181,BIC,TwoStageBetween,3,,,,
10,1.0,1.0,9.8731,0.0197,0.947,41.7016,BIC,TwoStageMixtureNoScaling,3,0.8336,0.7032,0.5569,0.6476
11,,,10.7311,0.0024,1.0028,39.641,BIC,TwoStageWithin,3,0.1942,0.808,,
12,0.4577,1.0,14.7026,-0.0365,1.5576,184.7743,BIC,TwoStageBetween,4,,,,
13,0.4866,0.4391,21.3947,-0.006,1.559,205.3708,BIC,TwoStageMixtureNoScaling,4,1.5215,1.0,0.7885,0.4186
14,,,22.1626,0.0152,1.5643,188.7617,BIC,TwoStageWithin,4,1.2341,0.7146,,
15,0.6527,0.1727,18.3525,0.002,1.1399,112.8849,BIC,TwoStageBetween,5,,,,
16,0.6761,0.0,22.769,0.0041,1.1275,127.908,BIC,TwoStageMixtureNoScaling,5,0.6619,0.0587,0.907,0.4508
17,,,11.8679,0.0198,1.1392,112.6242,BIC,TwoStageWithin,5,0.468,0.9276,,
18,0.5904,1.0,5.2431,0.0068,1.0682,350.2823,BIC,TwoStageBetween,6,,,,
19,0.8155,1.0,7.5048,0.018,1.0609,364.909,BIC,TwoStageMixtureNoScaling,6,2.004,1.0,0.3465,0.403
20,,,5.3996,0.0488,1.0746,354.9026,BIC,TwoStageWithin,6,0.7667,1.0,,
21,1.0,0.0,2.4578,-0.1534,1.4334,212.1864,BIC,TwoStageBetween,7,,,,
22,1.0,0.0,2.2643,0.0167,1.4362,233.4054,BIC,TwoStageMixtureNoScaling,7,0.2884,1.0,0.0,1.0
23,,,1.0591,0.4656,1.4315,211.2178,BIC,TwoStageWithin,7,0.0,1.0,,
24,0.567,0.3073,18.0818,0.0109,1.3168,403.33,BIC,TwoStageBetween,8,,,,
25,0.6279,0.2044,21.7846,0.0124,1.3099,416.8515,BIC,TwoStageMixtureNoScaling,8,2.565,1.0,0.7803,0.7587
26,,,12.3769,0.0317,1.3279,413.6673,BIC,TwoStageWithin,8,0.7568,1.0,,
27,0.4984,0.4532,26.8961,0.0265,1.7213,292.7891,BIC,TwoStageBetween,9,,,,
28,0.5489,0.6164,30.0,0.0099,1.7175,310.6526,BIC,TwoStageMixtureNoScaling,9,3.7121,1.0,0.778,0.6155
29,,,21.9667,0.002,1.7494,306.8707,BIC,TwoStageWithin,9,1.0603,1.0,,
30,0.0732,0.702,6.0799,0.0183,1.0911,121.2352,BIC,TwoStageBetween,10,,,,
31,0.0586,0.7097,10.1211,0.0136,1.0875,139.7005,BIC,TwoStageMixtureNoScaling,10,5.0,0.0,0.5282,0.5507
32,,,18.1556,0.0071,1.1949,161.5461,BIC,TwoStageWithin,10,2.7378,0.5425,,
33,0.3834,0.6459,5.3209,-0.0077,0.9021,327.3655,BIC,TwoStageBetween,11,,,,
34,0.0,0.123,8.5826,0.0008,0.8836,337.1348,BIC,TwoStageMixtureNoScaling,11,0.4353,0.1748,0.4692,0.3589
35,,,9.9468,0.0077,0.9116,332.6246,BIC,TwoStageWithin,11,1.2762,0.2392,,
36,0.5534,1.0,6.2061,-0.0075,0.8655,331.9362,BIC,TwoStageBetween,12,,,,
37,0.7077,1.0,8.0347,0.0178,0.8479,341.2883,BIC,TwoStageMixtureNoScaling,12,1.3573,1.0,0.4104,0.2922
38,,,7.3411,0.0412,0.8549,325.6558,BIC,TwoStageWithin,12,0.833,1.0,,
39,0.602,1.0,7.471,0.0193,1.0624,246.5041,BIC,TwoStageBetween,13,,,,
40,0.0,1.0,9.9745,0.0024,1.0366,251.1487,BIC,TwoStageMixtureNoScaling,13,0.4242,0.818,0.113,0.106
41,,,10.9264,-0.0091,1.0381,232.2424,BIC,TwoStageWithin,13,0.64,0.7915,,
42,0.4645,0.6158,6.6924,0.0148,0.8668,330.9192,BIC,TwoStageBetween,14,,,,
43,0.1194,0.2693,8.1759,0.0103,0.8562,344.6311,BIC,TwoStageMixtureNoScaling,14,0.5191,0.5663,0.3412,0.3786
44,,,8.5324,0.0072,0.8728,334.4353,BIC,TwoStageWithin,14,1.0039,0.6097,,
45,0.6174,1.0,10.7784,0.0615,1.1998,119.8875,BIC,TwoStageBetween,15,,,,
46,0.6132,1.0,17.4197,0.0254,1.1792,131.5102,BIC,TwoStageMixtureNoScaling,15,0.5741,0.0,0.7564,0.0516
47,,,13.3611,0.0128,1.231,132.5636,BIC,TwoStageWithin,15,0.5902,0.7603,,
48,0.5578,1.0,3.2119,0.0831,1.1333,299.0824,BIC,TwoStageBetween,16,,,,
49,0.6133,1.0,7.8503,0.0246,1.13,316.664,BIC,TwoStageMixtureNoScaling,16,5.0,0.0,0.475,0.2716
50,,,3.7524,0.0438,1.1418,304.2705,BIC,TwoStageWithin,16,0.7475,0.9104,,
51,0.4459,0.5655,6.3516,-0.0095,0.7521,355.9946,BIC,TwoStageBetween,17,,,,
52,0.0,0.213,7.2859,-0.0023,0.7227,359.6271,BIC,TwoStageMixtureNoScaling,17,0.2801,0.8563,0.5147,0.471
53,,,7.1449,0.0068,0.7589,359.8748,BIC,TwoStageWithin,17,1.0741,0.8504,,
54,0.6146,0.9643,5.2094,0.0309,0.9624,365.2192,BIC,TwoStageBetween,18,,,,
55,0.0,0.7474,5.7666,0.0439,0.9431,371.8111,BIC,TwoStageMixtureNoScaling,18,0.222,1.0,0.2659,0.2291
56,,,5.621,0.0598,0.9518,357.9217,BIC,TwoStageWithin,18,0.5521,1.0,,
57,0.8719,0.5252,7.9028,-0.0001,0.7866,118.714,BIC,TwoStageBetween,19,,,,
58,1.0,0.4841,8.8273,0.0074,0.7713,132.428,BIC,TwoStageMixtureNoScaling,19,1.265,1.0,0.7228,0.7132
59,,,7.0351,0.0268,0.8455,141.7108,BIC,TwoStageWithin,19,0.219,1.0,,
