,subject_id,condition,choice,rt,p0,p1,gm,gp,m1,m0,presentation01,last_stage_favours,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,18-attributes,exp_115,0.0,0.4412950000260025,0.49,0.22,0.4,0.6,0.79,0.42000000000000004,1.0,0.0,1.0,TwoStageBetween,0.9037,0.8521,1,0.5059
1,18-attributes,exp_117,0.0,0.49885999999241903,0.49,0.22,0.6,0.4,0.79,0.42000000000000004,1.0,0.0,1.0,TwoStageBetween,0.9133,0.8447,1,1.3088
2,18-attributes,exp_43,0.0,1.1338800000376068,0.81,0.48,0.4,0.6,0.79,0.16999999999999996,1.0,0.0,1.0,TwoStageBetween,1.081,0.422,1,0.3661
3,18-attributes,catch_7,1.0,0.6839749999926426,0.28,0.48,0.5,0.5,0.52,0.21000000000000002,1.0,1.0,0.0,TwoStageBetween,0.5934,0.0241,0,0.4366
4,18-attributes,exp_19,1.0,0.8782849999843165,0.28,0.17,0.4,0.6,0.8300000000000001,0.43,1.0,0.0,0.0,TwoStageBetween,1.0393,0.6912,1,0.6546
5,18-attributes,exp_47,1.0,0.7095650000264868,0.81,0.48,0.6,0.4,0.79,0.16999999999999996,1.0,1.0,0.0,TwoStageBetween,0.9999,0.2343,0,0.61
6,18-attributes,catch_9,1.0,0.49447500001406297,0.48,0.72,0.5,0.5,0.4,0.18,1.0,1.0,0.0,TwoStageBetween,0.6759,0.0422,0,0.3286
7,18-attributes,exp_59,0.0,1.304340000031516,0.41,0.21,0.4,0.6,0.62,0.18,1.0,0.0,1.0,TwoStageBetween,1.0692,0.6141,1,0.4301
8,18-attributes,exp_101,1.0,0.8060800000093877,0.58,0.38,0.6,0.4,0.6900000000000001,0.49000000000000005,1.0,0.0,0.0,TwoStageBetween,1.0061,0.747,0,0.9252
9,18-attributes,exp_91,0.0,0.5233899999875575,0.5,0.38,0.4,0.6,0.4,0.3,1.0,0.0,1.0,TwoStageBetween,1.0463,0.6766,1,0.4317
10,18-attributes,exp_99,1.0,0.4614150000270456,0.58,0.38,0.4,0.6,0.6900000000000001,0.49000000000000005,1.0,0.0,0.0,TwoStageBetween,1.0019,0.7529,1,2.5222
11,18-attributes,exp_113,1.0,0.7726449999609031,0.49,0.22,0.4,0.6,0.79,0.42000000000000004,1.0,1.0,0.0,TwoStageBetween,1.0267,0.7147,0,3.8319
12,18-attributes,exp_73,0.0,1.0664150000084192,0.8,0.2,0.4,0.6,0.6799999999999999,0.4,1.0,1.0,1.0,TwoStageBetween,0.7651,0.9282,1,0.8154
13,18-attributes,exp_1,0.0,0.28714500000933185,0.79,0.49,0.4,0.6,0.8300000000000001,0.53,1.0,1.0,1.0,TwoStageBetween,1.0797,0.5687,1,0.1906
14,18-attributes,exp_57,0.0,1.3634449999663047,0.41,0.21,0.4,0.6,0.62,0.18,1.0,1.0,1.0,TwoStageBetween,1.0797,0.4145,0,0.4476
15,18-attributes,exp_9,1.0,1.051659999997355,0.7,0.29,0.4,0.6,0.5,0.18,1.0,1.0,0.0,TwoStageBetween,1.0642,0.6306,1,0.5017
16,18-attributes,exp_3,0.0,1.2251849999884143,0.79,0.49,0.4,0.6,0.8300000000000001,0.53,1.0,0.0,1.0,TwoStageBetween,1.0042,0.7497,0,0.7256
