,subject_id,condition,choice,rt,p0,p1,m1,g0,m0,presentation01,last_stage_favours,g1,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,12-attributes,exp_91,1.0,0.67,0.5,0.38,0.4,0.5,0.3,1.0,0.0,0.5,0.0,TwoStageWithin,1.2078,0.5052,0,1.8761
1,12-attributes,exp_43,1.0,0.897,0.81,0.48,0.79,0.5,0.16999999999999996,1.0,0.0,0.5,0.0,TwoStageWithin,0.6424,0.0184,0,1.1163
2,12-attributes,exp_47,1.0,0.572,0.81,0.48,0.79,0.5,0.16999999999999996,1.0,1.0,0.5,0.0,TwoStageWithin,0.6424,0.0184,0,0.7059
3,12-attributes,exp_101,0.0,1.541,0.58,0.38,0.6900000000000001,0.5,0.49000000000000005,1.0,0.0,0.5,1.0,TwoStageWithin,1.1767,0.6493,0,0.5086
4,12-attributes,exp_1,1.0,1.208,0.79,0.49,0.8300000000000001,0.5,0.53,1.0,1.0,0.5,0.0,TwoStageWithin,1.1731,0.658,1,3.0668
5,12-attributes,exp_107,0.0,0.745,0.78,0.4,0.3,0.5,0.21000000000000002,1.0,0.0,0.5,1.0,TwoStageWithin,1.1268,0.7415,0,0.6826
6,12-attributes,exp_53,0.0,0.586,0.49,0.32,0.82,0.5,0.6900000000000001,1.0,0.0,0.5,1.0,TwoStageWithin,1.0566,0.8198,1,1.6572
7,12-attributes,exp_25,0.0,0.833,0.3,0.17,0.3,0.5,0.2,1.0,1.0,0.5,1.0,TwoStageWithin,1.2034,0.5503,1,0.3375
8,12-attributes,exp_73,0.0,1.641,0.8,0.2,0.6799999999999999,0.5,0.4,1.0,1.0,0.5,1.0,TwoStageWithin,0.6331,0.9827,1,1.0754
9,12-attributes,catch_7,1.0,0.664,0.28,0.48,0.52,0.5,0.21000000000000002,1.0,1.0,0.5,0.0,TwoStageWithin,0.6836,0.0244,0,1.2396
10,12-attributes,exp_59,1.0,0.485,0.41,0.21,0.62,0.5,0.18,1.0,0.0,0.5,0.0,TwoStageWithin,1.1623,0.2943,0,0.7262
11,12-attributes,exp_99,0.0,1.172,0.58,0.38,0.6900000000000001,0.5,0.49000000000000005,1.0,0.0,0.5,1.0,TwoStageWithin,1.1767,0.6493,1,0.6684
12,12-attributes,catch_3,1.0,0.751,0.19,0.38,0.6799999999999999,0.5,0.58,1.0,1.0,0.5,0.0,TwoStageWithin,0.8264,0.0555,0,0.3635
13,12-attributes,exp_27,0.0,0.89,0.3,0.17,0.3,0.5,0.2,1.0,0.0,0.5,1.0,TwoStageWithin,1.2034,0.5503,1,1.4582
14,12-attributes,exp_69,0.0,0.571,0.72,0.51,0.52,0.5,0.42000000000000004,1.0,0.0,0.5,1.0,TwoStageWithin,1.1521,0.7013,0,1.1848
15,12-attributes,exp_113,0.0,0.716,0.49,0.22,0.79,0.5,0.42000000000000004,1.0,1.0,0.5,1.0,TwoStageWithin,1.1481,0.7082,1,2.2331
16,12-attributes,exp_29,0.0,1.31,0.3,0.17,0.3,0.5,0.2,1.0,0.0,0.5,1.0,TwoStageWithin,1.2034,0.5503,1,1.5882
17,12-attributes,exp_23,0.0,0.834,0.28,0.17,0.8300000000000001,0.5,0.43,1.0,1.0,0.5,1.0,TwoStageWithin,1.2062,0.4424,1,2.0786
18,12-attributes,exp_19,0.0,0.801,0.28,0.17,0.8300000000000001,0.5,0.43,1.0,0.0,0.5,1.0,TwoStageWithin,1.2062,0.4424,1,0.5428
19,12-attributes,exp_15,1.0,1.432,0.7,0.29,0.5,0.5,0.18,1.0,1.0,0.5,0.0,TwoStageWithin,1.2083,0.4849,0,0.8727
