,subject_id,condition,choice,rt,p0,p1,m1,g0,m0,presentation01,last_stage_favours,g1,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,6-alternatives,exp_74,0.0,1.1662750000032829,0.8,0.2,0.6799999999999999,0.6,0.4,0.0,0.0,0.4,1.0,TwoStageWithin,0.5198,0.9417,1,0.4638
1,6-alternatives,exp_64,1.0,0.9069049999963027,0.72,0.51,0.52,0.6,0.42000000000000004,0.0,1.0,0.4,0.0,TwoStageWithin,0.8064,0.5207,0,0.2992
2,6-alternatives,exp_82,1.0,0.7942799999945565,0.61,0.29,0.8099999999999999,0.6,0.22000000000000003,0.0,0.0,0.4,0.0,TwoStageWithin,0.7807,0.3389,0,1.7189
3,6-alternatives,exp_52,0.0,0.6441549999945564,0.49,0.32,0.82,0.4,0.6900000000000001,0.0,0.0,0.6,1.0,TwoStageWithin,0.7067,0.7968,1,0.9233
4,6-alternatives,exp_8,1.0,1.0204349999985423,0.7,0.29,0.5,0.6,0.18,0.0,1.0,0.4,0.0,TwoStageWithin,0.7884,0.3635,0,1.5088
5,6-alternatives,exp_42,1.0,0.5685550000052899,0.81,0.48,0.79,0.6,0.16999999999999996,0.0,0.0,0.4,0.0,TwoStageWithin,0.5768,0.0882,0,0.4324
6,6-alternatives,exp_104,1.0,1.3118149999936577,0.78,0.4,0.3,0.6,0.21000000000000002,0.0,1.0,0.4,0.0,TwoStageWithin,0.8048,0.5447,1,1.2437
7,6-alternatives,catch_0,1.0,1.0570850000004284,0.19,0.72,0.3,0.5,0.2,0.0,1.0,0.5,0.0,TwoStageWithin,0.5323,0.0641,0,0.2375
8,6-alternatives,exp_84,1.0,1.622974999998463,0.61,0.29,0.8099999999999999,0.4,0.22000000000000003,0.0,0.0,0.6,0.0,TwoStageWithin,0.7807,0.3389,0,1.9463
9,6-alternatives,exp_90,1.0,0.4758399999991525,0.5,0.38,0.4,0.6,0.3,0.0,0.0,0.4,0.0,TwoStageWithin,0.7959,0.6032,1,2.5845
