,wp,eta,v,b_last,noise,loss,lossfun,model,subject_id,alpha,theta
0,0.4278,0.1247,15.317,0.3431,1.0644,105.9265,BIC,TwoStageBetween,0-alternatives,,
1,,,9.8581,0.0207,1.1039,114.6294,BIC,TwoStageWithin,0-alternatives,1.386,1.0
2,0.3531,0.2525,11.7278,0.0019,1.1062,98.6366,BIC,TwoStageBetween,0-attributes,,
3,,,10.2038,-0.3919,1.1607,110.2563,BIC,TwoStageWithin,0-attributes,1.5937,1.0
4,0.6947,0.1921,19.7926,-0.7664,1.451,87.4603,BIC,TwoStageBetween,1-alternatives,,
5,,,13.1803,-0.0275,1.4368,83.4549,BIC,TwoStageWithin,1-alternatives,0.3631,1.0
6,0.7233,1.0,10.3653,0.0245,1.6306,49.9778,BIC,TwoStageBetween,1-attributes,,
7,,,13.1877,0.7187,1.6313,50.1298,BIC,TwoStageWithin,1-attributes,0.3066,0.6401
8,0.051,0.3194,7.4812,0.6226,1.0344,67.2735,BIC,TwoStageBetween,10-alternatives,,
9,,,20.4753,0.0071,1.1279,84.5089,BIC,TwoStageWithin,10-alternatives,3.2561,0.5187
10,0.0944,0.7053,6.35,0.0162,1.1411,70.7355,BIC,TwoStageBetween,10-attributes,,
11,,,22.2668,0.2021,1.2483,92.4861,BIC,TwoStageWithin,10-attributes,2.3766,0.1689
12,0.3507,0.7134,5.1721,-0.1855,0.8985,167.7757,BIC,TwoStageBetween,11-alternatives,,
13,,,10.5792,0.0074,0.9086,170.4102,BIC,TwoStageWithin,11-alternatives,1.4705,0.2042
14,0.4163,0.6974,5.125,-0.0081,0.9014,176.2089,BIC,TwoStageBetween,11-attributes,,
15,,,9.7704,0.7177,0.909,178.406,BIC,TwoStageWithin,11-attributes,1.0965,0.2287
16,0.5582,0.6523,8.8313,-0.2302,0.8461,164.2798,BIC,TwoStageBetween,12-alternatives,,
17,,,7.9115,0.0374,0.8388,162.1537,BIC,TwoStageWithin,12-alternatives,0.8032,1.0
18,0.5459,1.0,5.3907,-0.0028,0.8761,182.7522,BIC,TwoStageBetween,12-attributes,,
19,,,8.4415,0.5444,0.8679,180.3047,BIC,TwoStageWithin,12-attributes,0.8621,0.6443
20,0.5948,0.6289,10.054,-0.4155,1.0404,134.9641,BIC,TwoStageBetween,13-alternatives,,
21,,,11.6163,-0.0092,1.0197,128.7332,BIC,TwoStageWithin,13-alternatives,0.6657,0.7924
22,0.6105,1.0,6.8165,0.0246,1.0835,128.5136,BIC,TwoStageBetween,13-attributes,,
23,,,10.7024,0.382,1.0564,120.8104,BIC,TwoStageWithin,13-attributes,0.6127,0.7295
24,0.4791,0.7258,7.0151,-0.2623,0.7992,169.4219,BIC,TwoStageBetween,14-alternatives,,
25,,,9.2416,0.0054,0.7968,168.7796,BIC,TwoStageWithin,14-alternatives,0.9787,0.6367
26,0.4421,0.58,6.0096,0.0202,0.9217,175.4747,BIC,TwoStageBetween,14-attributes,,
27,,,10.4885,-0.089,0.9346,179.3856,BIC,TwoStageWithin,14-attributes,1.0459,0.1971
28,0.6065,0.9649,16.6501,-0.2348,1.1664,45.8892,BIC,TwoStageBetween,15-alternatives,,
29,,,20.2956,0.0056,1.1516,43.2849,BIC,TwoStageWithin,15-alternatives,0.6223,0.8374
30,0.632,1.0,7.6053,0.093,1.1679,78.9651,BIC,TwoStageBetween,15-attributes,,
31,,,11.0209,0.7607,1.2321,92.8645,BIC,TwoStageWithin,15-attributes,0.5487,0.4787
32,0.558,0.4302,6.7201,-0.5455,1.0826,164.5344,BIC,TwoStageBetween,16-alternatives,,
33,,,6.2424,0.0233,1.0821,164.351,BIC,TwoStageWithin,16-alternatives,0.9158,0.9505
34,0.5672,1.0,1.5884,0.2158,1.178,148.0123,BIC,TwoStageBetween,16-attributes,,
35,,,2.309,-0.491,1.1936,152.5145,BIC,TwoStageWithin,16-attributes,0.5217,0.6297
36,0.4329,0.4607,6.8841,-0.4016,0.7599,187.1359,BIC,TwoStageBetween,17-alternatives,,
37,,,7.0825,0.008,0.7755,191.8315,BIC,TwoStageWithin,17-alternatives,1.1504,0.8401
38,0.461,0.5724,6.2735,-0.0099,0.7415,186.0701,BIC,TwoStageBetween,17-attributes,,
39,,,11.9467,-0.119,0.7365,184.746,BIC,TwoStageWithin,17-attributes,1.0016,0.1174
40,0.5917,0.492,8.0068,0.1877,0.9851,204.0209,BIC,TwoStageBetween,18-alternatives,,
41,,,6.0646,0.0558,0.9708,198.7059,BIC,TwoStageWithin,18-alternatives,0.6087,1.0
42,0.6374,0.9247,4.6028,0.0387,0.9308,177.1193,BIC,TwoStageBetween,18-attributes,,
43,,,10.072,-0.6051,0.9278,176.1757,BIC,TwoStageWithin,18-attributes,0.5064,0.0604
44,0.909,0.4942,7.6926,0.516,0.8134,62.4338,BIC,TwoStageBetween,19-alternatives,,
45,,,7.2846,0.025,0.8678,72.301,BIC,TwoStageWithin,19-alternatives,0.2319,1.0
46,0.8487,0.5369,8.0937,-0.0013,0.7581,73.0662,BIC,TwoStageBetween,19-attributes,,
47,,,11.7508,-0.4078,0.8247,86.8947,BIC,TwoStageWithin,19-attributes,0.2114,0.1662
48,0.612,0.6695,26.113,0.0511,1.5789,12.1764,BIC,TwoStageBetween,2-alternatives,,
49,,,29.709,-0.0191,1.5258,2.6086,BIC,TwoStageWithin,2-alternatives,0.6478,1.0
50,0.5924,0.93,25.1367,0.0001,1.5839,10.5396,BIC,TwoStageBetween,2-attributes,,
51,,,26.2546,0.4241,1.5986,13.2415,BIC,TwoStageWithin,2-attributes,0.6224,0.8634
52,0.811,0.3409,13.8246,0.2044,0.9773,31.9144,BIC,TwoStageBetween,3-alternatives,,
53,,,12.0097,-0.0001,0.9877,33.6596,BIC,TwoStageWithin,3-alternatives,0.2737,0.8635
54,0.9934,1.0,6.7335,0.0629,0.9104,7.2488,BIC,TwoStageBetween,3-attributes,,
55,,,10.4494,-0.1285,1.002,21.1161,BIC,TwoStageWithin,3-attributes,0.1009,0.6064
56,0.4621,0.4462,18.5054,0.1826,1.5235,110.9039,BIC,TwoStageBetween,4-alternatives,,
57,,,20.5159,0.0152,1.5253,111.4709,BIC,TwoStageWithin,4-alternatives,1.1384,0.697
58,0.4517,1.0,16.3171,-0.0359,1.5916,90.379,BIC,TwoStageBetween,4-attributes,,
59,,,23.1186,0.4391,1.602,93.3439,BIC,TwoStageWithin,4-attributes,1.3487,0.8404
60,0.6675,0.0659,21.6529,-0.1573,1.1213,64.2802,BIC,TwoStageBetween,5-alternatives,,
61,,,12.4583,0.019,1.1083,61.7756,BIC,TwoStageWithin,5-alternatives,0.4165,0.917
62,0.632,0.1632,17.7018,0.0023,1.1511,64.8019,BIC,TwoStageBetween,5-attributes,,
63,,,11.9639,0.1512,1.1574,65.9904,BIC,TwoStageWithin,5-attributes,0.5576,0.9523
64,0.5701,0.5458,7.8705,-0.2838,1.1073,157.3669,BIC,TwoStageBetween,6-alternatives,,
65,,,7.2649,0.0352,1.1052,156.6902,BIC,TwoStageWithin,6-alternatives,0.9407,1.0
66,0.6087,1.0,4.5407,0.0108,1.0316,208.852,BIC,TwoStageBetween,6-attributes,,
67,,,6.8452,0.0428,1.0418,212.7323,BIC,TwoStageWithin,6-attributes,0.6459,0.3056
68,0.8731,0.7678,1.9485,0.9116,1.4664,122.3264,BIC,TwoStageBetween,7-alternatives,,
69,,,1.9019,0.2427,1.4538,118.9753,BIC,TwoStageWithin,7-alternatives,0.2257,1.0
70,1.0,0.0,2.2057,-0.1687,1.3967,107.1191,BIC,TwoStageBetween,7-attributes,,
71,,,1.1278,-0.3394,1.4068,109.5984,BIC,TwoStageWithin,7-attributes,0.0,0.5581
72,0.5625,0.0,25.072,0.9773,1.359,254.269,BIC,TwoStageBetween,8-alternatives,,
73,,,11.996,0.0326,1.3674,258.6897,BIC,TwoStageWithin,8-alternatives,0.7611,1.0
74,0.5699,0.2911,17.4586,0.0118,1.2586,164.9129,BIC,TwoStageBetween,8-attributes,,
75,,,21.944,-0.3428,1.2745,171.1935,BIC,TwoStageWithin,8-attributes,0.7495,0.1615
76,0.5138,0.7614,24.09,-0.2073,1.7136,75.1195,BIC,TwoStageBetween,9-alternatives,,
77,,,26.1544,0.0007,1.7229,77.6687,BIC,TwoStageWithin,9-alternatives,1.0123,1.0
78,0.4756,0.3954,25.1114,0.0297,1.7262,234.3662,BIC,TwoStageBetween,9-attributes,,
79,,,25.3816,0.411,1.7714,244.6405,BIC,TwoStageWithin,9-attributes,1.2003,0.4569
