,subject_id,condition,choice,rt,m1,presentation01,last_stage_favours,gp,p0,gm,p1,m0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,11-TwoStageMixtureNoScaling,exp_90,0.0,1.8612,0.4,0.0,0.0,0.5,0.5,0.5,0.38,0.3,0.0,TwoStageBetween,1.1293,0.4005,0.0,1.2375
1,11-TwoStageMixtureNoScaling,exp_98,1.0,0.7161,0.6900000000000001,0.0,0.0,0.5,0.58,0.5,0.38,0.49,1.0,TwoStageBetween,1.1361,0.4434,1.0,2.4369
2,11-TwoStageMixtureNoScaling,exp_64,1.0,1.3002,0.52,0.0,1.0,0.5,0.72,0.5,0.51,0.42,1.0,TwoStageBetween,1.1378,0.5124,0.0,0.5096
3,11-TwoStageMixtureNoScaling,exp_91,0.0,2.9606,0.4,1.0,0.0,0.6,0.5,0.4,0.38,0.3,0.0,TwoStageBetween,1.1056,0.3247,0.0,1.7592
4,11-TwoStageMixtureNoScaling,exp_53,1.0,1.3676,0.82,1.0,0.0,0.4,0.49,0.6,0.32,0.6900000000000001,1.0,TwoStageBetween,1.1384,0.4954,1.0,0.341
5,11-TwoStageMixtureNoScaling,exp_99,1.0,1.6478,0.6900000000000001,1.0,0.0,0.6,0.58,0.4,0.38,0.49,1.0,TwoStageBetween,1.1211,0.3679,0.0,0.3879
6,11-TwoStageMixtureNoScaling,exp_50,1.0,0.8493,0.82,0.0,0.0,0.5,0.49,0.5,0.32,0.6900000000000001,1.0,TwoStageBetween,1.1241,0.6006,0.0,0.3512
7,11-TwoStageMixtureNoScaling,exp_57,0.0,1.1198,0.62,1.0,1.0,0.6,0.41,0.4,0.21,0.18,0.0,TwoStageBetween,0.9243,0.124,0.0,1.1361
8,11-TwoStageMixtureNoScaling,exp_101,1.0,0.5527,0.6900000000000001,1.0,0.0,0.4,0.58,0.6,0.38,0.49,1.0,TwoStageBetween,1.1114,0.3391,1.0,2.4
9,11-TwoStageMixtureNoScaling,exp_113,0.0,0.5201,0.79,1.0,1.0,0.6,0.49,0.4,0.22,0.42,0.0,TwoStageBetween,1.1359,0.5355,1.0,1.5754
10,11-TwoStageMixtureNoScaling,exp_107,0.0,0.7731,0.3,1.0,0.0,0.6,0.78,0.4,0.4,0.21,0.0,TwoStageBetween,1.1381,0.5043,0.0,0.825
11,11-TwoStageMixtureNoScaling,exp_23,1.0,0.2102,0.8300000000000001,1.0,1.0,0.4,0.28,0.6,0.17,0.43,1.0,TwoStageBetween,1.0919,0.2959,0.0,3.6389
12,11-TwoStageMixtureNoScaling,exp_84,0.0,0.8869,0.8099999999999999,0.0,0.0,0.5,0.61,0.5,0.29,0.22,0.0,TwoStageBetween,0.8253,0.0762,0.0,0.4125
13,11-TwoStageMixtureNoScaling,catch_4,0.0,0.5457,0.73,0.0,1.0,0.5,0.19,0.5,0.31,0.4,0.0,TwoStageBetween,0.6551,0.0286,0.0,0.7927
14,11-TwoStageMixtureNoScaling,exp_35,0.0,0.4287,0.32,1.0,0.0,0.6,0.79,0.4,0.7,0.2,0.0,TwoStageBetween,0.9547,0.1436,0.0,0.9929
15,11-TwoStageMixtureNoScaling,exp_42,0.0,0.9113,0.79,0.0,0.0,0.5,0.81,0.5,0.48,0.1699999999999999,0.0,TwoStageBetween,0.646,0.0269,0.0,0.4389
16,11-TwoStageMixtureNoScaling,exp_22,0.0,1.4714,0.8300000000000001,0.0,1.0,0.5,0.28,0.5,0.17,0.43,0.0,TwoStageBetween,1.0573,0.2411,1.0,0.2324
17,11-TwoStageMixtureNoScaling,exp_19,0.0,0.7777,0.8300000000000001,1.0,0.0,0.6,0.28,0.4,0.17,0.43,0.0,TwoStageBetween,1.0154,0.1935,1.0,1.7656
18,11-TwoStageMixtureNoScaling,exp_8,0.0,0.7441,0.5,0.0,1.0,0.5,0.7,0.5,0.29,0.18,0.0,TwoStageBetween,1.0183,0.1964,0.0,0.5569
19,11-TwoStageMixtureNoScaling,exp_18,0.0,0.3234,0.8300000000000001,0.0,0.0,0.5,0.28,0.5,0.17,0.43,0.0,TwoStageBetween,1.0573,0.2411,0.0,2.5648
20,11-TwoStageMixtureNoScaling,exp_45,0.0,0.2388,0.79,1.0,0.0,0.4,0.81,0.6,0.48,0.1699999999999999,0.0,TwoStageBetween,0.5731,0.0156,0.0,0.3995
