,subject_id,condition,choice,rt,gp,p1,last_stage_favours,m1,m0,gm,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,13-TwoStageBetween,exp_67,0.0,1.2746,0.6,0.51,0.0,0.52,0.42,0.4,0.72,1.0,0.0,TwoStageBetween,0.9196,0.6551,1.0,0.724
1,13-TwoStageBetween,exp_60,1.0,0.6316,0.5,0.21,0.0,0.62,0.18,0.5,0.41,0.0,1.0,TwoStageBetween,0.9476,0.4894,1.0,0.9189
2,13-TwoStageBetween,exp_26,1.0,1.2218,0.5,0.17,0.0,0.3,0.2,0.5,0.3,0.0,1.0,TwoStageBetween,0.8384,0.7939,1.0,0.3182
3,13-TwoStageBetween,exp_3,1.0,0.1369,0.6,0.49,0.0,0.8300000000000001,0.53,0.4,0.79,1.0,1.0,TwoStageBetween,0.9224,0.6473,1.0,0.3992
4,13-TwoStageBetween,exp_8,1.0,1.8207,0.5,0.29,1.0,0.5,0.18,0.5,0.7,0.0,1.0,TwoStageBetween,0.8649,0.7598,1.0,0.7807
5,13-TwoStageBetween,exp_10,1.0,0.7458,0.5,0.29,0.0,0.5,0.18,0.5,0.7,0.0,1.0,TwoStageBetween,0.8649,0.7598,1.0,0.8505
6,13-TwoStageBetween,exp_50,1.0,0.4018,0.5,0.32,0.0,0.82,0.6900000000000001,0.5,0.49,0.0,1.0,TwoStageBetween,0.8375,0.7949,1.0,0.1846
7,13-TwoStageBetween,catch_4,0.0,0.2406,0.5,0.31,1.0,0.73,0.4,0.5,0.19,0.0,0.0,TwoStageBetween,0.5193,0.0276,0.0,1.0122
8,13-TwoStageBetween,exp_52,1.0,0.1784,0.5,0.32,0.0,0.82,0.6900000000000001,0.5,0.49,0.0,1.0,TwoStageBetween,0.8375,0.7949,1.0,0.7139
9,13-TwoStageBetween,exp_116,1.0,0.4007,0.5,0.22,0.0,0.79,0.42,0.5,0.49,0.0,1.0,TwoStageBetween,0.7855,0.8464,1.0,0.3356
10,13-TwoStageBetween,exp_35,1.0,0.2056,0.6,0.7,0.0,0.32,0.2,0.4,0.79,1.0,1.0,TwoStageBetween,0.894,0.2821,0.0,0.3373
11,13-TwoStageBetween,exp_64,1.0,0.8081,0.5,0.51,1.0,0.52,0.42,0.5,0.72,0.0,1.0,TwoStageBetween,0.8937,0.7132,1.0,0.3677
12,13-TwoStageBetween,catch_6,0.0,0.1525,0.5,0.59,1.0,0.27,0.19,0.5,0.23,0.0,0.0,TwoStageBetween,0.4111,0.0092,0.0,0.4505
13,13-TwoStageBetween,exp_25,0.0,0.9733,0.6,0.17,1.0,0.3,0.2,0.4,0.3,1.0,0.0,TwoStageBetween,0.7987,0.8348,1.0,1.3813
14,13-TwoStageBetween,exp_36,0.0,1.3292,0.5,0.7,0.0,0.32,0.2,0.5,0.79,0.0,0.0,TwoStageBetween,0.9199,0.339,0.0,0.2611
15,13-TwoStageBetween,exp_9,0.0,0.3369,0.6,0.29,1.0,0.5,0.18,0.4,0.7,1.0,0.0,TwoStageBetween,0.8279,0.8058,0.0,0.2025
16,13-TwoStageBetween,exp_101,0.0,0.447,0.4,0.38,0.0,0.6900000000000001,0.49,0.6,0.58,1.0,0.0,TwoStageBetween,0.9195,0.6555,1.0,0.9694
17,13-TwoStageBetween,exp_84,0.0,0.6177,0.5,0.29,0.0,0.8099999999999999,0.22,0.5,0.61,0.0,0.0,TwoStageBetween,0.9464,0.531,0.0,1.4022
18,13-TwoStageBetween,exp_27,1.0,3.1727,0.6,0.17,0.0,0.3,0.2,0.4,0.3,1.0,1.0,TwoStageBetween,0.8742,0.7461,1.0,1.9486
19,13-TwoStageBetween,exp_73,1.0,0.3414,0.6,0.2,1.0,0.6799999999999999,0.4,0.4,0.8,1.0,1.0,TwoStageBetween,0.46,0.984,1.0,0.2361
20,13-TwoStageBetween,exp_89,1.0,1.4981,0.6,0.38,1.0,0.4,0.3,0.4,0.5,1.0,1.0,TwoStageBetween,0.9149,0.6674,1.0,0.7049
21,13-TwoStageBetween,exp_69,1.0,1.1107,0.4,0.51,0.0,0.52,0.42,0.6,0.72,1.0,1.0,TwoStageBetween,0.9196,0.6551,1.0,0.6802
22,13-TwoStageBetween,exp_102,1.0,0.7212,0.5,0.38,1.0,0.6900000000000001,0.49,0.5,0.58,0.0,1.0,TwoStageBetween,0.8934,0.7136,0.0,1.5313
23,13-TwoStageBetween,exp_53,0.0,1.0341,0.4,0.32,0.0,0.82,0.6900000000000001,0.6,0.49,1.0,0.0,TwoStageBetween,0.8734,0.7473,1.0,1.3368
24,13-TwoStageBetween,exp_18,1.0,0.2497,0.5,0.17,0.0,0.8300000000000001,0.43,0.5,0.28,0.0,1.0,TwoStageBetween,0.9322,0.615,1.0,1.1216
25,13-TwoStageBetween,exp_58,0.0,0.6923,0.5,0.21,0.0,0.62,0.18,0.5,0.41,0.0,0.0,TwoStageBetween,0.9476,0.4894,1.0,0.1293
26,13-TwoStageBetween,exp_91,0.0,0.6141,0.6,0.38,0.0,0.4,0.3,0.4,0.5,1.0,0.0,TwoStageBetween,0.9456,0.54,0.0,0.9096
27,13-TwoStageBetween,exp_68,1.0,0.3286,0.5,0.51,0.0,0.52,0.42,0.5,0.72,0.0,1.0,TwoStageBetween,0.8937,0.7132,0.0,0.495
28,13-TwoStageBetween,exp_20,1.0,0.2213,0.5,0.17,0.0,0.8300000000000001,0.43,0.5,0.28,0.0,1.0,TwoStageBetween,0.9322,0.615,1.0,1.9706
29,13-TwoStageBetween,exp_1,1.0,1.7187,0.6,0.49,1.0,0.8300000000000001,0.53,0.4,0.79,1.0,1.0,TwoStageBetween,0.8656,0.7589,0.0,0.231
30,13-TwoStageBetween,exp_22,1.0,0.2533,0.5,0.17,1.0,0.8300000000000001,0.43,0.5,0.28,0.0,1.0,TwoStageBetween,0.9322,0.615,1.0,0.4837
31,13-TwoStageBetween,exp_47,1.0,0.4398,0.4,0.48,1.0,0.79,0.1699999999999999,0.6,0.81,1.0,1.0,TwoStageBetween,0.9048,0.3033,0.0,0.8009
32,13-TwoStageBetween,catch_7,0.0,0.4463,0.5,0.48,1.0,0.52,0.21,0.5,0.28,1.0,0.0,TwoStageBetween,0.4552,0.0152,0.0,0.1538
33,13-TwoStageBetween,exp_30,1.0,0.1638,0.5,0.17,1.0,0.3,0.2,0.5,0.3,0.0,1.0,TwoStageBetween,0.8384,0.7939,1.0,0.9654
34,13-TwoStageBetween,exp_59,0.0,1.4163,0.6,0.21,0.0,0.62,0.18,0.4,0.41,1.0,0.0,TwoStageBetween,0.942,0.4234,1.0,0.287
35,13-TwoStageBetween,exp_117,1.0,1.1387,0.4,0.22,0.0,0.79,0.42,0.6,0.49,1.0,1.0,TwoStageBetween,0.8261,0.8077,1.0,0.9092
36,13-TwoStageBetween,catch_8,0.0,0.4645,0.5,0.32,1.0,0.5,0.37,0.5,0.22,0.0,0.0,TwoStageBetween,0.6844,0.0861,0.0,0.4505
37,13-TwoStageBetween,exp_114,1.0,1.6885,0.5,0.22,0.0,0.79,0.42,0.5,0.49,0.0,1.0,TwoStageBetween,0.7855,0.8464,1.0,0.7109
38,13-TwoStageBetween,exp_107,0.0,0.6514,0.6,0.4,0.0,0.3,0.21,0.4,0.78,1.0,0.0,TwoStageBetween,0.8026,0.8312,1.0,0.7484
