,subject_id,condition,choice,rt,gp,p1,last_stage_favours,m1,m0,gm,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,13-TwoStageWithin,exp_67,1.0,0.3941,0.6,0.51,0.0,0.52,0.42,0.4,0.72,1.0,1.0,TwoStageBetween,0.8249,0.73,1,1.1786
1,13-TwoStageWithin,exp_60,1.0,0.8495,0.5,0.21,0.0,0.62,0.18,0.5,0.41,0.0,1.0,TwoStageBetween,0.8849,0.4689,1,0.8075
2,13-TwoStageWithin,exp_26,0.0,1.6683,0.5,0.17,0.0,0.3,0.2,0.5,0.3,0.0,0.0,TwoStageBetween,0.8094,0.7554,1,0.7041
3,13-TwoStageWithin,exp_3,0.0,1.2184,0.6,0.49,0.0,0.8300000000000001,0.53,0.4,0.79,1.0,0.0,TwoStageBetween,0.8303,0.7203,0,0.2183
4,13-TwoStageWithin,exp_8,1.0,0.5587,0.5,0.29,1.0,0.5,0.18,0.5,0.7,0.0,1.0,TwoStageBetween,0.8337,0.7138,0,0.5805
5,13-TwoStageWithin,exp_10,0.0,0.1847,0.5,0.29,0.0,0.5,0.18,0.5,0.7,0.0,0.0,TwoStageBetween,0.8337,0.7138,1,0.5358
6,13-TwoStageWithin,exp_50,1.0,0.2793,0.5,0.32,0.0,0.82,0.6900000000000001,0.5,0.49,0.0,1.0,TwoStageBetween,0.8064,0.7599,1,0.8806
7,13-TwoStageWithin,catch_4,0.0,0.4031,0.5,0.31,1.0,0.73,0.4,0.5,0.19,0.0,0.0,TwoStageBetween,0.5334,0.0427,1,0.3289
8,13-TwoStageWithin,exp_52,0.0,0.6803,0.5,0.32,0.0,0.82,0.6900000000000001,0.5,0.49,0.0,0.0,TwoStageBetween,0.8064,0.7599,1,0.2965
9,13-TwoStageWithin,exp_116,1.0,1.5788,0.5,0.22,0.0,0.79,0.42,0.5,0.49,0.0,1.0,TwoStageBetween,0.7719,0.8047,1,0.354
10,13-TwoStageWithin,exp_35,0.0,0.3699,0.6,0.7,0.0,0.32,0.2,0.4,0.79,1.0,0.0,TwoStageBetween,0.8766,0.4046,0,0.7016
11,13-TwoStageWithin,exp_64,1.0,0.5282,0.5,0.51,1.0,0.52,0.42,0.5,0.72,0.0,1.0,TwoStageBetween,0.8481,0.6831,1,1.1099
12,13-TwoStageWithin,catch_6,0.0,0.3022,0.5,0.59,1.0,0.27,0.19,0.5,0.23,0.0,0.0,TwoStageBetween,0.4328,0.0172,0,0.6645
13,13-TwoStageWithin,exp_25,0.0,0.6112,0.6,0.17,1.0,0.3,0.2,0.4,0.3,1.0,0.0,TwoStageBetween,0.8351,0.7111,0,0.695
14,13-TwoStageWithin,exp_36,0.0,0.1486,0.5,0.7,0.0,0.32,0.2,0.5,0.79,0.0,0.0,TwoStageBetween,0.8629,0.352,0,0.6269
15,13-TwoStageWithin,exp_9,0.0,0.6498,0.6,0.29,1.0,0.5,0.18,0.4,0.7,1.0,0.0,TwoStageBetween,0.8552,0.6654,1,0.5999
16,13-TwoStageWithin,exp_101,1.0,1.5937,0.4,0.38,0.0,0.6900000000000001,0.49,0.6,0.58,1.0,1.0,TwoStageBetween,0.8259,0.7283,1,1.2225
17,13-TwoStageWithin,exp_84,0.0,0.3,0.5,0.29,0.0,0.8099999999999999,0.22,0.5,0.61,0.0,0.0,TwoStageBetween,0.8856,0.5038,0,0.9655
18,13-TwoStageWithin,exp_27,0.0,2.6722,0.6,0.17,0.0,0.3,0.2,0.4,0.3,1.0,0.0,TwoStageBetween,0.7802,0.7949,1,0.7219
19,13-TwoStageWithin,exp_73,1.0,0.1926,0.6,0.2,1.0,0.6799999999999999,0.4,0.4,0.8,1.0,1.0,TwoStageBetween,0.5419,0.9543,1,0.1826
20,13-TwoStageWithin,exp_89,1.0,1.672,0.6,0.38,1.0,0.4,0.3,0.4,0.5,1.0,1.0,TwoStageBetween,0.8845,0.5306,1,1.651
21,13-TwoStageWithin,exp_69,0.0,1.197,0.4,0.51,0.0,0.52,0.42,0.6,0.72,1.0,0.0,TwoStageBetween,0.8249,0.73,1,0.3477
22,13-TwoStageWithin,exp_102,1.0,0.3241,0.5,0.38,1.0,0.6900000000000001,0.49,0.5,0.58,0.0,1.0,TwoStageBetween,0.8489,0.6812,0,2.1228
23,13-TwoStageWithin,exp_53,1.0,0.2775,0.4,0.32,0.0,0.82,0.6900000000000001,0.6,0.49,1.0,1.0,TwoStageBetween,0.7769,0.7989,1,0.3897
24,13-TwoStageWithin,exp_18,0.0,0.5081,0.5,0.17,0.0,0.8300000000000001,0.43,0.5,0.28,0.0,0.0,TwoStageBetween,0.8772,0.5874,1,0.3675
25,13-TwoStageWithin,exp_58,1.0,0.3226,0.5,0.21,0.0,0.62,0.18,0.5,0.41,0.0,1.0,TwoStageBetween,0.8849,0.4689,1,0.4768
