,subject_id,condition,choice,rt,gp,g1,p1,g0,last_stage_favours,m1,m0,gm,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,0-TwoStageWithin,exp_53,0.0,0.4883,0.4,0.5,0.32,0.5,0.0,0.82,0.6900000000000001,0.6,0.49,1.0,0.0,TwoStageMixtureNoScaling,0.8691,0.6105,1.0,0.9231
1,0-TwoStageWithin,exp_69,1.0,3.018,0.4,0.5,0.51,0.5,0.0,0.52,0.42,0.6,0.72,1.0,1.0,TwoStageMixtureNoScaling,0.8822,0.4789,1.0,0.659
2,0-TwoStageWithin,exp_40,0.0,0.4043,0.5,0.4,0.48,0.6,1.0,0.79,0.1699999999999999,0.5,0.81,0.0,0.0,TwoStageMixtureNoScaling,0.4077,0.0132,0.0,0.4602
3,0-TwoStageWithin,exp_89,0.0,0.6195,0.6,0.5,0.38,0.5,1.0,0.4,0.3,0.4,0.5,1.0,0.0,TwoStageMixtureNoScaling,0.8816,0.4667,1.0,1.1306
4,0-TwoStageWithin,exp_96,1.0,1.2819,0.5,0.4,0.38,0.6,1.0,0.6900000000000001,0.49,0.5,0.58,0.0,1.0,TwoStageMixtureNoScaling,0.8806,0.5411,0.0,0.2005
5,0-TwoStageWithin,exp_74,1.0,0.7216,0.5,0.4,0.2,0.6,0.0,0.6799999999999999,0.4,0.5,0.8,0.0,1.0,TwoStageMixtureNoScaling,0.8482,0.6755,1.0,0.8631
6,0-TwoStageWithin,exp_88,0.0,0.4498,0.5,0.4,0.38,0.6,1.0,0.4,0.3,0.5,0.5,0.0,0.0,TwoStageMixtureNoScaling,0.881,0.4582,0.0,0.4423
7,0-TwoStageWithin,exp_73,0.0,0.4642,0.6,0.5,0.2,0.5,1.0,0.6799999999999999,0.4,0.4,0.8,1.0,0.0,TwoStageMixtureNoScaling,0.737,0.8381,0.0,1.0299
8,0-TwoStageWithin,exp_50,1.0,0.3762,0.5,0.4,0.32,0.6,0.0,0.82,0.6900000000000001,0.5,0.49,0.0,1.0,TwoStageMixtureNoScaling,0.8407,0.6931,0.0,2.37
9,0-TwoStageWithin,exp_90,0.0,0.1354,0.5,0.4,0.38,0.6,0.0,0.4,0.3,0.5,0.5,0.0,0.0,TwoStageMixtureNoScaling,0.8679,0.3801,1.0,0.6038
10,0-TwoStageWithin,catch_0,0.0,0.5937,0.5,0.5,0.72,0.5,1.0,0.3,0.2,0.5,0.19,0.0,0.0,TwoStageMixtureNoScaling,0.6767,0.1131,0.0,0.7421
11,0-TwoStageWithin,exp_104,1.0,1.1274,0.5,0.4,0.4,0.6,1.0,0.3,0.21,0.5,0.78,0.0,1.0,TwoStageMixtureNoScaling,0.8825,0.503,0.0,0.1676
12,0-TwoStageWithin,exp_107,1.0,0.9707,0.6,0.5,0.4,0.5,0.0,0.3,0.21,0.4,0.78,1.0,1.0,TwoStageMixtureNoScaling,0.8825,0.4865,0.0,1.4045
13,0-TwoStageWithin,exp_98,0.0,0.4096,0.5,0.4,0.38,0.6,0.0,0.6900000000000001,0.49,0.5,0.58,0.0,0.0,TwoStageMixtureNoScaling,0.8812,0.4608,1.0,1.2696
14,0-TwoStageWithin,exp_67,0.0,0.4503,0.6,0.5,0.51,0.5,0.0,0.52,0.42,0.4,0.72,1.0,0.0,TwoStageMixtureNoScaling,0.8826,0.4967,0.0,0.9514
15,0-TwoStageWithin,exp_18,0.0,0.5421,0.5,0.4,0.17,0.6,0.0,0.8300000000000001,0.43,0.5,0.28,0.0,0.0,TwoStageMixtureNoScaling,0.7701,0.1946,0.0,0.3994
16,0-TwoStageWithin,exp_114,0.0,0.1017,0.5,0.4,0.22,0.6,0.0,0.79,0.42,0.5,0.49,0.0,0.0,TwoStageMixtureNoScaling,0.841,0.3038,0.0,1.793
17,0-TwoStageWithin,catch_8,0.0,2.2939,0.5,0.5,0.32,0.5,1.0,0.5,0.37,0.5,0.22,0.0,0.0,TwoStageMixtureNoScaling,0.8067,0.2423,1.0,0.3759
18,0-TwoStageWithin,exp_30,0.0,0.4886,0.5,0.6,0.17,0.4,1.0,0.3,0.2,0.5,0.3,0.0,0.0,TwoStageMixtureNoScaling,0.8526,0.3316,1.0,3.0924
19,0-TwoStageWithin,exp_47,0.0,0.2311,0.4,0.5,0.48,0.5,1.0,0.79,0.1699999999999999,0.6,0.81,1.0,0.0,TwoStageMixtureNoScaling,0.4031,0.0125,0.0,0.224
20,0-TwoStageWithin,exp_113,1.0,0.2674,0.6,0.5,0.22,0.5,1.0,0.79,0.42,0.4,0.49,1.0,1.0,TwoStageMixtureNoScaling,0.8819,0.472,0.0,0.1945
21,0-TwoStageWithin,catch_9,0.0,0.7372,0.5,0.5,0.72,0.5,1.0,0.4,0.18,0.5,0.48,1.0,0.0,TwoStageMixtureNoScaling,0.5789,0.0606,0.0,0.6682
22,0-TwoStageWithin,exp_59,0.0,0.963,0.6,0.5,0.21,0.5,0.0,0.62,0.18,0.4,0.41,1.0,0.0,TwoStageMixtureNoScaling,0.7302,0.1545,0.0,0.1333
23,0-TwoStageWithin,exp_26,0.0,0.1874,0.5,0.4,0.17,0.6,0.0,0.3,0.2,0.5,0.3,0.0,0.0,TwoStageMixtureNoScaling,0.8434,0.309,1.0,0.4613
24,0-TwoStageWithin,exp_9,0.0,0.293,0.6,0.5,0.29,0.5,1.0,0.5,0.18,0.4,0.7,1.0,0.0,TwoStageMixtureNoScaling,0.8344,0.29,0.0,0.5945
25,0-TwoStageWithin,exp_8,1.0,0.8385,0.5,0.4,0.29,0.6,1.0,0.5,0.18,0.5,0.7,0.0,1.0,TwoStageMixtureNoScaling,0.724,0.1491,0.0,0.384
26,0-TwoStageWithin,exp_115,1.0,0.9664,0.6,0.5,0.22,0.5,0.0,0.79,0.42,0.4,0.49,1.0,1.0,TwoStageMixtureNoScaling,0.8711,0.3933,1.0,0.1614
27,0-TwoStageWithin,exp_27,1.0,0.2612,0.6,0.5,0.17,0.5,0.0,0.3,0.2,0.4,0.3,1.0,1.0,TwoStageMixtureNoScaling,0.8735,0.4048,0.0,0.5998
28,0-TwoStageWithin,exp_37,0.0,2.284,0.4,0.5,0.7,0.5,0.0,0.32,0.2,0.6,0.79,1.0,0.0,TwoStageMixtureNoScaling,0.7691,0.1935,0.0,0.2338
29,0-TwoStageWithin,exp_108,0.0,0.3094,0.5,0.6,0.4,0.4,0.0,0.3,0.21,0.5,0.78,0.0,0.0,TwoStageMixtureNoScaling,0.8373,0.2958,0.0,2.3738
30,0-TwoStageWithin,exp_10,0.0,0.2202,0.5,0.4,0.29,0.6,0.0,0.5,0.18,0.5,0.7,0.0,0.0,TwoStageMixtureNoScaling,0.676,0.1126,0.0,0.2093
31,0-TwoStageWithin,exp_102,0.0,0.8705,0.5,0.6,0.38,0.4,1.0,0.6900000000000001,0.49,0.5,0.58,0.0,0.0,TwoStageMixtureNoScaling,0.8155,0.2561,0.0,0.4686
32,0-TwoStageWithin,exp_36,0.0,1.1014,0.5,0.6,0.7,0.4,0.0,0.32,0.2,0.5,0.79,0.0,0.0,TwoStageMixtureNoScaling,0.6743,0.1115,1.0,0.6542
33,0-TwoStageWithin,catch_6,0.0,3.1581,0.5,0.5,0.59,0.5,1.0,0.27,0.19,0.5,0.23,0.0,0.0,TwoStageMixtureNoScaling,0.7664,0.1904,0.0,0.4084
34,0-TwoStageWithin,exp_91,0.0,0.3945,0.6,0.5,0.38,0.5,0.0,0.4,0.3,0.4,0.5,1.0,0.0,TwoStageMixtureNoScaling,0.8699,0.3883,0.0,0.4145
35,0-TwoStageWithin,exp_94,1.0,0.6155,0.5,0.6,0.38,0.4,1.0,0.4,0.3,0.5,0.5,0.0,1.0,TwoStageMixtureNoScaling,0.8442,0.3111,1.0,0.6083
36,0-TwoStageWithin,exp_78,1.0,0.7145,0.5,0.6,0.2,0.4,1.0,0.6799999999999999,0.4,0.5,0.8,0.0,1.0,TwoStageMixtureNoScaling,0.8823,0.5143,0.0,0.3418
37,0-TwoStageWithin,exp_3,1.0,1.3549,0.6,0.5,0.49,0.5,0.0,0.8300000000000001,0.53,0.4,0.79,1.0,1.0,TwoStageMixtureNoScaling,0.8556,0.3396,0.0,0.1944
38,0-TwoStageWithin,exp_68,1.0,0.2255,0.5,0.6,0.51,0.4,0.0,0.52,0.42,0.5,0.72,0.0,1.0,TwoStageMixtureNoScaling,0.8263,0.2745,0.0,1.1787
39,0-TwoStageWithin,exp_22,0.0,0.8873,0.5,0.6,0.17,0.4,1.0,0.8300000000000001,0.43,0.5,0.28,0.0,0.0,TwoStageMixtureNoScaling,0.7308,0.1551,0.0,0.5006
40,0-TwoStageWithin,exp_25,0.0,1.6695,0.6,0.5,0.17,0.5,1.0,0.3,0.2,0.4,0.3,1.0,0.0,TwoStageMixtureNoScaling,0.8824,0.484,0.0,0.5192
41,0-TwoStageWithin,catch_4,0.0,1.7456,0.5,0.5,0.31,0.5,1.0,0.73,0.4,0.5,0.19,0.0,0.0,TwoStageMixtureNoScaling,0.6228,0.0812,0.0,0.1678
42,0-TwoStageWithin,catch_2,0.0,0.3661,0.5,0.5,0.6,0.5,1.0,0.4,0.22,0.5,0.38,0.0,0.0,TwoStageMixtureNoScaling,0.6345,0.0874,0.0,0.8636
43,0-TwoStageWithin,exp_46,0.0,0.2853,0.5,0.6,0.48,0.4,1.0,0.79,0.1699999999999999,0.5,0.81,0.0,0.0,TwoStageMixtureNoScaling,0.3273,0.0042,0.0,0.2302
44,0-TwoStageWithin,exp_23,0.0,0.4654,0.4,0.5,0.17,0.5,1.0,0.8300000000000001,0.43,0.6,0.28,1.0,0.0,TwoStageMixtureNoScaling,0.8364,0.2941,0.0,0.9287
45,0-TwoStageWithin,catch_5,0.0,0.4062,0.5,0.5,0.49,0.5,1.0,0.43,0.32,0.5,0.4,1.0,0.0,TwoStageMixtureNoScaling,0.8179,0.2599,0.0,0.5006
46,0-TwoStageWithin,exp_43,0.0,0.415,0.6,0.5,0.48,0.5,0.0,0.79,0.1699999999999999,0.4,0.81,1.0,0.0,TwoStageMixtureNoScaling,0.4124,0.0139,0.0,0.5534
