,subject_id,condition,choice,rt,gp,g1,p1,g0,last_stage_favours,m1,m0,gm,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,13-TwoStageBetween,exp_67,0.0,1.2746,0.6,0.5,0.51,0.5,0.0,0.52,0.42,0.4,0.72,1.0,0.0,TwoStageMixtureNoScaling,0.9073,0.6832,0,1.2052
1,13-TwoStageBetween,exp_60,1.0,0.6316,0.5,0.6,0.21,0.4,0.0,0.62,0.18,0.5,0.41,0.0,1.0,TwoStageMixtureNoScaling,0.9446,0.4527,0,2.4389
2,13-TwoStageBetween,exp_26,1.0,1.2218,0.5,0.4,0.17,0.6,0.0,0.3,0.2,0.5,0.3,0.0,1.0,TwoStageMixtureNoScaling,0.8574,0.7689,1,1.5712
3,13-TwoStageBetween,exp_3,1.0,0.1369,0.6,0.5,0.49,0.5,0.0,0.8300000000000001,0.53,0.4,0.79,1.0,1.0,TwoStageMixtureNoScaling,0.9107,0.6752,1,1.726
4,13-TwoStageBetween,exp_8,1.0,1.8207,0.5,0.4,0.29,0.6,1.0,0.5,0.18,0.5,0.7,0.0,1.0,TwoStageMixtureNoScaling,0.8475,0.7817,0,0.3645
5,13-TwoStageBetween,exp_10,1.0,0.7458,0.5,0.4,0.29,0.6,0.0,0.5,0.18,0.5,0.7,0.0,1.0,TwoStageMixtureNoScaling,0.8826,0.7311,1,0.1574
6,13-TwoStageBetween,exp_50,1.0,0.4018,0.5,0.4,0.32,0.6,0.0,0.82,0.6900000000000001,0.5,0.49,0.0,1.0,TwoStageMixtureNoScaling,0.8562,0.7704,0,0.8008
7,13-TwoStageBetween,catch_4,0.0,0.2406,0.5,0.5,0.31,0.5,1.0,0.73,0.4,0.5,0.19,0.0,0.0,TwoStageMixtureNoScaling,0.5355,0.0316,0,0.5501
8,13-TwoStageBetween,exp_52,1.0,0.1784,0.5,0.6,0.32,0.4,0.0,0.82,0.6900000000000001,0.5,0.49,0.0,1.0,TwoStageMixtureNoScaling,0.8562,0.7704,1,0.5796
9,13-TwoStageBetween,exp_116,1.0,0.4007,0.5,0.6,0.22,0.4,0.0,0.79,0.42,0.5,0.49,0.0,1.0,TwoStageMixtureNoScaling,0.8074,0.8258,1,0.1752
10,13-TwoStageBetween,exp_35,1.0,0.2056,0.6,0.5,0.7,0.5,0.0,0.32,0.2,0.4,0.79,1.0,1.0,TwoStageMixtureNoScaling,0.9063,0.3087,1,0.621
11,13-TwoStageBetween,exp_64,1.0,0.8081,0.5,0.4,0.51,0.6,1.0,0.52,0.42,0.5,0.72,0.0,1.0,TwoStageMixtureNoScaling,0.8775,0.7394,0,0.5625
12,13-TwoStageBetween,catch_6,0.0,0.1525,0.5,0.5,0.59,0.5,1.0,0.27,0.19,0.5,0.23,0.0,0.0,TwoStageMixtureNoScaling,0.4227,0.0107,0,0.3014
13,13-TwoStageBetween,exp_25,0.0,0.9733,0.6,0.5,0.17,0.5,1.0,0.3,0.2,0.4,0.3,1.0,0.0,TwoStageMixtureNoScaling,0.8189,0.8143,0,0.86
14,13-TwoStageBetween,exp_36,0.0,1.3292,0.5,0.6,0.7,0.4,0.0,0.32,0.2,0.5,0.79,0.0,0.0,TwoStageMixtureNoScaling,0.9063,0.3087,1,0.2089
15,13-TwoStageBetween,exp_9,0.0,0.3369,0.6,0.5,0.29,0.5,1.0,0.5,0.18,0.4,0.7,1.0,0.0,TwoStageMixtureNoScaling,0.8475,0.7817,0,0.9485
16,13-TwoStageBetween,exp_101,0.0,0.447,0.4,0.5,0.38,0.5,0.0,0.6900000000000001,0.49,0.6,0.58,1.0,0.0,TwoStageMixtureNoScaling,0.9072,0.6833,0,1.8528
17,13-TwoStageBetween,exp_84,0.0,0.6177,0.5,0.6,0.29,0.4,0.0,0.8099999999999999,0.22,0.5,0.61,0.0,0.0,TwoStageMixtureNoScaling,0.9466,0.4939,1,0.2944
18,13-TwoStageBetween,exp_27,1.0,3.1727,0.6,0.5,0.17,0.5,0.0,0.3,0.2,0.4,0.3,1.0,1.0,TwoStageMixtureNoScaling,0.8574,0.7689,0,0.2629
19,13-TwoStageBetween,exp_73,1.0,0.3414,0.6,0.5,0.2,0.5,1.0,0.6799999999999999,0.4,0.4,0.8,1.0,1.0,TwoStageMixtureNoScaling,0.4743,0.9815,1,0.3763
20,13-TwoStageBetween,exp_89,1.0,1.4981,0.6,0.5,0.38,0.5,1.0,0.4,0.3,0.4,0.5,1.0,1.0,TwoStageMixtureNoScaling,0.925,0.6364,0,1.8599
