,subject_id,condition,choice,rt,m1,presentation01,last_stage_favours,gp,p0,gm,g1,p1,m0,g0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,3-TwoStageMixtureNoScaling,exp_1,1.0,0.2803,0.8300000000000001,1.0,1.0,0.6,0.79,0.4,0.5,0.49,0.53,0.5,1.0,TwoStageMixtureNoScaling,0.7376,0.9326,0,0.4418
1,3-TwoStageMixtureNoScaling,exp_116,1.0,0.1971,0.79,0.0,0.0,0.5,0.49,0.5,0.6,0.22,0.42,0.4,1.0,TwoStageMixtureNoScaling,0.3526,0.9983,1,0.231
2,3-TwoStageMixtureNoScaling,exp_42,1.0,0.4447,0.79,0.0,0.0,0.5,0.81,0.5,0.4,0.48,0.1699999999999999,0.6,1.0,TwoStageMixtureNoScaling,0.6276,0.9659,1,0.3035
3,3-TwoStageMixtureNoScaling,exp_9,1.0,1.3641,0.5,1.0,1.0,0.6,0.7,0.4,0.5,0.29,0.18,0.5,1.0,TwoStageMixtureNoScaling,0.4288,0.9945,1,0.5131
4,3-TwoStageMixtureNoScaling,exp_84,1.0,0.2643,0.8099999999999999,0.0,0.0,0.5,0.61,0.5,0.6,0.29,0.22,0.4,1.0,TwoStageMixtureNoScaling,0.4446,0.9934,1,0.4312
5,3-TwoStageMixtureNoScaling,exp_104,1.0,0.3151,0.3,0.0,1.0,0.5,0.78,0.5,0.4,0.4,0.21,0.6,1.0,TwoStageMixtureNoScaling,0.4385,0.9938,1,0.384
6,3-TwoStageMixtureNoScaling,exp_96,1.0,1.1581,0.6900000000000001,0.0,1.0,0.5,0.58,0.5,0.4,0.38,0.49,0.6,1.0,TwoStageMixtureNoScaling,0.6177,0.9682,1,0.4003
7,3-TwoStageMixtureNoScaling,catch_8,0.0,0.5634,0.5,0.0,1.0,0.5,0.22,0.5,0.5,0.32,0.37,0.5,0.0,TwoStageMixtureNoScaling,0.5283,0.0157,0,0.9059
8,3-TwoStageMixtureNoScaling,exp_91,1.0,0.6478,0.4,1.0,0.0,0.6,0.5,0.4,0.5,0.38,0.3,0.5,1.0,TwoStageMixtureNoScaling,0.7563,0.9252,1,1.0022
9,3-TwoStageMixtureNoScaling,exp_89,1.0,0.6593,0.4,1.0,1.0,0.6,0.5,0.4,0.5,0.38,0.3,0.5,1.0,TwoStageMixtureNoScaling,0.956,0.7872,0,0.2292
10,3-TwoStageMixtureNoScaling,exp_68,1.0,0.1773,0.52,0.0,0.0,0.5,0.72,0.5,0.6,0.51,0.42,0.4,1.0,TwoStageMixtureNoScaling,0.6948,0.9475,1,0.6379
11,3-TwoStageMixtureNoScaling,exp_29,1.0,0.2061,0.3,1.0,0.0,0.4,0.3,0.6,0.5,0.17,0.2,0.5,1.0,TwoStageMixtureNoScaling,0.4715,0.991,1,0.1695
12,3-TwoStageMixtureNoScaling,exp_114,1.0,0.5583,0.79,0.0,0.0,0.5,0.49,0.5,0.4,0.22,0.42,0.6,1.0,TwoStageMixtureNoScaling,0.3114,0.9993,1,0.3307
13,3-TwoStageMixtureNoScaling,catch_3,0.0,0.1308,0.6799999999999999,1.0,1.0,0.5,0.19,0.5,0.5,0.38,0.58,0.5,0.0,TwoStageMixtureNoScaling,0.338,0.0013,0,0.2868
14,3-TwoStageMixtureNoScaling,exp_60,1.0,0.6899,0.62,0.0,0.0,0.5,0.41,0.5,0.6,0.21,0.18,0.4,1.0,TwoStageMixtureNoScaling,0.4348,0.9941,1,0.2139
15,3-TwoStageMixtureNoScaling,exp_36,1.0,2.1937,0.32,0.0,0.0,0.5,0.79,0.5,0.6,0.7,0.2,0.4,1.0,TwoStageMixtureNoScaling,1.0305,0.6692,1,1.0534
16,3-TwoStageMixtureNoScaling,exp_74,1.0,0.1087,0.6799999999999999,0.0,0.0,0.5,0.8,0.5,0.4,0.2,0.4,0.6,1.0,TwoStageMixtureNoScaling,0.1905,1.0,1,0.3349
17,3-TwoStageMixtureNoScaling,catch_0,0.0,0.2961,0.3,0.0,1.0,0.5,0.19,0.5,0.5,0.72,0.2,0.5,0.0,TwoStageMixtureNoScaling,0.2035,0.0,0,0.1232
18,3-TwoStageMixtureNoScaling,exp_94,0.0,0.1585,0.4,0.0,1.0,0.5,0.5,0.5,0.6,0.38,0.3,0.4,0.0,TwoStageMixtureNoScaling,0.9695,0.7709,1,0.8716
19,3-TwoStageMixtureNoScaling,exp_30,1.0,1.2558,0.3,0.0,1.0,0.5,0.3,0.5,0.6,0.17,0.2,0.4,1.0,TwoStageMixtureNoScaling,0.5649,0.9786,1,0.4819
20,3-TwoStageMixtureNoScaling,exp_47,0.0,1.3805,0.79,1.0,1.0,0.4,0.81,0.6,0.5,0.48,0.1699999999999999,0.5,0.0,TwoStageMixtureNoScaling,1.0045,0.7204,0,1.3957
21,3-TwoStageMixtureNoScaling,exp_107,1.0,0.717,0.3,1.0,0.0,0.6,0.78,0.4,0.5,0.4,0.21,0.5,1.0,TwoStageMixtureNoScaling,0.4041,0.9961,1,0.3084
22,3-TwoStageMixtureNoScaling,catch_4,0.0,0.3869,0.73,0.0,1.0,0.5,0.19,0.5,0.5,0.31,0.4,0.5,0.0,TwoStageMixtureNoScaling,0.3999,0.0037,0,0.2754
23,3-TwoStageMixtureNoScaling,exp_10,1.0,0.1671,0.5,0.0,0.0,0.5,0.7,0.5,0.4,0.29,0.18,0.6,1.0,TwoStageMixtureNoScaling,0.3083,0.9993,1,0.1129
24,3-TwoStageMixtureNoScaling,exp_37,1.0,1.9626,0.32,1.0,0.0,0.4,0.79,0.6,0.5,0.7,0.2,0.5,1.0,TwoStageMixtureNoScaling,1.0069,0.7163,1,1.2903
25,3-TwoStageMixtureNoScaling,catch_9,0.0,0.2716,0.4,1.0,1.0,0.5,0.48,0.5,0.5,0.72,0.18,0.5,0.0,TwoStageMixtureNoScaling,0.4465,0.0068,0,0.3399
26,3-TwoStageMixtureNoScaling,exp_80,1.0,0.3793,0.8099999999999999,0.0,1.0,0.5,0.61,0.5,0.4,0.29,0.22,0.6,1.0,TwoStageMixtureNoScaling,0.4768,0.9905,1,0.3942
27,3-TwoStageMixtureNoScaling,exp_59,1.0,0.3962,0.62,1.0,0.0,0.6,0.41,0.4,0.5,0.21,0.18,0.5,1.0,TwoStageMixtureNoScaling,0.4619,0.9919,1,0.6137
28,3-TwoStageMixtureNoScaling,exp_64,1.0,0.4663,0.52,0.0,1.0,0.5,0.72,0.5,0.4,0.51,0.42,0.6,1.0,TwoStageMixtureNoScaling,0.6886,0.9495,1,0.2918
29,3-TwoStageMixtureNoScaling,exp_67,1.0,0.7095,0.52,1.0,0.0,0.6,0.72,0.4,0.5,0.51,0.42,0.5,1.0,TwoStageMixtureNoScaling,0.6382,0.9634,1,1.2361
30,3-TwoStageMixtureNoScaling,catch_7,0.0,0.9482,0.52,1.0,1.0,0.5,0.28,0.5,0.5,0.48,0.21,0.5,0.0,TwoStageMixtureNoScaling,0.3799,0.0027,0,0.3076
31,3-TwoStageMixtureNoScaling,exp_99,1.0,0.4684,0.6900000000000001,1.0,0.0,0.6,0.58,0.4,0.5,0.38,0.49,0.5,1.0,TwoStageMixtureNoScaling,0.5837,0.9752,1,0.3695
