,subject_id,condition,choice,rt,gp,g1,p1,g0,last_stage_favours,m1,m0,gm,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,5-TwoStageMixtureNoScaling,exp_82,1.0,0.5258,0.5,0.4,0.29,0.6,0.0,0.8099999999999999,0.22,0.5,0.61,0.0,1.0,TwoStageMixtureNoScaling,0.7865,0.7698,0,1.0811
1,5-TwoStageMixtureNoScaling,exp_59,0.0,0.8483,0.6,0.5,0.21,0.5,0.0,0.62,0.18,0.4,0.41,1.0,0.0,TwoStageMixtureNoScaling,0.8651,0.5779,1,2.8258
2,5-TwoStageMixtureNoScaling,exp_23,1.0,0.6886,0.4,0.5,0.17,0.5,1.0,0.8300000000000001,0.43,0.6,0.28,1.0,1.0,TwoStageMixtureNoScaling,0.8541,0.6271,0,0.5352
3,5-TwoStageMixtureNoScaling,exp_20,1.0,0.928,0.5,0.6,0.17,0.4,0.0,0.8300000000000001,0.43,0.5,0.28,0.0,1.0,TwoStageMixtureNoScaling,0.7966,0.7549,1,0.1614
4,5-TwoStageMixtureNoScaling,exp_35,1.0,0.6588,0.6,0.5,0.7,0.5,0.0,0.32,0.2,0.4,0.79,1.0,1.0,TwoStageMixtureNoScaling,0.8502,0.3553,1,1.5166
5,5-TwoStageMixtureNoScaling,exp_67,1.0,0.3108,0.6,0.5,0.51,0.5,0.0,0.52,0.42,0.4,0.72,1.0,1.0,TwoStageMixtureNoScaling,0.7658,0.7969,1,0.7601
6,5-TwoStageMixtureNoScaling,exp_58,1.0,1.967,0.5,0.4,0.21,0.6,0.0,0.62,0.18,0.5,0.41,0.0,1.0,TwoStageMixtureNoScaling,0.8248,0.7049,1,0.4398
7,5-TwoStageMixtureNoScaling,exp_26,1.0,0.2293,0.5,0.4,0.17,0.6,0.0,0.3,0.2,0.5,0.3,0.0,1.0,TwoStageMixtureNoScaling,0.628,0.9112,0,0.2383
8,5-TwoStageMixtureNoScaling,catch_5,0.0,0.8139,0.5,0.5,0.49,0.5,1.0,0.43,0.32,0.5,0.4,1.0,0.0,TwoStageMixtureNoScaling,0.7619,0.1967,0,0.5814
9,5-TwoStageMixtureNoScaling,exp_98,1.0,1.164,0.5,0.4,0.38,0.6,0.0,0.6900000000000001,0.49,0.5,0.58,0.0,1.0,TwoStageMixtureNoScaling,0.7059,0.8573,1,1.0024
10,5-TwoStageMixtureNoScaling,exp_68,1.0,0.4404,0.5,0.6,0.51,0.4,0.0,0.52,0.42,0.5,0.72,0.0,1.0,TwoStageMixtureNoScaling,0.7621,0.8014,0,0.5643
11,5-TwoStageMixtureNoScaling,exp_113,1.0,0.7757,0.6,0.5,0.22,0.5,1.0,0.79,0.42,0.4,0.49,1.0,1.0,TwoStageMixtureNoScaling,0.6678,0.8863,1,0.8946
12,5-TwoStageMixtureNoScaling,exp_37,0.0,0.5527,0.4,0.5,0.7,0.5,0.0,0.32,0.2,0.6,0.79,1.0,0.0,TwoStageMixtureNoScaling,0.8458,0.3421,1,0.3947
13,5-TwoStageMixtureNoScaling,exp_116,1.0,0.3349,0.5,0.6,0.22,0.4,0.0,0.79,0.42,0.5,0.49,0.0,1.0,TwoStageMixtureNoScaling,0.5439,0.9502,1,0.1787
14,5-TwoStageMixtureNoScaling,exp_25,1.0,0.6343,0.6,0.5,0.17,0.5,1.0,0.3,0.2,0.4,0.3,1.0,1.0,TwoStageMixtureNoScaling,0.8114,0.7306,1,0.4775
15,5-TwoStageMixtureNoScaling,exp_80,0.0,0.6587,0.5,0.4,0.29,0.6,1.0,0.8099999999999999,0.22,0.5,0.61,0.0,0.0,TwoStageMixtureNoScaling,0.7752,0.7852,1,1.2543
16,5-TwoStageMixtureNoScaling,exp_99,1.0,0.495,0.6,0.5,0.38,0.5,0.0,0.6900000000000001,0.49,0.4,0.58,1.0,1.0,TwoStageMixtureNoScaling,0.7739,0.7869,0,0.6647
17,5-TwoStageMixtureNoScaling,exp_96,1.0,2.2747,0.5,0.4,0.38,0.6,1.0,0.6900000000000001,0.49,0.5,0.58,0.0,1.0,TwoStageMixtureNoScaling,0.6929,0.8678,1,0.6144
18,5-TwoStageMixtureNoScaling,exp_15,1.0,0.8777,0.4,0.5,0.29,0.5,1.0,0.5,0.18,0.6,0.7,1.0,1.0,TwoStageMixtureNoScaling,0.7586,0.8054,0,0.3003
19,5-TwoStageMixtureNoScaling,exp_117,0.0,1.2508,0.4,0.5,0.22,0.5,0.0,0.79,0.42,0.6,0.49,1.0,0.0,TwoStageMixtureNoScaling,0.7078,0.8557,1,0.4858
20,5-TwoStageMixtureNoScaling,exp_60,1.0,0.2465,0.5,0.6,0.21,0.4,0.0,0.62,0.18,0.5,0.41,0.0,1.0,TwoStageMixtureNoScaling,0.8372,0.677,0,2.8472
21,5-TwoStageMixtureNoScaling,exp_18,1.0,0.3876,0.5,0.4,0.17,0.6,0.0,0.8300000000000001,0.43,0.5,0.28,0.0,1.0,TwoStageMixtureNoScaling,0.7804,0.7783,0,0.3251
22,5-TwoStageMixtureNoScaling,exp_91,0.0,0.4761,0.6,0.5,0.38,0.5,0.0,0.4,0.3,0.4,0.5,1.0,0.0,TwoStageMixtureNoScaling,0.8541,0.6274,1,2.0183
23,5-TwoStageMixtureNoScaling,exp_47,1.0,0.3985,0.4,0.5,0.48,0.5,1.0,0.79,0.1699999999999999,0.6,0.81,1.0,1.0,TwoStageMixtureNoScaling,0.7947,0.2397,0,0.7295
24,5-TwoStageMixtureNoScaling,catch_4,0.0,0.1181,0.5,0.5,0.31,0.5,1.0,0.73,0.4,0.5,0.19,0.0,0.0,TwoStageMixtureNoScaling,0.368,0.0085,0,0.331
25,5-TwoStageMixtureNoScaling,exp_104,1.0,0.2005,0.5,0.4,0.4,0.6,1.0,0.3,0.21,0.5,0.78,0.0,1.0,TwoStageMixtureNoScaling,0.5037,0.9638,1,0.6981
26,5-TwoStageMixtureNoScaling,exp_88,1.0,0.4947,0.5,0.4,0.38,0.6,1.0,0.4,0.3,0.5,0.5,0.0,1.0,TwoStageMixtureNoScaling,0.8066,0.7389,1,0.4253
27,5-TwoStageMixtureNoScaling,catch_3,0.0,0.3066,0.5,0.5,0.38,0.5,1.0,0.6799999999999999,0.58,0.5,0.19,1.0,0.0,TwoStageMixtureNoScaling,0.5767,0.0631,0,1.126
