,subject_id,condition,choice,rt,g1,p1,g0,last_stage_favours,m1,m0,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,1-TwoStageWithin,exp_22,1.0,0.2816,0.6,0.17,0.4,1.0,0.8300000000000001,0.43,0.28,0.0,1.0,TwoStageWithin,0.428,0.5954,1,1.096
1,1-TwoStageWithin,exp_42,1.0,0.4017,0.4,0.48,0.6,0.0,0.79,0.1699999999999999,0.81,0.0,1.0,TwoStageWithin,0.4104,0.695,1,0.5832
2,1-TwoStageWithin,exp_27,0.0,0.1004,0.5,0.17,0.5,0.0,0.3,0.2,0.3,1.0,0.0,TwoStageWithin,0.419,0.6554,1,0.5413
3,1-TwoStageWithin,catch_3,0.0,0.7637,0.5,0.38,0.5,1.0,0.6799999999999999,0.58,0.19,1.0,0.0,TwoStageWithin,0.3602,0.1689,0,0.4885
4,1-TwoStageWithin,exp_108,1.0,0.5723,0.6,0.4,0.4,0.0,0.3,0.21,0.78,0.0,1.0,TwoStageWithin,0.3442,0.8593,1,0.2643
5,1-TwoStageWithin,exp_25,0.0,0.5295,0.5,0.17,0.5,1.0,0.3,0.2,0.3,1.0,0.0,TwoStageWithin,0.419,0.6554,0,0.5394
6,1-TwoStageWithin,catch_9,0.0,0.0584,0.5,0.72,0.5,1.0,0.4,0.18,0.48,1.0,0.0,TwoStageWithin,0.3067,0.0894,0,0.3781
7,1-TwoStageWithin,exp_80,1.0,0.5511,0.4,0.29,0.6,1.0,0.8099999999999999,0.22,0.61,0.0,1.0,TwoStageWithin,0.378,0.7934,1,0.3976
8,1-TwoStageWithin,exp_9,1.0,0.2438,0.5,0.29,0.5,1.0,0.5,0.18,0.7,1.0,1.0,TwoStageWithin,0.3446,0.8587,1,0.2221
9,1-TwoStageWithin,exp_43,1.0,0.2119,0.5,0.48,0.5,0.0,0.79,0.1699999999999999,0.81,1.0,1.0,TwoStageWithin,0.425,0.6192,1,0.1458
10,1-TwoStageWithin,exp_94,0.0,0.4792,0.6,0.38,0.4,1.0,0.4,0.3,0.5,0.0,0.0,TwoStageWithin,0.4294,0.5824,1,0.2608
11,1-TwoStageWithin,catch_0,0.0,0.1825,0.5,0.72,0.5,1.0,0.3,0.2,0.19,0.0,0.0,TwoStageWithin,0.2276,0.0264,0,0.135
12,1-TwoStageWithin,exp_101,1.0,0.4844,0.5,0.38,0.5,0.0,0.6900000000000001,0.49,0.58,1.0,1.0,TwoStageWithin,0.3874,0.7699,1,0.1768
13,1-TwoStageWithin,exp_19,1.0,1.4557,0.5,0.17,0.5,0.0,0.8300000000000001,0.43,0.28,1.0,1.0,TwoStageWithin,0.4227,0.6346,1,0.7772
14,1-TwoStageWithin,exp_58,0.0,0.217,0.4,0.21,0.6,0.0,0.62,0.18,0.41,0.0,0.0,TwoStageWithin,0.409,0.7007,1,0.3319
15,1-TwoStageWithin,exp_114,1.0,0.3543,0.4,0.22,0.6,0.0,0.79,0.42,0.49,0.0,1.0,TwoStageWithin,0.3408,0.8648,0,0.2989
16,1-TwoStageWithin,exp_89,0.0,0.714,0.5,0.38,0.5,1.0,0.4,0.3,0.5,1.0,0.0,TwoStageWithin,0.4216,0.6413,1,0.4747
17,1-TwoStageWithin,exp_102,0.0,0.4324,0.6,0.38,0.4,1.0,0.6900000000000001,0.49,0.58,0.0,0.0,TwoStageWithin,0.4057,0.7131,1,0.337
18,1-TwoStageWithin,exp_52,0.0,0.1164,0.6,0.32,0.4,0.0,0.82,0.6900000000000001,0.49,0.0,0.0,TwoStageWithin,0.3958,0.7459,1,0.1803
19,1-TwoStageWithin,catch_7,0.0,0.4477,0.5,0.48,0.5,1.0,0.52,0.21,0.28,1.0,0.0,TwoStageWithin,0.3338,0.1246,0,0.1037
20,1-TwoStageWithin,catch_4,1.0,0.1184,0.5,0.31,0.5,1.0,0.73,0.4,0.19,0.0,1.0,TwoStageWithin,0.3836,0.2201,0,0.1197
