,subject_id,condition,choice,rt,g1,p1,g0,last_stage_favours,m1,m0,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,2-TwoStageMixtureNoScaling,exp_90,1.0,0.4465,0.4,0.38,0.6,0.0,0.4,0.3,0.5,0.0,1.0,TwoStageWithin,0.4116,0.5622,1,0.1388
1,2-TwoStageMixtureNoScaling,exp_27,1.0,0.1632,0.5,0.17,0.5,0.0,0.3,0.2,0.3,1.0,1.0,TwoStageWithin,0.405,0.6245,0,0.1065
2,2-TwoStageMixtureNoScaling,catch_0,0.0,0.1037,0.5,0.72,0.5,1.0,0.3,0.2,0.19,0.0,0.0,TwoStageWithin,0.164,0.0068,0,0.0994
3,2-TwoStageMixtureNoScaling,catch_4,0.0,0.1756,0.5,0.31,0.5,1.0,0.73,0.4,0.19,0.0,0.0,TwoStageWithin,0.2574,0.0537,0,0.0505
4,2-TwoStageMixtureNoScaling,exp_47,0.0,0.3467,0.5,0.48,0.5,1.0,0.79,0.1699999999999999,0.81,1.0,0.0,TwoStageWithin,0.2098,0.0226,0,0.0606
5,2-TwoStageMixtureNoScaling,exp_37,0.0,0.196,0.5,0.7,0.5,0.0,0.32,0.2,0.79,1.0,0.0,TwoStageWithin,0.365,0.217,0,0.3243
6,2-TwoStageMixtureNoScaling,catch_5,0.0,0.2178,0.5,0.49,0.5,1.0,0.43,0.32,0.4,1.0,0.0,TwoStageWithin,0.3177,0.1232,0,0.1152
7,2-TwoStageMixtureNoScaling,exp_19,0.0,0.5187,0.5,0.17,0.5,0.0,0.8300000000000001,0.43,0.28,1.0,0.0,TwoStageWithin,0.4133,0.5281,0,0.909
8,2-TwoStageMixtureNoScaling,exp_29,0.0,0.8235,0.5,0.17,0.5,0.0,0.3,0.2,0.3,1.0,0.0,TwoStageWithin,0.405,0.6245,0,0.3834
9,2-TwoStageMixtureNoScaling,exp_50,1.0,0.1856,0.4,0.32,0.6,0.0,0.82,0.6900000000000001,0.49,0.0,1.0,TwoStageWithin,0.2995,0.9023,1,0.1821
10,2-TwoStageMixtureNoScaling,exp_82,1.0,0.3014,0.4,0.29,0.6,0.0,0.8099999999999999,0.22,0.61,0.0,1.0,TwoStageWithin,0.3874,0.287,1,0.53
11,2-TwoStageMixtureNoScaling,exp_20,1.0,0.0897,0.6,0.17,0.4,0.0,0.8300000000000001,0.43,0.28,0.0,1.0,TwoStageWithin,0.4077,0.3959,0,0.9166
12,2-TwoStageMixtureNoScaling,exp_78,1.0,0.1053,0.6,0.2,0.4,1.0,0.6799999999999999,0.4,0.8,0.0,1.0,TwoStageWithin,0.1441,0.9967,1,0.0526
13,2-TwoStageMixtureNoScaling,exp_43,0.0,0.2417,0.5,0.48,0.5,0.0,0.79,0.1699999999999999,0.81,1.0,0.0,TwoStageWithin,0.2098,0.0226,0,0.3162
14,2-TwoStageMixtureNoScaling,exp_64,1.0,0.1587,0.4,0.51,0.6,1.0,0.52,0.42,0.72,0.0,1.0,TwoStageWithin,0.2953,0.9076,1,0.3394
15,2-TwoStageMixtureNoScaling,exp_60,0.0,0.167,0.6,0.21,0.4,0.0,0.62,0.18,0.41,0.0,0.0,TwoStageWithin,0.3758,0.2475,1,0.1802
16,2-TwoStageMixtureNoScaling,exp_52,1.0,0.1378,0.6,0.32,0.4,0.0,0.82,0.6900000000000001,0.49,0.0,1.0,TwoStageWithin,0.3596,0.7965,1,0.2054
17,2-TwoStageMixtureNoScaling,exp_57,0.0,0.1106,0.5,0.21,0.5,1.0,0.62,0.18,0.41,1.0,0.0,TwoStageWithin,0.4018,0.3549,0,0.6009
18,2-TwoStageMixtureNoScaling,exp_69,1.0,0.169,0.5,0.51,0.5,0.0,0.52,0.42,0.72,1.0,1.0,TwoStageWithin,0.3516,0.8149,1,0.2413
