,subject_id,condition,choice,rt,g1,p1,g0,last_stage_favours,m1,m0,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,6-TwoStageBetween,exp_74,0.0,1.1457,0.4,0.2,0.6,0.0,0.6799999999999999,0.4,0.8,0.0,0.0,TwoStageWithin,0.6691,0.8317,0.0,0.9977
1,6-TwoStageBetween,catch_1,1.0,0.3713,0.5,0.41,0.5,1.0,0.5900000000000001,0.42,0.29,1.0,1.0,TwoStageWithin,0.7415,0.2678,0.0,1.4162
2,6-TwoStageBetween,exp_43,0.0,0.1918,0.5,0.48,0.5,0.0,0.79,0.1699999999999999,0.81,1.0,0.0,TwoStageWithin,0.6645,0.1629,0.0,0.5627
3,6-TwoStageBetween,exp_64,1.0,0.5221,0.4,0.51,0.6,1.0,0.52,0.42,0.72,0.0,1.0,TwoStageWithin,0.763,0.6842,1.0,0.7206
4,6-TwoStageBetween,exp_82,0.0,0.7161,0.4,0.29,0.6,0.0,0.8099999999999999,0.22,0.61,0.0,0.0,TwoStageWithin,0.7581,0.3021,0.0,1.4029
5,6-TwoStageBetween,exp_27,1.0,0.9099,0.5,0.17,0.5,0.0,0.3,0.2,0.3,1.0,1.0,TwoStageWithin,0.797,0.5344,0.0,0.4351
6,6-TwoStageBetween,exp_52,1.0,0.2994,0.6,0.32,0.4,0.0,0.82,0.6900000000000001,0.49,0.0,1.0,TwoStageWithin,0.7876,0.602,1.0,0.4285
7,6-TwoStageBetween,exp_8,1.0,0.7346,0.4,0.29,0.6,1.0,0.5,0.18,0.7,0.0,1.0,TwoStageWithin,0.7886,0.5975,1.0,0.2514
8,6-TwoStageBetween,exp_47,0.0,0.0946,0.5,0.48,0.5,1.0,0.79,0.1699999999999999,0.81,1.0,0.0,TwoStageWithin,0.6645,0.1629,0.0,0.4362
9,6-TwoStageBetween,exp_67,1.0,0.3979,0.5,0.51,0.5,0.0,0.52,0.42,0.72,1.0,1.0,TwoStageWithin,0.7854,0.6122,1.0,0.1526
10,6-TwoStageBetween,exp_42,0.0,0.7307,0.4,0.48,0.6,0.0,0.79,0.1699999999999999,0.81,0.0,0.0,TwoStageWithin,0.6218,0.1243,0.0,0.2779
11,6-TwoStageBetween,exp_101,1.0,1.5013,0.5,0.38,0.5,0.0,0.6900000000000001,0.49,0.58,1.0,1.0,TwoStageWithin,0.7902,0.5887,1.0,0.3993
12,6-TwoStageBetween,exp_104,0.0,0.7818,0.4,0.4,0.6,1.0,0.3,0.21,0.78,0.0,0.0,TwoStageWithin,0.753,0.7075,1.0,1.6648
13,6-TwoStageBetween,catch_0,0.0,0.2891,0.5,0.72,0.5,1.0,0.3,0.2,0.19,0.0,0.0,TwoStageWithin,0.685,0.1853,0.0,1.1637
