,wp,eta,v,b_last,noise,loss,lossfun,model,subject_id,alpha,theta,w_between_altwise,w_between_attwise
0,0.3496,0.5827,9.3579,0.0115,1.0562,305.3709,BIC,TwoStageBetween,0-TwoStageBetween,,,,
1,0.3852,0.5371,13.2728,-0.0047,1.0537,323.1934,BIC,TwoStageMixtureNoScaling,0-TwoStageBetween,5.0,1.0,0.6943,0.7533
2,,,12.4732,-0.0153,1.074,319.1998,BIC,TwoStageWithin,0-TwoStageBetween,1.7234,1.0,,
3,0.3881,0.1787,11.7689,0.0148,1.0652,302.867,BIC,TwoStageBetween,0-TwoStageMixtureNoScaling,,,,
4,0.3915,0.3741,11.2751,0.0134,1.0588,317.8814,BIC,TwoStageMixtureNoScaling,0-TwoStageMixtureNoScaling,1.4148,1.0,0.2262,1.0
5,,,11.0497,0.0158,1.0745,309.8507,BIC,TwoStageWithin,0-TwoStageMixtureNoScaling,1.3424,1.0,,
6,0.3035,0.3464,6.6569,0.0147,1.0676,331.1749,BIC,TwoStageBetween,0-TwoStageWithin,,,,
7,0.0,0.0,13.102,-0.0068,1.0522,339.2635,BIC,TwoStageMixtureNoScaling,0-TwoStageWithin,1.158,0.2168,0.3333,0.1422
8,,,14.2735,-0.0218,1.0565,322.792,BIC,TwoStageWithin,0-TwoStageWithin,1.4967,0.4295,,
9,0.6968,1.0,12.947,0.0331,1.5704,88.462,BIC,TwoStageBetween,1-TwoStageBetween,,,,
10,0.7924,1.0,22.5866,0.0165,1.5594,103.0076,BIC,TwoStageMixtureNoScaling,1-TwoStageBetween,4.3032,0.5326,0.545,0.4607
11,,,12.1978,0.0395,1.5953,100.3776,BIC,TwoStageWithin,1-TwoStageBetween,0.386,1.0,,
12,0.7173,1.0,10.3472,-0.0039,1.5085,137.862,BIC,TwoStageBetween,1-TwoStageMixtureNoScaling,,,,
13,0.0,1.0,13.4065,-0.0002,1.485,144.9679,BIC,TwoStageMixtureNoScaling,1-TwoStageMixtureNoScaling,0.1026,0.9267,0.1821,0.2122
14,,,12.533,0.0068,1.4909,128.3827,BIC,TwoStageWithin,1-TwoStageMixtureNoScaling,0.3258,0.8846,,
15,0.8394,0.0,15.66,0.0021,1.5191,118.4715,BIC,TwoStageBetween,1-TwoStageWithin,,,,
16,1.0,0.0,16.3658,0.0007,1.5126,134.9924,BIC,TwoStageMixtureNoScaling,1-TwoStageWithin,0.5932,0.4737,0.4679,0.5675
17,,,12.0298,0.0048,1.519,118.441,BIC,TwoStageWithin,1-TwoStageWithin,0.2663,0.7113,,
18,0.0972,1.0,5.6463,0.0538,1.0969,207.2973,BIC,TwoStageBetween,10-TwoStageBetween,,,,
19,0.0,1.0,7.0483,0.0247,1.0965,226.8296,BIC,TwoStageMixtureNoScaling,10-TwoStageBetween,1.3027,1.0,0.6078,0.6063
20,,,15.5944,0.0069,1.1536,243.8708,BIC,TwoStageWithin,10-TwoStageBetween,2.1317,1.0,,
21,0.0579,0.7236,6.1876,0.0288,1.0995,210.5105,BIC,TwoStageBetween,10-TwoStageMixtureNoScaling,,,,
22,0.0,0.6379,10.2586,-0.0031,1.0991,230.019,BIC,TwoStageMixtureNoScaling,10-TwoStageMixtureNoScaling,1.7042,0.0618,0.5207,0.5092
23,,,19.1936,-0.0103,1.1556,246.4466,BIC,TwoStageWithin,10-TwoStageMixtureNoScaling,2.3204,0.6596,,
24,0.0,0.0,6.4539,0.0046,1.2291,247.0953,BIC,TwoStageBetween,10-TwoStageWithin,,,,
25,0.0,0.0,15.5482,0.0148,1.1866,240.0309,BIC,TwoStageMixtureNoScaling,10-TwoStageWithin,3.3367,1.0,0.0,0.2044
26,,,16.3567,0.0245,1.1897,222.1725,BIC,TwoStageWithin,10-TwoStageWithin,2.9917,1.0,,
27,0.2883,0.4274,4.5947,0.0013,0.9008,393.5432,BIC,TwoStageBetween,11-TwoStageBetween,,,,
28,0.2462,0.3683,4.9615,-0.0149,0.8971,410.3406,BIC,TwoStageMixtureNoScaling,11-TwoStageBetween,0.8154,0.9614,0.6819,1.0
29,,,5.7887,-0.0204,0.9165,406.3699,BIC,TwoStageWithin,11-TwoStageBetween,1.7353,1.0,,
30,0.4107,0.7636,6.0224,-0.0262,0.9033,373.6998,BIC,TwoStageBetween,11-TwoStageMixtureNoScaling,,,,
31,0.0,0.2104,8.549,-0.0007,0.8947,386.6812,BIC,TwoStageMixtureNoScaling,11-TwoStageMixtureNoScaling,0.2602,0.3862,0.5326,0.4517
32,,,9.5206,0.0136,0.9167,384.3736,BIC,TwoStageWithin,11-TwoStageMixtureNoScaling,1.2744,0.5276,,
33,0.4462,1.0,3.9046,-0.0112,0.9348,403.3914,BIC,TwoStageBetween,11-TwoStageWithin,,,,
34,1.0,1.0,11.1854,-0.006,0.9141,406.4846,BIC,TwoStageMixtureNoScaling,11-TwoStageWithin,1.695,0.2854,0.0463,0.0782
35,,,9.3133,-0.0111,0.9173,389.2984,BIC,TwoStageWithin,11-TwoStageWithin,1.2795,0.3686,,
36,0.5783,0.8567,5.8285,-0.0265,0.8588,403.3531,BIC,TwoStageBetween,12-TwoStageBetween,,,,
37,0.618,0.813,10.7249,-0.0054,0.8575,422.0148,BIC,TwoStageMixtureNoScaling,12-TwoStageBetween,4.897,0.0,0.5232,0.5223
38,,,6.3646,0.0216,0.8704,413.2005,BIC,TwoStageWithin,12-TwoStageBetween,0.6691,0.6121,,
39,0.5571,1.0,5.7772,0.0453,0.8702,400.6759,BIC,TwoStageBetween,12-TwoStageMixtureNoScaling,,,,
40,0.8274,1.0,9.1405,0.0261,0.854,406.468,BIC,TwoStageMixtureNoScaling,12-TwoStageMixtureNoScaling,1.6614,1.0,0.2986,0.2239
41,,,7.1751,0.0253,0.8751,404.9407,BIC,TwoStageWithin,12-TwoStageMixtureNoScaling,0.8625,1.0,,
42,0.5248,0.7655,6.8249,-0.0123,0.8333,393.4673,BIC,TwoStageBetween,12-TwoStageWithin,,,,
43,0.268,0.3997,7.0923,0.0172,0.8243,405.8638,BIC,TwoStageMixtureNoScaling,12-TwoStageWithin,0.4559,1.0,0.3751,0.4584
44,,,6.5473,0.052,0.8203,383.052,BIC,TwoStageWithin,12-TwoStageWithin,0.8518,1.0,,
45,0.6281,1.0,7.0141,-0.0196,1.0105,319.6483,BIC,TwoStageBetween,13-TwoStageBetween,,,,
46,0.6271,1.0,7.0118,-0.01,1.0112,339.8897,BIC,TwoStageMixtureNoScaling,13-TwoStageBetween,2.9985,0.6521,1.0,1.0
47,,,5.7731,0.0128,1.0321,335.4541,BIC,TwoStageWithin,13-TwoStageBetween,0.4893,1.0,,
48,0.6078,0.5731,10.5386,-0.0021,1.059,298.61,BIC,TwoStageBetween,13-TwoStageMixtureNoScaling,,,,
49,0.1748,0.0,12.0852,-0.0047,1.0427,307.0084,BIC,TwoStageMixtureNoScaling,13-TwoStageMixtureNoScaling,0.3405,0.7841,0.2622,0.3496
50,,,10.4449,-0.0075,1.0493,291.8265,BIC,TwoStageWithin,13-TwoStageMixtureNoScaling,0.5633,0.7581,,
51,0.6194,1.0,6.5978,0.0189,1.0501,315.285,BIC,TwoStageBetween,13-TwoStageWithin,,,,
52,0.7235,0.5887,10.1424,-0.0168,1.0283,319.5617,BIC,TwoStageMixtureNoScaling,13-TwoStageWithin,0.6452,0.8437,0.0,0.165
53,,,10.4502,-0.0545,1.0118,288.394,BIC,TwoStageWithin,13-TwoStageWithin,0.6141,0.8187,,
54,0.4883,0.246,10.9151,0.0023,0.9044,357.2936,BIC,TwoStageBetween,14-TwoStageBetween,,,,
55,0.4939,0.0,12.7252,0.0048,0.9015,374.6277,BIC,TwoStageMixtureNoScaling,14-TwoStageBetween,1.218,1.0,1.0,0.6743
56,,,8.2832,0.0175,0.9199,369.2863,BIC,TwoStageWithin,14-TwoStageBetween,1.0579,0.8898,,
57,0.4703,0.8735,5.4843,0.0086,0.8693,413.506,BIC,TwoStageBetween,14-TwoStageMixtureNoScaling,,,,
58,0.0186,0.9971,6.255,0.0247,0.8548,420.6993,BIC,TwoStageMixtureNoScaling,14-TwoStageMixtureNoScaling,0.447,0.6895,0.2138,0.3253
59,,,7.5235,0.0284,0.8673,411.7941,BIC,TwoStageWithin,14-TwoStageMixtureNoScaling,1.0241,0.7116,,
60,0.4984,0.4516,7.0686,-0.0094,0.8908,396.9164,BIC,TwoStageBetween,14-TwoStageWithin,,,,
61,0.5962,0.0,8.729,-0.0182,0.8736,402.2251,BIC,TwoStageMixtureNoScaling,14-TwoStageWithin,1.0994,1.0,0.0909,0.3784
62,,,7.4264,-0.0332,0.8746,383.4207,BIC,TwoStageWithin,14-TwoStageWithin,1.0156,1.0,,
63,0.6159,0.5845,12.8641,0.0538,1.2245,208.0851,BIC,TwoStageBetween,15-TwoStageBetween,,,,
64,0.675,0.5179,23.202,0.0127,1.2304,231.3972,BIC,TwoStageMixtureNoScaling,15-TwoStageBetween,5.0,0.0,0.5826,0.505
65,,,10.7775,-0.0011,1.2633,232.305,BIC,TwoStageWithin,15-TwoStageBetween,0.5384,0.825,,
66,0.6522,1.0,10.1013,0.0398,1.1591,225.2078,BIC,TwoStageBetween,15-TwoStageMixtureNoScaling,,,,
67,0.6052,1.0,17.2275,0.033,1.1016,209.2845,BIC,TwoStageMixtureNoScaling,15-TwoStageMixtureNoScaling,0.3875,0.0,0.8945,0.0
