,condition,p0,p1,m0,m1,target,other,target_first,presentation,sequence,core_id,alt0,alt1,block,ev0,ev1,ev_diff,implied_alpha,phase,higher_p,higher_m,g0,g1,gm,gp,last_favours,presentation01
0,exp_0,0.79,0.49,5.300000000000001,8.299999999999999,0,1,True,alternatives,"{""durations"": [1500, 1000, 1500, 1000], ""alternatives"": [0, 1, 0, 1], ""attributes"": [""all"", ""all"", ""all"", ""all""]}",395.0,high_p,high_m,1,0.42,0.41,0.01,1.06,experimental,0,1,0.6,0.4,0.5,0.5,1.0,0.0
1,exp_1,0.79,0.49,5.300000000000001,8.299999999999999,p,m,True,attributes,"{""durations"": [1500, 1000, 1500, 1000], ""alternatives"": [""all"", ""all"", ""all"", ""all""], ""attributes"": [""p"", ""m"", ""p"", ""m""]}",395.0,high_p,high_m,0,0.42,0.41,0.01,1.06,experimental,0,1,0.5,0.5,0.4,0.6,1.0,1.0
2,exp_2,0.79,0.49,5.300000000000001,8.299999999999999,0,1,False,alternatives,"{""durations"": [1000, 1500, 1000, 1500], ""alternatives"": [1, 0, 1, 0], ""attributes"": [""all"", ""all"", ""all"", ""all""]}",395.0,high_p,high_m,1,0.42,0.41,0.01,1.06,experimental,0,1,0.6,0.4,0.5,0.5,0.0,0.0
3,exp_3,0.79,0.49,5.300000000000001,8.299999999999999,p,m,False,attributes,"{""durations"": [1000, 1500, 1000, 1500], ""alternatives"": [""all"", ""all"", ""all"", ""all""], ""attributes"": [""m"", ""p"", ""m"", ""p""]}",395.0,high_p,high_m,0,0.42,0.41,0.01,1.06,experimental,0,1,0.5,0.5,0.4,0.6,0.0,1.0
4,exp_4,0.79,0.49,5.300000000000001,8.299999999999999,1,0,True,alternatives,"{""durations"": [1500, 1000, 1500, 1000], ""alternatives"": [1, 0, 1, 0], ""attributes"": [""all"", ""all"", ""all"", ""all""]}",395.0,high_p,high_m,1,0.42,0.41,0.01,1.06,experimental,0,1,0.4,0.6,0.5,0.5,0.0,0.0
5,exp_5,0.79,0.49,5.300000000000001,8.299999999999999,m,p,True,attributes,"{""durations"": [1500, 1000, 1500, 1000], ""alternatives"": [""all"", ""all"", ""all"", ""all""], ""attributes"": [""m"", ""p"", ""m"", ""p""]}",395.0,high_p,high_m,1,0.42,0.41,0.01,1.06,experimental,0,1,0.5,0.5,0.6,0.4,0.0,1.0
6,exp_6,0.79,0.49,5.300000000000001,8.299999999999999,1,0,False,alternatives,"{""durations"": [1000, 1500, 1000, 1500], ""alternatives"": [0, 1, 0, 1], ""attributes"": [""all"", ""all"", ""all"", ""all""]}",395.0,high_p,high_m,1,0.42,0.41,0.01,1.06,experimental,0,1,0.4,0.6,0.5,0.5,1.0,0.0
7,exp_7,0.79,0.49,5.300000000000001,8.299999999999999,m,p,False,attributes,"{""durations"": [1000, 1500, 1000, 1500], ""alternatives"": [""all"", ""all"", ""all"", ""all""], ""attributes"": [""p"", ""m"", ""p"", ""m""]}",395.0,high_p,high_m,1,0.42,0.41,0.01,1.06,experimental,0,1,0.5,0.5,0.6,0.4,1.0,1.0
8,exp_8,0.7,0.29,1.7999999999999998,5.0,0,1,True,alternatives,"{""durations"": [1500, 1000, 1500, 1000], ""alternatives"": [0, 1, 0, 1], ""attributes"": [""all"", ""all"", ""all"", ""all""]}",233.0,high_p,high_m,0,0.13,0.14,-0.01,0.86,experimental,0,1,0.6,0.4,0.5,0.5,1.0,0.0
9,exp_9,0.7,0.29,1.7999999999999998,5.0,p,m,True,attributes,"{""durations"": [1500, 1000, 1500, 1000], ""alternatives"": [""all"", ""all"", ""all"", ""all""], ""attributes"": [""p"", ""m"", ""p"", ""m""]}",233.0,high_p,high_m,0,0.13,0.14,-0.01,0.86,experimental,0,1,0.5,0.5,0.4,0.6,1.0,1.0
10,exp_10,0.7,0.29,1.7999999999999998,5.0,0,1,False,alternatives,"{""durations"": [1000, 1500, 1000, 1500], ""alternatives"": [1, 0, 1, 0], ""attributes"": [""all"", ""all"", ""all"", ""all""]}",233.0,high_p,high_m,0,0.13,0.14,-0.01,0.86,experimental,0,1,0.6,0.4,0.5,0.5,0.0,0.0
11,exp_11,0.7,0.29,1.7999999999999998,5.0,p,m,False,attributes,"{""durations"": [1000, 1500, 1000, 1500], ""alternatives"": [""all"", ""all"", ""all"", ""all""], ""attributes"": [""m"", ""p"", ""m"", ""p""]}",233.0,high_p,high_m,1,0.13,0.14,-0.01,0.86,experimental,0,1,0.5,0.5,0.4,0.6,0.0,1.0
